Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$177.64,0.25,0.141%,"4,316,652,000,000"
AAPL,Apple Inc. Common Stock,$258.86,2.94,1.149%,"3,800,359,900,400"
GOOGL,Alphabet Inc. Class A Common Stock,$299.99,4.22,1.427%,"3,628,979,030,000"
GOOG,Alphabet Inc. Class C Capital Stock,$297.66,3.20,1.087%,"3,600,793,020,000"
MSFT,Microsoft Corporation Common Stock,$372.88,-0.58,-0.155%,"2,768,868,569,859"
AMZN,"Amazon.com, Inc. Common Stock",$212.79,3.02,1.44%,"2,284,283,811,927"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$341.76,2.72,0.802%,"1,772,554,182,420"
AVGO,Broadcom Inc. Common Stock,$314.43,-0.12,-0.038%,"1,488,721,717,095"
META,"Meta Platforms, Inc. Class A Common Stock",$573.02,-1.44,-0.251%,"1,449,485,871,981"
TSLA,"Tesla, Inc. Common Stock",$352.82,-7.77,-2.155%,"1,323,933,052,595"
BRK/A,Berkshire Hathaway Inc.,"$716,500.00",200.01,0.028%,"1,053,881,221,000"
BRK/B,Berkshire Hathaway Inc.,$476.38,-0.97,-0.203%,"1,051,042,610,917"
WMT,Walmart Inc. Common Stock,$126.79,1.00,0.795%,"1,010,820,913,102"
LLY,Eli Lilly and Company Common Stock,$927.06,-8.52,-0.911%,"875,903,791,820"
JPM,JP Morgan Chase & Co. Common Stock,$295.45,0.85,0.289%,"796,838,215,194"
XOM,Exxon Mobil Corporation Common Stock,$163.37,2.68,1.668%,"680,724,145,317"
AZN,AstraZeneca PLC Ordinary Shares,$202.83,-0.66,-0.324%,"629,067,456,019"
V,Visa Inc.,$303.33,2.53,0.841%,"581,183,102,789"
JNJ,Johnson & Johnson Common Stock,$240.97,-2.07,-0.852%,"580,403,527,382"
ASML,ASML Holding N.V. New York Registry Shares,"$1,304.01",-13.22,-1.004%,"502,588,489,337"
COST,Costco Wholesale Corporation Common Stock,"$1,018.55",3.59,0.354%,"451,882,294,617"
MA,Mastercard Incorporated Common Stock,$501.50,8.06,1.633%,"447,243,873,967"
