Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$188.12,-0.73,-0.387%,"4,571,316,000,000"
AAPL,Apple Inc. Common Stock,$267.26,-3.75,-1.384%,"3,949,128,102,780"
GOOG,Alphabet Inc. Class C Capital Stock,$317.32,2.00,0.634%,"3,829,100,440,000"
GOOGL,Alphabet Inc. Class A Common Stock,$316.54,1.39,0.441%,"3,819,688,180,000"
MSFT,Microsoft Corporation Common Stock,$472.85,-0.09,-0.019%,"3,514,399,774,167"
AMZN,"Amazon.com, Inc. Common Stock",$233.06,6.56,2.896%,"2,491,461,743,524"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$322.25,2.64,0.826%,"1,671,364,657,318"
META,"Meta Platforms, Inc. Class A Common Stock",$658.79,8.38,1.288%,"1,660,498,375,628"
AVGO,Broadcom Inc. Common Stock,$343.42,-4.20,-1.208%,"1,628,248,248,053"
TSLA,"Tesla, Inc. Common Stock",$451.67,13.60,3.105%,"1,502,172,743,159"
BRK/A,Berkshire Hathaway Inc.,"$748,250.00","4,130.00",0.555%,"1,100,581,470,500"
BRK/B,Berkshire Hathaway Inc.,$498.52,1.67,0.336%,"1,099,890,344,671"
LLY,Eli Lilly and Company Common Stock,"$1,041.51",-38.85,-3.596%,"984,626,636,753"
JPM,JP Morgan Chase & Co. Common Stock,$334.04,8.56,2.63%,"909,344,497,022"
WMT,Walmart Inc. Common Stock,$112.71,-0.05,-0.044%,"898,317,518,512"
V,Visa Inc.,$353.80,7.32,2.113%,"681,321,546,395"
ORCL,Oracle Corporation Common Stock,$192.59,-3.12,-1.594%,"553,336,106,700"
XOM,Exxon Mobil Corporation Common Stock,$125.36,2.71,2.21%,"528,663,881,371"
MA,Mastercard Incorporated Common Stock,$568.57,5.44,0.966%,"510,573,499,297"
JNJ,Johnson & Johnson Common Stock,$204.31,-3.04,-1.466%,"492,243,082,290"
ASML,ASML Holding N.V. New York Registry Shares,"$1,228.19",64.41,5.535%,"483,027,132,067"
BAC,Bank of America Corporation Common Stock,$56.89,0.94,1.68%,"415,438,971,840"
PLTR,Palantir Technologies Inc. Class A Common Stock,$174.04,6.18,3.682%,"414,813,260,266"
ABBV,AbbVie Inc. Common Stock,$220.18,-9.13,-3.982%,"389,142,748,274"
