Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$184.84,1.52,0.829%,"4,491,612,000,000"
GOOG,Alphabet Inc. Class C Capital Stock,$330.84,2.46,0.749%,"3,992,246,280,000"
GOOGL,Alphabet Inc. Class A Common Stock,$330.54,2.16,0.658%,"3,988,626,180,000"
AAPL,Apple Inc. Common Stock,$248.35,0.70,0.283%,"3,650,229,922,100"
MSFT,Microsoft Corporation Common Stock,$451.14,7.03,1.583%,"3,353,042,855,277"
AMZN,"Amazon.com, Inc. Common Stock",$234.34,3.03,1.31%,"2,505,145,220,018"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$327.37,1.25,0.383%,"1,697,919,776,156"
META,"Meta Platforms, Inc. Class A Common Stock",$647.63,34.67,5.656%,"1,632,369,287,645"
AVGO,Broadcom Inc. Common Stock,$325.49,-3.31,-1.007%,"1,543,237,208,837"
TSLA,"Tesla, Inc. Common Stock",$449.36,17.92,4.154%,"1,494,490,100,883"
BRK/B,Berkshire Hathaway Inc.,$484.49,0.66,0.136%,"1,068,935,796,136"
BRK/A,Berkshire Hathaway Inc.,"$726,200.00","2,120.51",0.293%,"1,068,148,698,800"
LLY,Eli Lilly and Company Common Stock,"$1,087.38",8.86,0.821%,"1,027,991,389,687"
WMT,Walmart Inc. Common Stock,$117.83,-1.53,-1.282%,"939,124,773,368"
JPM,JP Morgan Chase & Co. Common Stock,$303.63,1.59,0.526%,"826,560,500,631"
V,Visa Inc.,$326.36,1.08,0.332%,"628,479,649,184"
XOM,Exxon Mobil Corporation Common Stock,$133.64,0.03,0.022%,"563,582,012,655"
ASML,ASML Holding N.V. New York Registry Shares,"$1,395.00",34.91,2.567%,"548,630,789,400"
JNJ,Johnson & Johnson Common Stock,$218.49,0.48,0.22%,"526,406,886,836"
ORCL,Oracle Corporation Common Stock,$178.18,4.30,2.473%,"511,934,303,400"
MA,Mastercard Incorporated Common Stock,$532.86,5.29,1.003%,"478,506,067,565"
MU,"Micron Technology, Inc. Common Stock",$397.58,8.47,2.177%,"447,479,971,988"
COST,Costco Wholesale Corporation Common Stock,$976.17,-6.69,-0.681%,"433,292,002,936"
AMD,"Advanced Micro Devices, Inc. Common Stock",$253.73,3.93,1.573%,"413,082,979,944"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$177.18,8.51,5.045%,"409,158,135,432"
PLTR,Palantir Technologies Inc. Class A Common Stock,$165.90,0.57,0.345%,"395,412,088,474"
ABBV,AbbVie Inc. Common Stock,$218.11,1.96,0.907%,"385,484,262,086"
BAC,Bank of America Corporation Common Stock,$52.45,0.38,0.73%,"383,015,891,598"
HD,"Home Depot, Inc. (The) Common Stock",$381.03,-3.61,-0.939%,"379,319,741,130"
NFLX,"Netflix, Inc. Common Stock",$83.54,-1.82,-2.132%,"353,985,991,824"
PG,Procter & Gamble Company (The) Common Stock,$149.93,3.87,2.65%,"350,346,461,002"
CVX,Chevron Corporation Common Stock,$166.66,-0.07,-0.042%,"335,573,509,356"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$354.47,6.72,1.932%,"321,092,615,631"
GE,GE Aerospace Common Stock,$295.00,-23.50,-7.378%,"311,170,103,745"
KO,Coca-Cola Company (The) Common Stock,$71.87,-0.14,-0.194%,"309,156,627,690"
CAT,"Caterpillar, Inc. Common Stock",$648.41,3.03,0.469%,"303,442,649,842"
TM,Toyota Motor Corporation Common Stock,$227.04,-0.70,-0.307%,"296,262,901,498"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$74.33,0.64,0.869%,"293,684,858,868"
MS,Morgan Stanley Common Stock,$183.05,-0.27,-0.147%,"290,923,069,379"
HSBC,"HSBC Holdings, plc. Common Stock",$83.75,0.58,0.697%,"287,685,267,655"
NVS,Novartis AG Common Stock,$145.00,-0.11,-0.076%,"286,387,940,960"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$954.65,1.64,0.172%,"286,326,753,026"
AZN,AstraZeneca PLC American Depositary Shares,$91.69,1.15,1.27%,"284,372,109,857"
SAP,SAP  SE ADS,$226.35,1.25,0.555%,"278,071,932,913"
NVO,Novo Nordisk A/S Common Stock,$62.23,2.91,4.906%,"277,856,950,000"
LRCX,Lam Research Corporation Common Stock,$220.70,-7.69,-3.367%,"277,205,821,000"
WFC,Wells Fargo & Company Common Stock,$88.04,1.92,2.229%,"276,365,003,078"
IBM,International Business Machines Corporation Common Stock,$294.67,-2.87,-0.965%,"275,438,423,152"
MRK,"Merck & Company, Inc. Common Stock (new)",$109.18,-1.93,-1.737%,"270,987,220,480"
PM,Philip Morris International Inc Common Stock,$170.05,1.24,0.735%,"264,706,419,267"
RTX,RTX Corporation Common Stock,$196.34,-1.16,-0.587%,"263,247,163,092"
AXP,American Express Company Common Stock,$368.02,8.41,2.339%,"253,511,185,337"
AMAT,"Applied Materials, Inc. Common Stock",$318.785,-6.455,-1.985%,"252,778,450,930"
INTC,Intel Corporation Common Stock,$54.32,0.07,0.129%,"249,425,306,650"
TMO,Thermo Fisher Scientific Inc Common Stock,$639.45,3.15,0.495%,"240,246,518,328"
CCZ,Comcast Holdings ZONES,$65.00,1.82,2.881%,"236,853,142,825"
RY,Royal Bank Of Canada Common Stock,$168.86,0.86,0.512%,"236,439,796,125"
MCD,McDonald's Corporation Common Stock,$306.03,0.34,0.111%,"217,940,595,731"
CRM,"Salesforce, Inc. Common Stock",$228.09,6.51,2.938%,"213,720,330,000"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$17.90,-0.36,-1.972%,"212,432,025,468"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$72.42,-1.39,-1.883%,"210,431,968,942"
LIN,Linde plc Ordinary Shares,$445.64,6.29,1.432%,"208,091,121,165"
TMUS,"T-Mobile US, Inc. Common Stock",$185.39,1.79,0.975%,"207,359,943,394"
C,"Citigroup, Inc. Common Stock",$115.66,1.80,1.581%,"206,946,523,950"
DIS,Walt Disney Company (The) Common Stock,$113.21,0.02,0.018%,"202,112,550,256"
PEP,"PepsiCo, Inc. Common Stock",$144.40,-2.34,-1.595%,"197,443,913,617"
KLAC,KLA Corporation Common Stock,"$1,500.00",-20.00,-1.316%,"197,088,507,000"
BA,Boeing Company (The) Common Stock,$251.41,1.34,0.536%,"191,095,601,610"
ABT,Abbott Laboratories Common Stock,$108.61,-12.12,-10.039%,"188,858,882,164"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$285.09,4.37,1.557%,"188,282,713,399"
AMGN,Amgen Inc. Common Stock,$347.07,3.47,1.01%,"186,890,486,484"
APH,Amphenol Corporation Common Stock,$152.50,-2.10,-1.358%,"186,668,464,970"
ISRG,"Intuitive Surgical, Inc. Common Stock",$525.81,2.12,0.405%,"186,397,580,144"
SCHW,Charles Schwab Corporation (The) Common Stock,$104.05,2.26,2.22%,"184,890,270,919"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$12.43,0.25,2.053%,"182,959,947,309"
GEV,GE Vernova Inc. Common Stock,$661.67,-6.22,-0.931%,"179,524,608,107"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$137.64,-0.90,-0.65%,"179,108,323,997"
TXN,Texas Instruments Incorporated Common Stock,$194.99,0.58,0.298%,"177,172,402,670"
NEE,"NextEra Energy, Inc. Common Stock",$85.07,1.22,1.455%,"177,167,605,818"
BLK,"BlackRock, Inc. Common Stock","$1,139.72",11.87,1.052%,"176,828,594,005"
APP,Applovin Corporation Class A Common Stock,$521.94,-10.62,-1.994%,"176,392,232,700"
ANET,"Arista Networks, Inc. Common Stock",$138.41,11.12,8.736%,"174,297,646,539"
UBER,"Uber Technologies, Inc. Common Stock",$82.56,-1.70,-2.018%,"171,545,676,255"
TJX,"TJX Companies, Inc. (The) Common Stock",$153.42,-2.43,-1.559%,"170,367,861,715"
DHR,Danaher Corporation Common Stock,$240.08,-1.97,-0.814%,"169,580,403,085"
QCOM,QUALCOMM Incorporated Common Stock,$157.80,1.43,0.914%,"169,003,800,000"
T,AT&T Inc.,$23.58,0.08,0.34%,"167,169,219,092"
VZ,Verizon Communications Inc. Common Stock,$39.48,0.24,0.612%,"166,464,478,306"
BKNG,Booking Holdings Inc. Common Stock,"$5,150.90",-12.71,-0.246%,"166,033,157,684"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$64.97,-0.64,-0.975%,"164,988,494,522"
HDB,HDFC Bank Limited Common Stock,$32.10,-0.03,-0.093%,"164,288,650,875"
SPGI,S&P Global Inc. Common Stock,$539.80,8.64,1.627%,"163,451,440,000"
GILD,"Gilead Sciences, Inc. Common Stock",$131.14,2.03,1.572%,"162,702,725,760"
TD,Toronto Dominion Bank (The) Common Stock,$94.71,1.05,1.121%,"161,689,290,840"
TBB,AT&T Inc. 5.350% Global Notes due 2066,$22.58,0.08,0.356%,"161,455,704,138"
LOW,"Lowe's Companies, Inc. Common Stock",$274.95,-2.16,-0.779%,"154,233,603,102"
INTU,Intuit Inc. Common Stock,$547.69,22.77,4.338%,"152,476,896,000"
UBS,UBS Group AG Registered Ordinary Shares,$47.91,0.46,0.969%,"152,105,877,775"
ADI,"Analog Devices, Inc. Common Stock",$308.52,3.55,1.164%,"151,068,082,006"
PDD,PDD Holdings Inc. American Depositary Shares,$106.02,0.10,0.094%,"150,510,917,901"
COF,Capital One Financial Corporation Common Stock,$235.07,4.06,1.757%,"149,441,898,527"
PFE,"Pfizer, Inc. Common Stock",$26.10,0.21,0.811%,"148,396,967,107"
TTE,TotalEnergies SE Ordinary Shares,$67.07,-0.65,-0.96%,"146,337,471,194"
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$65.53,0.70,1.08%,"146,304,270,112"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$25.02,0.22,0.887%,"144,197,402,334"
SCCO,Southern Copper Corporation Common Stock,$176.41,-7.65,-4.156%,"143,278,760,730"
HON,Honeywell International Inc. Common Stock,$222.54,3.37,1.538%,"141,287,799,268"
DE,Deere & Company Common Stock,$522.38,-7.13,-1.347%,"141,275,287,380"
SONY,Sony Group Corporation American Depositary Shares ,$22.96,-0.72,-3.041%,"138,334,052,693"
LMT,Lockheed Martin Corporation Common Stock,$593.91,7.68,1.31%,"137,429,465,022"
UNP,Union Pacific Corporation Common Stock,$231.37,1.98,0.863%,"137,239,634,888"
SYK,Stryker Corporation Common Stock,$358.67,-4.27,-1.177%,"137,163,889,828"
BSX,Boston Scientific Corporation Common Stock,$91.29,-0.42,-0.458%,"135,332,133,740"
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$20.65,-0.15,-0.721%,"133,689,664,506"
NOW,"ServiceNow, Inc. Common Stock",$128.56,3.26,2.602%,"133,495,507,749"
NEM,Newmont Corporation,$121.69,2.78,2.338%,"132,795,792,158"
MDT,Medtronic plc. Ordinary Shares,$101.34,1.05,1.047%,"129,919,319,839"
ETN,"Eaton Corporation, PLC Ordinary Shares",$334.04,-3.92,-1.16%,"129,741,136,000"
PANW,"Palo Alto Networks, Inc. Common Stock",$182.27,0.80,0.441%,"127,042,190,000"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$58.22,0.51,0.884%,"127,027,020,208"
ARM,Arm Holdings plc American Depositary Shares,$119.20,5.28,4.635%,"126,264,268,681"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$69.66,0.40,0.578%,"125,192,849,112"
WELL,Welltower Inc. Common Stock,$181.96,-4.04,-2.172%,"124,884,250,704"
ADBE,Adobe Inc. Common Stock,$299.73,5.50,1.869%,"123,039,165,000"
PGR,Progressive Corporation (The) Common Stock,$206.92,3.92,1.931%,"121,337,316,073"
COP,ConocoPhillips Common Stock,$96.88,-0.27,-0.278%,"119,716,384,060"
SATA,"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",$95.27,-4.23,-4.251%,"118,843,305,270"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$467.35,6.21,1.347%,"118,575,495,668"
PH,Parker-Hannifin Corporation Common Stock,$939.27,-6.02,-0.637%,"118,523,380,770"
CB,Chubb Limited  Common Stock,$300.92,0.94,0.313%,"118,427,324,490"
PLD,"Prologis, Inc. Common Stock",$126.67,-4.47,-3.409%,"117,659,582,890"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$453.77,7.89,1.77%,"114,394,709,119"
BX,Blackstone Inc. Common Stock,$154.91,-1.06,-0.68%,"114,393,424,427"
SNY,Sanofi ADS,$46.50,0.32,0.693%,"114,181,333,482"
BMY,Bristol-Myers Squibb Company Common Stock,$54.94,0.44,0.807%,"111,844,271,303"
KKR,KKR & Co. Inc. Common Stock,$123.48,-0.85,-0.684%,"110,064,319,067"
RIO,Rio Tinto Plc Common Stock,$87.30,-1.54,-1.733%,"109,499,720,060"
