Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$210.69,6.04,2.951%,"5,098,698,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$368.03,4.24,1.166%,"4,459,051,480,000"
GOOG,Alphabet Inc. Class C Capital Stock,$367.46,5.36,1.48%,"4,452,145,360,000"
AAPL,Apple Inc. Common Stock,$298.01,2.06,0.696%,"4,376,978,961,560"
MSFT,Microsoft Corporation Common Stock,$379.40,0.49,0.129%,"2,818,348,126,698"
AMZN,"Amazon.com, Inc. Common Stock",$244.39,6.89,2.901%,"2,628,929,975,064"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$185.00,-6.82,-3.555%,"2,421,807,983,525"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$462.12,29.97,6.935%,"2,396,787,646,236"
AVGO,Broadcom Inc. Common Stock,$411.35,18.45,4.696%,"1,957,030,614,447"
TSLA,"Tesla, Inc. Common Stock",$400.49,4.11,1.037%,"1,504,129,853,097"
META,"Meta Platforms, Inc. Class A Common Stock",$577.22,9.64,1.698%,"1,465,228,699,535"
MU,"Micron Technology, Inc. Common Stock","$1,133.99",90.80,8.704%,"1,278,839,136,493"
BRK/B,Berkshire Hathaway Inc.,$489.46,-1.82,-0.37%,"1,079,901,163,650"
BRK/A,Berkshire Hathaway Inc.,"$733,609.770000000019","-3,690.23",-0.501%,"1,079,047,536,839"
LLY,Eli Lilly and Company Common Stock,"$1,098.57",-13.43,-1.208%,"1,034,568,856,389"
WMT,Walmart Inc. Common Stock,$117.18,-0.95,-0.804%,"932,527,715,383"
AMD,"Advanced Micro Devices, Inc. Common Stock",$537.37,24.89,4.857%,"876,235,865,379"
JPM,JP Morgan Chase & Co. Common Stock,$325.22,-8.24,-2.471%,"871,430,703,362"
ASML,ASML Holding N.V. New York Registry Shares,"$1,929.68",61.85,3.311%,"743,732,759,797"
INTC,Intel Corporation Common Stock,$133.99,12.89,10.644%,"673,433,740,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$51.45,0.58,1.14%,"623,368,200,000"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$51.38,0.38,0.745%,"622,520,080,000"
V,Visa Inc.,$327.24,-3.14,-0.95%,"619,945,694,249"
XOM,Exxon Mobil Corporation Common Stock,$137.81,-2.93,-2.082%,"571,215,168,395"
JNJ,Johnson & Johnson Common Stock,$228.39,-5.81,-2.481%,"549,784,284,007"
AZN,AstraZeneca PLC Ordinary Shares,$174.93,-2.96,-1.664%,"542,536,952,528"
ORCL,Oracle Corporation Common Stock,$184.29,0.76,0.414%,"530,026,517,340"
AMAT,"Applied Materials, Inc. Common Stock",$617.11,24.19,4.08%,"489,960,303,847"
LRCX,Lam Research Corporation Common Stock,$389.04,14.86,3.971%,"486,522,141,840"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$119.54,2.21,1.884%,"471,159,099,854"
ARM,Arm Holdings plc American Depositary Shares,$439.46,20.58,4.913%,"467,609,721,044"
CAT,"Caterpillar, Inc. Common Stock",$985.82,29.90,3.128%,"454,105,192,971"
MA,Mastercard Incorporated Common Stock,$489.79,-3.20,-0.649%,"432,770,536,340"
COST,Costco Wholesale Corporation Common Stock,$951.45,-14.14,-1.464%,"421,947,908,066"
BAC,Bank of America Corporation Common Stock,$56.20,-0.33,-0.584%,"398,828,394,586"
ABBV,AbbVie Inc. Common Stock,$216.49,-4.74,-2.143%,"382,492,977,818"
GE,GE Aerospace Common Stock,$357.64,0.61,0.171%,"373,139,128,725"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$400.96,1.43,0.358%,"364,129,580,228"
MS,Morgan Stanley Common Stock,$223.17,-1.79,-0.796%,"352,002,652,610"
PG,Procter & Gamble Company (The) Common Stock,$150.38,-0.18,-0.12%,"350,174,714,312"
CVX,Chevron Corporation Common Stock,$173.63,-3.95,-2.224%,"345,801,114,207"
KO,Coca-Cola Company (The) Common Stock,$79.39,-0.54,-0.676%,"341,706,696,905"
KLAC,KLA Corporation Common Stock,$259.56,20.83,8.725%,"339,056,793,508"
HD,"Home Depot, Inc. (The) Common Stock",$334.28,6.80,2.076%,"333,316,164,459"
HSBC,"HSBC Holdings, plc. Common Stock",$94.97,-0.26,-0.273%,"326,226,505,901"
NFLX,"Netflix, Inc. Common Stock",$77.38,0.42,0.546%,"325,831,590,097"
SNDK,Sandisk Corporation Common Stock,"$2,184.75",225.95,11.535%,"323,539,098,791"
GS,"Goldman Sachs Group, Inc. (The) Common Stock","$1,096.56",-2.58,-0.235%,"323,493,337,572"
PLTR,Palantir Technologies Inc. Class A Common Stock,$128.47,-2.16,-1.654%,"307,982,669,685"
GEV,GE Vernova Inc. Common Stock,"$1,109.73",60.87,5.803%,"298,206,640,051"
TXN,Texas Instruments Incorporated Common Stock,$322.86,20.98,6.95%,"293,832,558,502"
MRK,"Merck & Company, Inc. Common Stock (new)",$113.87,-1.57,-1.36%,"281,238,906,136"
NVS,Novartis AG Common Stock,$147.08,-3.80,-2.519%,"280,650,948,947"
RY,Royal Bank Of Canada Common Stock,$201.56,0.86,0.429%,"280,123,509,968"
PM,Philip Morris International Inc Common Stock,$178.40,-1.04,-0.58%,"278,046,898,126"
TM,Toyota Motor Corporation Common Stock,$173.94,1.17,0.677%,"274,738,011,879"
MRVL,"Marvell Technology, Inc. Common Stock",$310.58,21.04,7.267%,"271,695,384,000"
DELL,Dell Technologies Inc. Class C Common Stock ,$409.50,-9.82,-2.342%,"265,400,222,315"
WDC,Western Digital Corporation Common Stock,$746.23,34.10,4.788%,"257,212,146,616"
WFC,Wells Fargo & Company Common Stock,$82.20,-1.61,-1.921%,"251,547,576,407"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$21.08,0.33,1.59%,"250,171,346,194"
RTX,RTX Corporation Common Stock,$185.60,-6.98,-3.624%,"249,944,444,237"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$107.10,-0.34,-0.316%,"249,943,127,528"
C,"Citigroup, Inc. Common Stock",$143.06,-0.72,-0.501%,"243,999,839,182"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),"$1,070.23",4.16,0.39%,"239,976,594,108"
QCOM,QUALCOMM Incorporated Common Stock,$226.11,13.14,6.17%,"238,319,940,000"
LIN,Linde plc Ordinary Shares,$512.15,-3.70,-0.717%,"236,920,353,899"
PANW,"Palo Alto Networks, Inc. Common Stock",$287.78,5.65,2.003%,"234,540,700,000"
IBM,International Business Machines Corporation Common Stock,$249.10,-13.25,-5.051%,"234,125,423,248"
CCZ,Comcast Holdings ZONES,$65.50,2.10,3.312%,"234,085,306,285"
AXP,American Express Company Common Stock,$338.00,-2.54,-0.746%,"230,626,337,734"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$78.81,-1.57,-1.953%,"228,999,495,613"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$87.87,-2.49,-2.756%,"223,142,050,388"
ANET,"Arista Networks, Inc. Common Stock",$169.67,4.74,2.874%,"213,648,903,954"
ADI,"Analog Devices, Inc. Common Stock",$434.46,20.01,4.828%,"211,619,835,398"
APH,Amphenol Corporation Common Stock,$163.96,2.85,1.769%,"201,709,239,602"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$13.50,0.17,1.275%,"198,709,516,386"
MCD,McDonald's Corporation Common Stock,$278.61,-5.21,-1.836%,"197,954,037,376"
TD,Toronto Dominion Bank (The) Common Stock,$119.29,0.79,0.667%,"197,117,181,800"
TMUS,"T-Mobile US, Inc. Common Stock",$181.67,0.36,0.199%,"196,604,130,937"
PEP,"PepsiCo, Inc. Common Stock",$142.02,0.43,0.304%,"194,108,436,096"
NVO,Novo Nordisk A/S Common Stock,$43.19,-0.33,-0.758%,"192,843,350,000"
SAP,SAP  SE ADS,$155.22,-3.57,-2.248%,"190,688,426,891"
VZ,Verizon Communications Inc. Common Stock,$45.37,-0.47,-1.025%,"189,445,107,747"
AMGN,Amgen Inc. Common Stock,$337.60,-4.06,-1.188%,"182,205,513,302"
TJX,"TJX Companies, Inc. (The) Common Stock",$163.81,-0.32,-0.195%,"180,961,635,299"
NEE,"NextEra Energy, Inc. Common Stock",$86.75,1.02,1.19%,"180,903,371,308"
DIS,Walt Disney Company (The) Common Stock,$103.89,3.03,3.004%,"180,406,171,839"
BA,Boeing Company (The) Common Stock,$222.72,-2.91,-1.29%,"175,570,695,160"
TTE,TotalEnergies SE Ordinary Shares,$80.43,-1.69,-2.058%,"175,487,144,896"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$684.86,1.90,0.278%,"174,341,262,625"
TMO,Thermo Fisher Scientific Inc Common Stock,$464.61,2.92,0.632%,"172,659,048,854"
HONAV,Honeywell Aerospace Inc. Common Stock When Issued,$267.80,-2.15,-0.796%,"169,785,200,000"
GLW,Corning Incorporated Common Stock,$194.92,19.52,11.129%,"167,755,524,849"
ETN,"Eaton Corporation, PLC Ordinary Shares",$421.77,12.13,2.961%,"163,773,291,000"
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$25.23,0.69,2.812%,"163,340,931,500"
BLK,"BlackRock, Inc. Common Stock","$1,050.09",-7.29,-0.689%,"163,009,659,509"
IBKR,"Interactive Brokers Group, Inc. Class A Common Stock",$96.00,0.91,0.957%,"162,849,959,232"
SCCO,Southern Copper Corporation Common Stock,$192.93,1.25,0.652%,"160,966,998,663"
SCHW,Charles Schwab Corporation (The) Common Stock,$91.70,-2.81,-2.973%,"159,478,725,992"
DE,Deere & Company Common Stock,$589.24,0.77,0.131%,"159,057,928,307"
APP,Applovin Corporation Class A Common Stock,$469.71,-9.78,-2.04%,"157,794,377,400"
UBS,UBS Group AG Registered Ordinary Shares,$50.80,1.07,2.152%,"157,058,318,903"
ABT,Abbott Laboratories Common Stock,$88.41,-0.09,-0.102%,"153,993,636,848"
GILD,"Gilead Sciences, Inc. Common Stock",$123.76,-1.69,-1.347%,"153,656,687,606"
T,AT&T Inc.,$22.01,-0.43,-1.916%,"152,932,937,758"
UNP,Union Pacific Corporation Common Stock,$256.88,-1.17,-0.453%,"152,513,050,155"
TBB,AT&T Inc. 5.350% Global Notes due 2066,$20.60,0.01,0.049%,"147,297,940,888"
WELL,Welltower Inc. Common Stock,$206.65,0.10,0.048%,"145,877,221,093"
UBER,"Uber Technologies, Inc. Common Stock",$71.64,0.73,1.029%,"145,830,313,291"
HON,Honeywell International Inc. Common Stock,$229.01,0.40,0.175%,"145,112,900,782"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$80.74,0.06,0.074%,"145,105,927,516"
ISRG,"Intuitive Surgical, Inc. Common Stock",$406.78,4.60,1.144%,"144,066,360,869"
PFE,"Pfizer, Inc. Common Stock",$25.21,-0.71,-2.739%,"143,682,987,500"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$108.85,0.76,0.703%,"141,049,030,071"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$24.48,0.01,0.041%,"139,755,553,776"
BKNG,Booking Holdings Inc. Common Stock,$171.78,0.15,0.087%,"133,108,617,736"
COP,ConocoPhillips Common Stock,$107.74,-3.47,-3.12%,"131,258,996,314"
PLD,"Prologis, Inc. Common Stock",$140.54,-0.40,-0.284%,"131,030,782,520"
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$58.40,0.64,1.108%,"130,385,615,360"
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$10.30,0.16,1.578%,"129,411,601,445"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$58.91,-0.58,-0.975%,"128,532,493,309"
HDB,HDFC Bank Limited Common Stock,$25.06,0.30,1.212%,"128,257,744,265"
VRT,"Vertiv Holdings, LLC Class A Common Stock",$333.05,15.47,4.871%,"127,927,441,169"
RIO,Rio Tinto Plc Common Stock,$100.08,-2.59,-2.523%,"125,701,512,225"
CVS,CVS Health Corporation Common Stock,$98.32,-0.84,-0.847%,"125,449,172,824"
CB,Chubb Limited  Common Stock,$323.40,-4.56,-1.39%,"125,433,958,280"
DHR,Danaher Corporation Common Stock,$177.17,-0.59,-0.332%,"125,395,721,986"
LOW,"Lowe's Companies, Inc. Common Stock",$222.20,4.93,2.269%,"124,589,104,510"
CRM,"Salesforce, Inc. Common Stock",$151.78,-3.24,-2.09%,"124,307,820,000"
COF,Capital One Financial Corporation Common Stock,$201.53,0.66,0.329%,"124,146,406,006"
SONY,Sony Group Corporation American Depositary Shares ,$20.33,0.09,0.445%,"122,488,296,657"
SPGI,S&P Global Inc. Common Stock,$410.92,-7.10,-1.698%,"121,632,320,000"
BMO,Bank Of Montreal Common Stock,$170.82,0.98,0.577%,"120,414,419,539"
PH,Parker-Hannifin Corporation Common Stock,$953.27,7.30,0.772%,"120,194,372,042"
PGR,Progressive Corporation (The) Common Stock,$204.87,0.45,0.22%,"119,713,011,380"
ENB,Enbridge Inc Common Stock,$54.55,0.08,0.147%,"119,115,265,390"
SYK,Stryker Corporation Common Stock,$307.80,6.66,2.212%,"117,998,442,544"
LMT,Lockheed Martin Corporation Common Stock,$510.95,-21.37,-4.015%,"117,806,475,508"
MO,"Altria Group, Inc.",$69.12,0.17,0.247%,"115,422,882,163"
SBUX,Starbucks Corporation Common Stock,$100.65,0.83,0.831%,"114,710,805,000"
