Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$189.82,1.92,1.022%,"4,612,626,000,000"
AAPL,Apple Inc. Common Stock,$264.58,4.00,1.535%,"3,884,336,021,200"
GOOGL,Alphabet Inc. Class A Common Stock,$314.98,12.13,4.005%,"3,810,313,060,000"
GOOG,Alphabet Inc. Class C Capital Stock,$314.90,11.34,3.736%,"3,809,345,300,000"
MSFT,Microsoft Corporation Common Stock,$397.23,-1.23,-0.309%,"2,949,682,637,859"
AMZN,"Amazon.com, Inc. Common Stock",$210.11,5.25,2.563%,"2,255,514,223,996"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$370.54,10.15,2.816%,"1,921,822,994,950"
META,"Meta Platforms, Inc. Class A Common Stock",$655.66,10.88,1.687%,"1,658,528,335,526"
AVGO,Broadcom Inc. Common Stock,$332.65,-1.34,-0.401%,"1,577,184,729,237"
TSLA,"Tesla, Inc. Common Stock",$411.82,0.11,0.027%,"1,545,326,539,651"
BRK/B,Berkshire Hathaway Inc.,$498.20,1.26,0.254%,"1,099,184,325,032"
BRK/A,Berkshire Hathaway Inc.,"$746,500.010000000009",400.01,0.054%,"1,098,007,455,709"
WMT,Walmart Inc. Common Stock,$122.99,-1.88,-1.506%,"980,250,834,902"
LLY,Eli Lilly and Company Common Stock,"$1,009.52",-13.70,-1.339%,"952,338,182,638"
JPM,JP Morgan Chase & Co. Common Stock,$310.79,2.74,0.889%,"838,210,691,826"
AZN,AstraZeneca PLC Ordinary Shares,$204.20,-4.42,-2.119%,"633,316,444,900"
XOM,Exxon Mobil Corporation Common Stock,$147.28,-3.69,-2.444%,"621,104,151,630"
V,Visa Inc.,$320.95,2.02,0.633%,"614,943,186,761"
JNJ,Johnson & Johnson Common Stock,$242.49,-4.42,-1.79%,"584,376,392,991"
ASML,ASML Holding N.V. New York Registry Shares,"$1,469.59",10.66,0.731%,"577,965,822,075"
MU,"Micron Technology, Inc. Common Stock",$428.17,10.82,2.593%,"481,909,300,282"
MA,Mastercard Incorporated Common Stock,$526.41,6.15,1.182%,"469,458,918,634"
COST,Costco Wholesale Corporation Common Stock,$985.27,-2.55,-0.258%,"437,331,214,576"
ORCL,Oracle Corporation Common Stock,$148.08,-8.46,-5.404%,"425,595,395,280"
ABBV,AbbVie Inc. Common Stock,$224.81,0.46,0.205%,"397,325,739,120"
BAC,Bank of America Corporation Common Stock,$53.06,0.29,0.55%,"387,470,413,883"
HD,"Home Depot, Inc. (The) Common Stock",$382.25,3.67,0.969%,"380,534,265,141"
PG,Procter & Gamble Company (The) Common Stock,$160.78,2.22,1.40%,"373,652,830,134"
CVX,Chevron Corporation Common Stock,$183.93,-0.85,-0.46%,"370,347,027,336"
GE,GE Aerospace Common Stock,$343.22,8.48,2.533%,"359,973,807,911"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$154.45,0.18,0.117%,"356,668,213,215"
CAT,"Caterpillar, Inc. Common Stock",$759.74,-0.79,-0.104%,"353,497,397,614"
KO,Coca-Cola Company (The) Common Stock,$79.84,0.93,1.179%,"343,440,450,185"
NFLX,"Netflix, Inc. Common Stock",$78.67,1.67,2.169%,"332,157,496,341"
AMD,"Advanced Micro Devices, Inc. Common Stock",$200.15,-3.22,-1.583%,"325,852,514,231"
PLTR,Palantir Technologies Inc. Class A Common Stock,$135.24,0.35,0.259%,"323,314,306,956"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$79.20,0.64,0.815%,"312,831,528,926"
TM,Toyota Motor Corporation Common Stock,$239.60,-2.05,-0.848%,"312,652,357,289"
NVS,Novartis AG Common Stock,$162.67,-1.25,-0.763%,"310,399,033,623"
LRCX,Lam Research Corporation Common Stock,$244.92,7.53,3.172%,"305,848,993,320"
MRK,"Merck & Company, Inc. Common Stock (new)",$122.26,0.40,0.328%,"303,452,075,251"
HSBC,"HSBC Holdings, plc. Common Stock",$88.15,1.31,1.509%,"302,799,478,732"
AMAT,"Applied Materials, Inc. Common Stock",$375.38,5.55,1.501%,"297,565,685,108"
PM,Philip Morris International Inc Common Stock,$183.40,-0.10,-0.054%,"285,495,034,789"
MS,Morgan Stanley Common Stock,$175.41,1.04,0.596%,"278,780,746,243"
WFC,Wells Fargo & Company Common Stock,$88.70,1.13,1.29%,"278,436,798,875"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$922.24,5.59,0.61%,"276,606,069,985"
RTX,RTX Corporation Common Stock,$204.92,-0.49,-0.239%,"275,061,590,566"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$290.00,0.07,0.024%,"262,693,199,800"
SAP,SAP  SE ADS,$202.59,2.33,1.163%,"248,882,672,361"
RY,Royal Bank Of Canada Common Stock,$172.47,1.77,1.037%,"241,494,561,398"
IBM,International Business Machines Corporation Common Stock,$257.16,0.88,0.343%,"240,376,505,575"
AXP,American Express Company Common Stock,$346.18,3.53,1.03%,"237,692,036,251"
TMUS,"T-Mobile US, Inc. Common Stock",$215.46,0.16,0.074%,"237,407,345,745"
CCZ,Comcast Holdings ZONES,$64.38,UNCH,--,"234,593,928,232"
MCD,McDonald's Corporation Common Stock,$329.23,2.12,0.648%,"234,462,576,651"
LIN,Linde plc Ordinary Shares,$496.51,6.40,1.306%,"231,844,813,234"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$79.78,-0.60,-0.746%,"231,818,040,351"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$19.36,0.10,0.519%,"229,758,883,411"
PEP,"PepsiCo, Inc. Common Stock",$164.94,0.35,0.213%,"225,415,094,802"
GEV,GE Vernova Inc. Common Stock,$830.34,-4.27,-0.512%,"223,801,095,138"
INTC,Intel Corporation Common Stock,$44.11,-0.51,-1.143%,"220,329,450,000"
NVO,Novo Nordisk A/S Common Stock,$47.42,-1.03,-2.126%,"211,730,300,000"
VZ,Verizon Communications Inc. Common Stock,$49.25,0.61,1.254%,"207,720,945,274"
C,"Citigroup, Inc. Common Stock",$116.00,0.45,0.389%,"207,554,874,444"
AMGN,Amgen Inc. Common Stock,$374.75,-0.75,-0.20%,"201,795,631,457"
