Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$199.00,-1.04,-0.52%,"4,815,800,000,000"
AAPL,Apple Inc. Common Stock,$293.08,-1.22,-0.415%,"4,304,570,296,480"
GOOGL,Alphabet Inc. Class A Common Stock,$345.29,-0.84,-0.243%,"4,183,533,640,000"
GOOG,Alphabet Inc. Class C Capital Stock,$345.04,-1.04,-0.301%,"4,180,504,640,000"
MSFT,Microsoft Corporation Common Stock,$365.46,-8.48,-2.268%,"2,714,795,746,924"
AMZN,"Amazon.com, Inc. Common Stock",$234.27,0.16,0.068%,"2,520,068,027,572"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$440.83,4.44,1.017%,"2,286,366,956,830"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$154.54,-1.57,-1.006%,"2,023,060,571,751"
AVGO,Broadcom Inc. Common Stock,$382.07,1.92,0.505%,"1,817,728,666,250"
META,"Meta Platforms, Inc. Class A Common Stock",$557.67,-4.53,-0.806%,"1,415,602,523,942"
TSLA,"Tesla, Inc. Common Stock",$375.53,-6.08,-1.593%,"1,410,386,985,277"
MU,"Micron Technology, Inc. Common Stock","$1,048.51",-3.26,-0.31%,"1,182,440,429,814"
BRK/A,Berkshire Hathaway Inc.,"$742,900.00","5,099.95",0.691%,"1,092,712,294,600"
BRK/B,Berkshire Hathaway Inc.,$494.81,2.00,0.406%,"1,091,704,929,485"
LLY,Eli Lilly and Company Common Stock,"$1,117.26",10.18,0.92%,"1,052,170,003,268"
WMT,Walmart Inc. Common Stock,$119.00,-0.42,-0.352%,"947,011,419,445"
JPM,JP Morgan Chase & Co. Common Stock,$333.45,-0.69,-0.207%,"893,483,082,332"
AMD,"Advanced Micro Devices, Inc. Common Stock",$519.74,-0.11,-0.021%,"847,488,376,114"
ASML,ASML Holding N.V. New York Registry Shares,"$1,762.77",-15.69,-0.882%,"679,402,697,332"
INTC,Intel Corporation Common Stock,$131.65,-0.63,-0.476%,"661,672,900,000"
V,Visa Inc.,$332.23,3.75,1.142%,"629,399,089,354"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$49.10,-0.07,-0.142%,"594,895,600,000"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$49.00,-0.12,-0.244%,"593,684,000,000"
JNJ,Johnson & Johnson Common Stock,$241.00,1.92,0.803%,"580,139,290,011"
AZN,AstraZeneca PLC Ordinary Shares,$183.02,2.00,1.105%,"567,627,697,089"
XOM,Exxon Mobil Corporation Common Stock,$136.90,-2.83,-2.025%,"567,443,266,478"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$119.73,-1.42,-1.172%,"471,907,972,440"
