Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$207.29,4.01,1.973%,"5,016,418,000,000"
AAPL,Apple Inc. Common Stock,$327.74,1.15,0.352%,"4,813,634,055,440"
GOOGL,Alphabet Inc. Class A Common Stock,$347.15,-4.84,-1.375%,"4,206,069,400,000"
GOOG,Alphabet Inc. Class C Capital Stock,$346.19,-5.18,-1.474%,"4,194,438,040,000"
MSFT,Microsoft Corporation Common Stock,$397.75,-4.54,-1.129%,"2,954,659,903,516"
AMZN,"Amazon.com, Inc. Common Stock",$247.55,-2.44,-0.976%,"2,662,922,440,882"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$424.61,22.31,5.546%,"2,202,241,847,287"
AVGO,Broadcom Inc. Common Stock,$386.50,8.34,2.205%,"1,838,804,746,527"
META,"Meta Platforms, Inc. Class A Common Stock",$643.81,-2.04,-0.316%,"1,634,262,307,348"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$123.54,3.69,3.079%,"1,617,244,098,836"
TSLA,"Tesla, Inc. Common Stock",$378.93,9.36,2.533%,"1,423,156,446,438"
SKHY,SK hynix Inc. American Depositary Shares,$171.94,20.78,13.747%,"1,253,211,340,700"
LLY,Eli Lilly and Company Common Stock,"$1,175.41",28.51,2.486%,"1,106,932,266,026"
MU,"Micron Technology, Inc. Common Stock",$970.82,105.36,12.174%,"1,096,437,458,854"
BRK/B,Berkshire Hathaway Inc.,$489.65,-1.60,-0.326%,"1,080,320,362,810"
BRK/A,Berkshire Hathaway Inc.,"$733,526.00","-2,674.01",-0.363%,"1,078,924,321,724"
JPM,JP Morgan Chase & Co. Common Stock,$345.23,6.36,1.877%,"925,047,726,836"
AMD,"Advanced Micro Devices, Inc. Common Stock",$544.43,40.86,8.114%,"887,747,905,891"
WMT,Walmart Inc. Common Stock,$110.39,-1.81,-1.613%,"878,492,357,920"
ASML,ASML Holding N.V. New York Registry Shares,"$1,801.51",62.49,3.593%,"694,333,777,674"
V,Visa Inc.,$355.82,-4.75,-1.317%,"674,089,588,460"
XOM,ExxonMobil Holdings Corporation Common Stock,$151.71,3.35,2.258%,"628,829,933,947"
