Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$188.61,-0.60,-0.317%,"4,583,223,000,000"
AAPL,Apple Inc. Common Stock,$273.81,1.45,0.532%,"4,045,913,214,930"
GOOG,Alphabet Inc. Class C Capital Stock,$315.67,-0.01,-0.003%,"3,809,189,890,000"
GOOGL,Alphabet Inc. Class A Common Stock,$314.09,-0.26,-0.083%,"3,790,124,030,000"
MSFT,Microsoft Corporation Common Stock,$488.02,1.17,0.24%,"3,627,148,943,193"
AMZN,"Amazon.com, Inc. Common Stock",$232.38,0.24,0.103%,"2,484,192,396,636"
META,"Meta Platforms, Inc. Class A Common Stock",$667.55,2.61,0.393%,"1,682,578,197,377"
AVGO,Broadcom Inc. Common Stock,$350.22,0.90,0.258%,"1,660,488,909,886"
TSLA,"Tesla, Inc. Common Stock",$485.40,-0.16,-0.033%,"1,614,352,623,662"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$298.80,1.85,0.623%,"1,549,740,138,422"
BRK/B,Berkshire Hathaway Inc.,$501.34,0.83,0.166%,"1,106,112,142,737"
BRK/A,Berkshire Hathaway Inc.,"$751,245.040000000037",685.04,0.091%,"1,104,986,796,965"
LLY,Eli Lilly and Company Common Stock,"$1,076.98",5.34,0.498%,"1,018,159,398,614"
JPM,JP Morgan Chase & Co. Common Stock,$329.17,3.24,0.994%,"896,087,079,645"
WMT,Walmart Inc. Common Stock,$111.61,0.71,0.64%,"889,550,334,852"
V,Visa Inc.,$355.14,1.76,0.498%,"683,902,018,051"
ORCL,Oracle Corporation Common Stock,$197.49,2.15,1.101%,"567,414,443,700"
MA,Mastercard Incorporated Common Stock,$579.45,3.10,0.538%,"520,343,694,124"
XOM,Exxon Mobil Corporation Common Stock,$119.22,-0.20,-0.167%,"502,770,484,501"
JNJ,Johnson & Johnson Common Stock,$207.78,2.00,0.972%,"500,603,336,294"
PLTR,Palantir Technologies Inc. Class A Common Stock,$194.17,0.04,0.021%,"462,791,833,749"
ASML,ASML Holding N.V. New York Registry Shares,"$1,065.52",3.68,0.347%,"419,051,669,334"
BAC,Bank of America Corporation Common Stock,$56.25,0.28,0.50%,"410,765,374,688"
ABBV,AbbVie Inc. Common Stock,$229.89,1.10,0.481%,"406,304,053,050"
NFLX,"Netflix, Inc. Common Stock",$93.64,0.14,0.15%,"396,782,957,558"
COST,Costco Wholesale Corporation Common Stock,$871.86,17.07,1.997%,"386,991,984,674"
AMD,"Advanced Micro Devices, Inc. Common Stock",$215.04,0.14,0.065%,"350,094,052,762"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$150.06,-1.17,-0.774%,"346,530,476,368"
HD,"Home Depot, Inc. (The) Common Stock",$347.34,2.37,0.687%,"345,780,959,200"
PG,Procter & Gamble Company (The) Common Stock,$144.49,1.31,0.915%,"337,634,630,495"
GE,GE Aerospace Common Stock,$316.75,1.22,0.387%,"334,112,306,309"
MU,"Micron Technology, Inc. Common Stock",$286.68,10.41,3.768%,"322,660,994,943"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$78.02,UNCH,--,"308,264,397,805"
CVX,Chevron Corporation Common Stock,$150.50,-0.01,-0.007%,"303,035,000,349"
SAP,SAP  SE ADS,$245.60,0.64,0.261%,"301,720,639,379"
KO,Coca-Cola Company (The) Common Stock,$70.11,0.24,0.343%,"301,585,796,123"
WFC,Wells Fargo & Company Common Stock,$95.30,0.83,0.879%,"299,154,756,853"
