Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$228.45,4.04,1.80%,"5,505,645,000,000"
AAPL,Apple Inc. Common Stock,$328.21,3.25,1.00%,"4,789,955,817,800"
GOOGL,Alphabet Inc. Class A Common Stock,$342.48,5.36,1.59%,"4,188,530,400,000"
GOOG,Alphabet Inc. Class C Capital Stock,$339.08,5.30,1.588%,"4,146,948,400,000"
MSFT,Microsoft Corporation Common Stock,$510.12,13.30,2.677%,"3,787,919,265,869"
AMZN,"Amazon.com, Inc. Common Stock",$258.90,3.92,1.537%,"2,792,576,583,791"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$417.01,1.51,0.363%,"2,162,824,410,017"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$149.74,9.03,6.417%,"2,032,394,310,128"
AVGO,Broadcom Inc. Common Stock,$357.16,-10.08,-2.745%,"1,699,217,343,518"
META,"Meta Platforms, Inc. Class A Common Stock",$610.68,17.83,3.008%,"1,555,711,101,483"
TSLA,"Tesla, Inc. Common Stock",$376.365,19.355,5.421%,"1,486,471,404,943"
SKHY,SK hynix Inc. American Depositary Shares,$163.68,-1.30,-0.788%,"1,193,007,050,400"
BRK/A,Berkshire Hathaway Inc.,"$763,022.00","4,522.00",0.596%,"1,122,309,221,228"
BRK/B,Berkshire Hathaway Inc.,$508.13,2.89,0.572%,"1,121,092,996,946"
LLY,Eli Lilly and Company Common Stock,"$1,159.60",-0.48,-0.041%,"1,091,597,652,574"
MU,"Micron Technology, Inc. Common Stock",$958.16,2.08,0.218%,"1,082,139,341,562"
JPM,JP Morgan Chase & Co. Common Stock,$362.06,5.84,1.639%,"962,422,893,762"
WMT,Walmart Inc. Common Stock,$108.42,2.33,2.196%,"860,176,767,449"
AMD,"Advanced Micro Devices, Inc. Common Stock",$456.16,-0.90,-0.197%,"744,669,815,159"
V,Visa Inc.,$378.75,0.35,0.092%,"676,733,541,469"
JNJ,Johnson & Johnson Common Stock,$278.43,3.22,1.17%,"670,988,066,363"
XOM,ExxonMobil Holdings Corporation Common Stock,$162.21,-1.94,-1.182%,"666,993,239,032"
ASML,ASML Holding N.V. New York Registry Shares,"$1,646.19",-36.11,-2.146%,"634,470,705,946"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$48.59,0.51,1.061%,"594,255,700,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$48.32,0.57,1.194%,"590,953,600,000"
MA,Mastercard Incorporated Common Stock,$585.71,-2.43,-0.413%,"513,087,781,957"
INTC,Intel Corporation Common Stock,$91.67,1.62,1.799%,"484,482,322,073"
ABBV,AbbVie Inc. Common Stock,$260.21,-1.51,-0.577%,"459,821,588,730"
