Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$180.05,-2.43,-1.332%,"4,375,215,000,000"
AAPL,Apple Inc. Common Stock,$263.75,-0.97,-0.366%,"3,872,150,675,000"
GOOGL,Alphabet Inc. Class A Common Stock,$303.58,-2.94,-0.959%,"3,672,407,260,000"
GOOG,Alphabet Inc. Class C Capital Stock,$303.56,-2.80,-0.914%,"3,672,165,320,000"
MSFT,Microsoft Corporation Common Stock,$403.93,5.38,1.35%,"2,999,434,352,669"
AMZN,"Amazon.com, Inc. Common Stock",$208.73,0.34,0.163%,"2,240,700,033,195"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$353.13,-15.98,-4.329%,"1,831,525,217,808"
META,"Meta Platforms, Inc. Class A Common Stock",$655.08,1.52,0.233%,"1,657,061,193,357"
AVGO,Broadcom Inc. Common Stock,$313.84,-4.98,-1.562%,"1,488,001,369,078"
TSLA,"Tesla, Inc. Common Stock",$392.43,-10.89,-2.70%,"1,472,566,883,481"
BRK/B,Berkshire Hathaway Inc.,$481.36,1.19,0.248%,"1,062,030,041,545"
BRK/A,Berkshire Hathaway Inc.,"$721,044.890000000014","1,044.89",0.145%,"1,060,566,181,534"
WMT,Walmart Inc. Common Stock,$127.91,0.81,0.637%,"1,019,464,056,365"
LLY,Eli Lilly and Company Common Stock,"$1,007.73",-10.24,-1.006%,"950,649,572,857"
JPM,JP Morgan Chase & Co. Common Stock,$300.26,2.70,0.907%,"809,810,940,918"
XOM,Exxon Mobil Corporation Common Stock,$151.83,-2.39,-1.55%,"632,639,695,069"
AZN,AstraZeneca PLC Ordinary Shares,$201.76,-1.97,-0.967%,"625,748,902,659"
V,Visa Inc.,$320.83,0.32,0.10%,"614,713,265,644"
JNJ,Johnson & Johnson Common Stock,$246.75,-1.81,-0.728%,"594,642,562,458"
ASML,ASML Holding N.V. New York Registry Shares,"$1,360.94",-62.60,-4.397%,"524,530,317,005"
MA,Mastercard Incorporated Common Stock,$524.32,3.32,0.637%,"467,595,030,904"
COST,Costco Wholesale Corporation Common Stock,"$1,007.77",5.00,0.499%,"447,318,276,323"
ORCL,Oracle Corporation Common Stock,$149.01,-0.24,-0.161%,"428,268,299,910"
MU,"Micron Technology, Inc. Common Stock",$379.68,-32.99,-7.994%,"427,333,356,216"
ABBV,AbbVie Inc. Common Stock,$233.86,-0.40,-0.171%,"413,504,005,146"
NFLX,"Netflix, Inc. Common Stock",$97.70,0.61,0.628%,"412,505,242,055"
CVX,Chevron Corporation Common Stock,$188.77,-0.83,-0.438%,"376,668,928,197"
PG,Procter & Gamble Company (The) Common Stock,$159.72,-3.79,-2.318%,"371,189,389,408"
HD,"Home Depot, Inc. (The) Common Stock",$366.92,-3.89,-1.049%,"365,273,074,076"
BAC,Bank of America Corporation Common Stock,$49.97,0.16,0.321%,"358,618,808,035"
PLTR,Palantir Technologies Inc. Class A Common Stock,$147.22,2.05,1.412%,"351,954,542,073"
GE,GE Aerospace Common Stock,$334.14,-11.60,-3.355%,"350,450,580,314"
KO,Coca-Cola Company (The) Common Stock,$79.34,-0.88,-1.097%,"341,219,368,294"
CAT,"Caterpillar, Inc. Common Stock",$722.18,-30.14,-4.006%,"336,021,205,424"
NVS,Novartis AG Common Stock,$164.18,-2.69,-1.612%,"313,280,342,658"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$135.59,-6.97,-4.889%,"313,115,202,524"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$78.96,-0.46,-0.579%,"311,883,554,596"
AMD,"Advanced Micro Devices, Inc. Common Stock",$190.95,-7.67,-3.862%,"311,326,950,471"
TM,Toyota Motor Corporation Common Stock,$232.17,-11.49,-4.716%,"302,957,002,470"
MRK,"Merck & Company, Inc. Common Stock (new)",$119.83,-1.58,-1.301%,"296,266,733,719"
HSBC,"HSBC Holdings, plc. Common Stock",$85.49,-4.24,-4.725%,"293,662,251,126"
AMAT,"Applied Materials, Inc. Common Stock",$351.32,-20.86,-5.605%,"278,811,018,474"
RTX,RTX Corporation Common Stock,$206.52,-5.64,-2.658%,"277,209,250,848"
PM,Philip Morris International Inc Common Stock,$177.93,-5.89,-3.204%,"276,979,997,491"
LRCX,Lam Research Corporation Common Stock,$217.27,-13.73,-5.944%,"271,320,475,170"
MS,Morgan Stanley Common Stock,$165.95,-1.05,-0.629%,"263,505,401,186"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$289.21,-5.72,-1.939%,"262,508,929,397"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$862.58,0.88,0.102%,"255,973,135,459"
WFC,Wells Fargo & Company Common Stock,$82.53,-0.05,-0.061%,"254,657,509,452"
SAP,SAP  SE ADS,$196.33,0.32,0.163%,"241,192,235,869"
TMUS,"T-Mobile US, Inc. Common Stock",$218.53,2.42,1.12%,"240,790,064,354"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$82.33,-1.89,-2.244%,"239,227,616,722"
MCD,McDonald's Corporation Common Stock,$332.17,-2.65,-0.791%,"235,973,116,913"
LIN,Linde plc Ordinary Shares,$501.68,-7.66,-1.504%,"232,475,580,182"
RY,Royal Bank Of Canada Common Stock,$165.90,-2.72,-1.613%,"231,697,572,456"
CCZ,Comcast Holdings ZONES,$64.38,UNCH,--,"231,629,325,094"
IBM,International Business Machines Corporation Common Stock,$245.28,5.91,2.469%,"230,081,078,613"
GEV,GE Vernova Inc. Common Stock,$842.00,-39.18,-4.446%,"226,943,808,688"
PEP,"PepsiCo, Inc. Common Stock",$164.91,-2.37,-1.417%,"225,374,095,330"
INTC,Intel Corporation Common Stock,$43.10,-2.40,-5.275%,"215,284,500,000"
VZ,Verizon Communications Inc. Common Stock,$50.87,0.89,1.781%,"214,553,593,626"
AXP,American Express Company Common Stock,$307.82,0.39,0.127%,"211,353,523,019"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$17.51,-0.58,-3.206%,"207,803,618,209"
AMGN,Amgen Inc. Common Stock,$377.00,-8.70,-2.256%,"203,228,513,475"
T,AT&T Inc.,$28.67,0.66,2.356%,"200,706,548,353"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$78.33,-4.68,-5.638%,"198,915,634,538"
ABT,Abbott Laboratories Common Stock,$113.61,-0.51,-0.447%,"197,418,152,792"
C,"Citigroup, Inc. Common Stock",$110.76,-0.69,-0.619%,"193,754,573,437"
NEE,"NextEra Energy, Inc. Common Stock",$92.59,-0.12,-0.129%,"192,913,298,647"
KLAC,KLA Corporation Common Stock,"$1,441.35",-93.60,-6.098%,"188,927,273,265"
TMO,Thermo Fisher Scientific Inc Common Stock,$508.10,-0.48,-0.094%,"188,751,144,376"
TXN,Texas Instruments Incorporated Common Stock,$202.67,-7.15,-3.408%,"183,933,315,367"
CRM,"Salesforce, Inc. Common Stock",$196.05,3.10,1.607%,"183,698,850,000"
GILD,"Gilead Sciences, Inc. Common Stock",$147.83,-2.20,-1.466%,"183,519,196,654"
DIS,Walt Disney Company (The) Common Stock,$103.30,-1.03,-0.987%,"182,998,000,608"
TJX,"TJX Companies, Inc. (The) Common Stock",$159.71,-0.23,-0.144%,"177,352,699,742"
ISRG,"Intuitive Surgical, Inc. Common Stock",$497.42,1.17,0.236%,"176,648,882,489"
BA,Boeing Company (The) Common Stock,$224.12,-5.62,-2.446%,"176,011,991,156"
TTE,TotalEnergies SE Ordinary Shares,$78.34,-2.73,-3.367%,"170,927,053,725"
SCCO,Southern Copper Corporation Common Stock,$206.23,-12.62,-5.767%,"168,923,628,601"
DE,Deere & Company Common Stock,$619.22,-11.66,-1.848%,"167,255,831,160"
SCHW,Charles Schwab Corporation (The) Common Stock,$95.24,-0.25,-0.262%,"166,880,520,877"
ADI,"Analog Devices, Inc. Common Stock",$338.99,-12.32,-3.507%,"165,496,327,181"
BLK,"BlackRock, Inc. Common Stock","$1,052.59",-15.72,-1.471%,"163,721,465,378"
NVO,Novo Nordisk A/S Common Stock,$36.66,-1.10,-2.913%,"163,686,900,000"
TD,Toronto Dominion Bank (The) Common Stock,$97.72,-0.54,-0.55%,"163,317,286,160"
TBB,AT&T Inc. 5.350% Global Notes due 2066,$22.73,-0.07,-0.307%,"162,528,261,960"
