Symbol,Name,Last Sale,Net Change,% Change,Market Cap
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,$11.60,0.02,0.173%,NA
BOH^A,"Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",$16.97,-0.0036,-0.021%,NA
BOH^B,"Bank of Hawaii Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.000% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series B",$26.185,0.08,0.306%,NA
BRR,Columbus Circle Capital Corp I Class A Ordinary Shares,$10.27,0.08,0.785%,NA
BRRWU,Columbus Circle Capital Corp I Units,$10.89,0.13,1.208%,NA
BRRWW,Columbus Circle Capital Corp I Warrant,$1.22,0.22,22.00%,NA
BRW,Saba Capital Income & Opportunities Fund SBI,$7.29,0.02,0.275%,NA
BSAAR,BEST SPAC I Acquisition Corp. Rights,$0.153,-0.007,-4.375%,NA
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,$13.88,0.03,0.217%,NA
BTA,BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,$9.53,0.02,0.21%,NA
BTO,John Hancock Financial Opportunities Fund Common Stock,$34.66,0.33,0.961%,NA
BTT,BlackRock Municipal 2030 Target Term Trust,$22.65,0.04,0.177%,NA
BUI,"BlackRock Utility, Infrastructure & Power Opportunities Trust",$26.44,-0.03,-0.113%,NA
BW^A,"Babcock & Wilcox Enterprises, Inc. 7.75% Series A Cumulative Perpetual Preferred Stock",$15.50,0.15,0.977%,NA
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,$8.69,0.06,0.695%,NA
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,$14.44,0.10,0.697%,NA
BXSL,Blackstone Secured Lending Fund Common Shares of Beneficial Interest,$26.44,0.49,1.888%,NA
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,$11.05,0.05,0.455%,NA
C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),$30.96,UNCH,--,NA
CADE^A,Cadence Bank 5.50% Series A ,$21.76,0.11,0.508%,NA
CAEP,"Cantor Equity Partners III, Inc. Class A Ordinary Shares",$10.56,-0.04,-0.377%,NA
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,$16.19,-0.055,-0.339%,NA
CAPN,Cayson Acquisition Corp Ordinary shares,$10.47,-0.02,-0.191%,NA
CCCX,Churchill Capital Corp X Class A Ordinary Shares,$18.61,-2.89,-13.442%,NA
CCCXU,Churchill Capital Corp X Unit,$21.12,-1.66,-7.287%,NA
CCCXW,Churchill Capital Corp X Warrants,$8.2224,-1.7976,-17.94%,NA
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,$21.65,-0.19,-0.87%,NA
CCIA,Carlyle Credit Income Fund 8.75% Series A Preferred Shares due 2028,$24.9755,-0.1808,-0.719%,NA
CCIF,Carlyle Credit Income Fund Shares of Beneficial Interest,$5.28,-0.11,-2.041%,NA
CCII,Cohen Circle Acquisition Corp. II Class A Ordinary Shares,$10.32,-0.065,-0.626%,NA
CCIIU,Cohen Circle Acquisition Corp. II Unit,$10.67,UNCH,--,NA
CCIIW,Cohen Circle Acquisition Corp. II Warrant,$0.9111,-0.1389,-13.229%,NA
CCIX,Churchill Capital Corp IX Ordinary Shares,$10.80,0.03,0.279%,NA
CCIXU,Churchill Capital Corp IX Unit,$11.00,UNCH,--,NA
CCIXW,Churchill Capital Corp IX Warrant,$1.01,-0.08,-7.339%,NA
CDR^B,"Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock",$18.76,0.25,1.351%,NA
CDR^C,"Cedar Realty Trust, Inc. 6.50% Series C Cumulative Redeemable Preferred Stock",$16.565,0.025,0.151%,NA
CEE,"The Central and Eastern Europe Fund, Inc. (The) Common Stock",$15.59,-0.24,-1.516%,NA
CEPF,"Cantor Equity Partners IV, Inc. Class A Ordinary Shares",$10.51,-0.05,-0.473%,NA
CEPO,"Cantor Equity Partners I, Inc. Class A Ordinary Shares",$10.53,0.02,0.19%,NA
CEPT,"Cantor Equity Partners II, Inc. Class A Ordinary Share",$12.10,-0.19,-1.546%,NA
CFG^E,"Citizens Financial Group, Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series E",$20.32,0.11,0.544%,NA
CFG^H,"Citizens Financial Group, Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.375% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series H",$26.58,0.25,0.949%,NA
CFG^I,"Citizens Financial Group, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.500% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series I",$25.38,0.01,0.039%,NA
CFND,C1 Fund Inc. Common Stock,$7.87,0.10,1.287%,NA
CFR^B,"Cullen/Frost Bankers, Inc. Depositary Shares, each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock, Series B",$18.0901,0.0601,0.333%,NA
CGCT,Cartesian Growth Corporation III Class A Ordinary Shares,$10.10,0.0198,0.196%,NA
CGCTU,Cartesian Growth Corporation III Unit,$10.20,-0.03,-0.293%,NA
CGCTW,Cartesian Growth Corporation III Warrant,$0.28,UNCH,--,NA
CGO,Calamos Global Total Return Fund Common Stock,$11.90,-0.05,-0.418%,NA
CHAC,Crane Harbor Acquisition Corp. Class A Ordinary Shares,$10.95,0.275,2.576%,NA
CHACR,Crane Harbor Acquistion Corp. Rights,$0.52,0.05,10.638%,NA
CHAR,Charlton Aria Acquisition Corporation Class A Ordinary Shares,$10.38,UNCH,--,NA
CHARR,Charlton Aria Acquisition Corporation Rights,$0.23,0.01,4.545%,NA
CHECU,Chenghe Acquisition III Co. Units,$9.98,0.02,0.201%,NA
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,$11.05,-0.02,-0.181%,NA
CHMI^A,Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock,$21.91,-0.29,-1.306%,NA
CHMI^B,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$23.92,0.31,1.313%,NA
CHN,"China Fund, Inc. (The) Common Stock",$17.81,0.045,0.253%,NA
CHPG,ChampionsGate Acquisition Corporation Class A Ordinary Share,$10.13,UNCH,--,NA
CHPGR,ChampionsGate Acquisition Corporation Rights,$0.20,0.02,11.111%,NA
CHW,Calamos Global Dynamic Income Fund Common Stock,$7.59,-0.01,-0.132%,NA
CHY,Calamos Convertible and High Income Fund Common Stock,$11.43,UNCH,--,NA
CICB,CION Investment Corporation 7.50% Notes due 2029,$25.24,-0.05,-0.198%,NA
CIF,MFS Intermediate High Income Fund Common Stock,$1.715,0.005,0.292%,NA
CIK,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",$2.845,0.015,0.53%,NA
CIM^A,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,$22.1862,-0.0738,-0.332%,NA
CIM^B,Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.16,-0.04,-0.165%,NA
CIM^C,Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,$22.54,-0.05,-0.221%,NA
CIM^D,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$24.02,0.02,0.083%,NA
CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,$25.60,-0.07,-0.273%,NA
CIMP,Chimera Investment Corporation 8.875% Senior Notes due 2030,$25.23,0.08,0.318%,NA
CIO^A,"City Office REIT, Inc. 6.625% Series A Cumulative Redeemable Preferred Stock",$24.9368,-0.0432,-0.173%,NA
CLDT^A,Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,$20.83,-0.12,-0.573%,NA
CLM,"Cornerstone Strategic Investment Fund, Inc. Common Shares",$8.17,-0.02,-0.244%,NA
CMA^B,"Comerica Incorporated Depositary Shares, each representing a 1/40th interest in a share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",$25.76,0.01,0.039%,NA
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$25.566,-0.0821,-0.32%,NA
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$26.17,-0.08,-0.305%,NA
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$27.2219,0.2219,0.822%,NA
CMS^B,CMS Energy Corporation Preferred Stock,$81.15,UNCH,--,NA
CMS^C,"CMS Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock, Series C",$19.12,0.02,0.105%,NA
CNO^A,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",$19.81,-0.1894,-0.947%,NA
CODI^A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,$17.0022,0.0965,0.571%,NA
CODI^B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,$18.30,0.02,0.109%,NA
CODI^C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,$18.40,-0.02,-0.109%,NA
COF^I,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I of the Issuer",$20.36,0.11,0.543%,NA
COF^J,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Series J",$19.58,0.12,0.617%,NA
COF^K,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K",$18.96,0.17,0.905%,NA
COF^L,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L",$17.81,0.09,0.508%,NA
COF^N,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N",$17.76,0.06,0.339%,NA
COLA,Columbus Acquisition Corp Ordinary Shares,$10.2615,0.0015,0.015%,NA
COLAR,Columbus Acquisition Corp Rights,$0.25,0.0352,16.387%,NA
COPL,Copley Acquisition Corp Ordinary Shares,$10.16,0.01,0.099%,NA
CRAQ,Cal Redwood Acquisition Corp. Class A Ordinary Shares,$10.06,0.01,0.10%,NA
CRAQR,Cal Redwood Acquisition Corp. Right,$0.25,-0.0001,-0.04%,NA
CRAQU,Cal Redwood Acquisition Corp. Units,$10.30,UNCH,--,NA
CRBD,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,$24.95,-0.15,-0.598%,NA
CRD/A,Crawford & Company,$10.78,-0.22,-2.00%,NA
CRD/B,Crawford & Company,$10.03,-0.10,-0.987%,NA
CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",$7.95,-0.04,-0.501%,NA
CTA^A,"EIDP, Inc. Preferred Stock $3.50 Series",$54.59,0.01,0.018%,NA
CTA^B,"EIDP, Inc. Preferred Stock $4.50 Series",$68.65,0.05,0.073%,NA
CTO^A,"CTO Realty Growth, Inc. 6.375% Series A Cumulative Redeemable Preferred Stock",$21.34,-0.3571,-1.646%,NA
CUBI^F,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",$25.37,0.01,0.039%,NA
CUBWW,Lionheart Holdings Warrant,$0.24,0.0001,0.042%,NA
DAAQ,Digital Asset Acquisition Corp. Class A Ordinary shares,$10.345,-0.015,-0.145%,NA
DAAQU,Digital Asset Acquisition Corp. Units,$10.61,-0.02,-0.188%,NA
DAAQW,Digital Asset Acquisition Corp. Warrant,$0.75,UNCH,--,NA
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,$15.51,0.13,0.845%,NA
DBRG^H,"DigitalBridge Group, Inc. 7.125% Series H ",$21.8101,-0.1999,-0.908%,NA
DBRG^I,"DigitalBridge Group, Inc. 7.15% Series I ",$21.98,0.08,0.365%,NA
DBRG^J,"DigitalBridge Group, Inc. 7.125% Series J ",$21.8345,-0.0155,-0.071%,NA
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,$21.57,-0.06,-0.277%,NA
DHF,BNY Mellon High Yield Strategies Fund Common Stock,$2.56,-0.01,-0.389%,NA
DHY,Credit Suisse High Yield Credit Fund Common Stock,$2.06,0.02,0.98%,NA
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,$14.72,0.08,0.546%,NA
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$26.4924,0.3664,1.402%,NA
DLR^J,"Digital Realty Trust, Inc. 5.250% Series J Cumulative Redeemable Preferred Stock",$22.89,0.12,0.527%,NA
DLR^K,"Digital Realty Trust, Inc. 5.850% Series K Cumulative Redeemable Preferred Stock, par value $0.01 per share",$24.31,0.0601,0.248%,NA
DLR^L,"Digital Realty Trust, Inc. 5.200% Series L Cumulative Redeemable Preferred Stock",$22.38,0.0499,0.223%,NA
DMA,Destra Multi-Alternative Fund Common Stock,$8.69,-0.02,-0.23%,NA
DMAA,Drugs Made In America Acquisition Corp. Ordinary Shares,$10.30,0.01,0.097%,NA
DMAAR,Drugs Made In America Acquisition Corp. Rights,$0.22,0.01,4.762%,NA
DMAAU,Drugs Made In America Acquisition Corp. Units,$10.50,0.02,0.191%,NA
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",$10.81,0.03,0.278%,NA
DMIIU,Drugs Made In America Acquisition II Corp. Unit,$10.01,0.015,0.15%,NA
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,$11.96,0.11,0.928%,NA
DNP,"DNP Select Income Fund, Inc. Common Stock",$9.98,-0.01,-0.10%,NA
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,$13.17,-0.08,-0.604%,NA
DRDB,Roman DBDR Acquisition Corp. II Ordinary shares,$10.38,-0.0318,-0.305%,NA
