Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$186.94,-3.11,-1.636%,"4,542,642,000,000"
AAPL,Apple Inc. Common Stock,$261.73,-13.77,-4.998%,"3,842,494,772,200"
GOOG,Alphabet Inc. Class C Capital Stock,$309.37,-1.96,-0.63%,"3,742,448,890,000"
GOOGL,Alphabet Inc. Class A Common Stock,$309.00,-1.96,-0.63%,"3,737,973,000,000"
MSFT,Microsoft Corporation Common Stock,$401.84,-2.53,-0.626%,"2,983,914,787,900"
AMZN,"Amazon.com, Inc. Common Stock",$199.60,-4.48,-2.195%,"2,142,690,205,652"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$368.10,-5.99,-1.601%,"1,909,167,821,129"
META,"Meta Platforms, Inc. Class A Common Stock",$649.81,-18.88,-2.823%,"1,643,730,436,062"
AVGO,Broadcom Inc. Common Stock,$331.17,-11.59,-3.381%,"1,570,167,644,015"
TSLA,"Tesla, Inc. Common Stock",$417.07,-11.20,-2.615%,"1,565,026,807,567"
BRK/B,Berkshire Hathaway Inc.,$500.01,-0.01,-0.002%,"1,103,177,748,614"
BRK/A,Berkshire Hathaway Inc.,"$749,540.00","1,083.80",0.145%,"1,102,478,897,960"
WMT,Walmart Inc. Common Stock,$133.64,4.87,3.782%,"1,065,133,113,069"
LLY,Eli Lilly and Company Common Stock,"$1,038.27",23.06,2.271%,"981,563,593,380"
JPM,JP Morgan Chase & Co. Common Stock,$302.64,-8.18,-2.632%,"823,865,460,959"
AZN,AstraZeneca PLC Ordinary Shares,$204.52,-0.24,-0.117%,"634,308,909,456"
XOM,Exxon Mobil Corporation Common Stock,$149.93,-5.63,-3.619%,"632,279,640,507"
V,Visa Inc.,$324.18,-5.06,-1.537%,"621,131,896,819"
JNJ,Johnson & Johnson Common Stock,$244.55,3.69,1.532%,"589,193,117,194"
ASML,ASML Holding N.V. New York Registry Shares,"$1,406.87",-28.76,-2.003%,"553,299,067,156"
MA,Mastercard Incorporated Common Stock,$527.46,-10.00,-1.861%,"473,656,889,986"
MU,"Micron Technology, Inc. Common Stock",$413.97,3.63,0.885%,"465,927,068,776"
ORCL,Oracle Corporation Common Stock,$156.48,-0.68,-0.433%,"449,737,759,680"
COST,Costco Wholesale Corporation Common Stock,$998.86,20.72,2.118%,"443,363,399,871"
ABBV,AbbVie Inc. Common Stock,$227.50,6.61,2.992%,"402,080,003,780"
HD,"Home Depot, Inc. (The) Common Stock",$390.22,-0.46,-0.118%,"388,468,491,677"
BAC,Bank of America Corporation Common Stock,$52.52,-1.33,-2.47%,"383,527,066,286"
PG,Procter & Gamble Company (The) Common Stock,$161.21,1.21,0.756%,"374,652,150,429"
CVX,Chevron Corporation Common Stock,$182.40,-3.42,-1.84%,"367,266,339,293"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$158.73,-5.59,-3.402%,"366,551,929,321"
CAT,"Caterpillar, Inc. Common Stock",$758.29,-16.71,-2.156%,"354,864,247,851"
KO,Coca-Cola Company (The) Common Stock,$79.00,0.40,0.509%,"339,827,098,755"
AMD,"Advanced Micro Devices, Inc. Common Stock",$205.94,-7.64,-3.577%,"335,278,874,748"
GE,GE Aerospace Common Stock,$312.89,-0.84,-0.268%,"328,163,291,059"
NFLX,"Netflix, Inc. Common Stock",$75.86,-3.76,-4.722%,"320,293,220,699"
TM,Toyota Motor Corporation Common Stock,$241.64,-1.17,-0.482%,"315,314,338,962"
PLTR,Palantir Technologies Inc. Class A Common Stock,$129.13,-6.55,-4.828%,"307,773,134,326"
NVS,Novartis AG Common Stock,$161.18,1.12,0.70%,"307,555,887,621"
HSBC,"HSBC Holdings, plc. Common Stock",$86.79,-2.63,-2.941%,"298,127,813,490"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$75.00,-10.54,-12.322%,"296,332,092,225"
MRK,"Merck & Company, Inc. Common Stock (new)",$119.24,-0.07,-0.059%,"295,956,367,193"
PM,Philip Morris International Inc Common Stock,$188.95,2.68,1.439%,"294,134,606,452"
LRCX,Lam Research Corporation Common Stock,$231.29,-3.83,-1.629%,"288,828,244,590"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$904.55,-40.04,-4.239%,"271,300,334,625"
WFC,Wells Fargo & Company Common Stock,$86.29,-2.66,-2.99%,"270,871,605,129"
