Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$197.58,-2.51,-1.254%,"4,781,436,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$361.21,3.84,1.075%,"4,376,420,360,000"
GOOG,Alphabet Inc. Class C Capital Stock,$357.89,4.56,1.291%,"4,336,195,240,000"
AAPL,Apple Inc. Common Stock,$294.38,5.02,1.735%,"4,323,663,859,280"
MSFT,Microsoft Corporation Common Stock,$384.28,11.26,3.019%,"2,854,598,888,053"
AMZN,"Amazon.com, Inc. Common Stock",$241.70,3.36,1.41%,"2,599,993,350,681"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$444.23,-33.34,-6.981%,"2,304,001,073,504"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$157.54,-13.32,-7.796%,"2,062,333,133,646"
AVGO,Broadcom Inc. Common Stock,$369.34,-8.41,-2.226%,"1,757,164,670,329"
TSLA,"Tesla, Inc. Common Stock",$425.30,4.70,1.117%,"1,597,309,362,336"
META,"Meta Platforms, Inc. Class A Common Stock",$612.91,49.62,8.809%,"1,555,825,027,255"
MU,"Micron Technology, Inc. Common Stock","$1,032.28",-122.01,-10.57%,"1,165,849,961,914"
LLY,Eli Lilly and Company Common Stock,"$1,191.74",-7.69,-0.641%,"1,122,310,903,186"
BRK/A,Berkshire Hathaway Inc.,"$750,999.989999999991","2,149.99",0.287%,"1,104,626,359,291"
BRK/B,Berkshire Hathaway Inc.,$499.74,-0.65,-0.13%,"1,102,582,044,544"
JPM,JP Morgan Chase & Co. Common Stock,$334.07,6.74,2.059%,"895,144,379,411"
AMD,"Advanced Micro Devices, Inc. Common Stock",$540.88,-40.03,-6.891%,"881,959,273,622"
WMT,Walmart Inc. Common Stock,$108.82,-4.44,-3.92%,"865,998,173,647"
ASML,ASML Holding N.V. New York Registry Shares,"$1,843.04",-146.40,-7.359%,"710,340,173,302"
V,Visa Inc.,$351.08,7.99,2.329%,"665,109,810,344"
INTC,Intel Corporation Common Stock,$127.02,-12.61,-9.031%,"638,402,520,000"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$51.08,0.19,0.373%,"618,885,280,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$50.61,0.31,0.616%,"613,190,760,000"
JNJ,Johnson & Johnson Common Stock,$253.98,0.01,0.004%,"611,384,966,295"
AZN,AstraZeneca PLC Ordinary Shares,$183.86,-5.76,-3.038%,"570,232,916,549"
XOM,Exxon Mobil Corporation Common Stock,$136.28,-0.44,-0.322%,"564,873,399,237"
