Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$182.64,-0.58,-0.317%,"4,438,152,000,000"
AAPL,Apple Inc. Common Stock,$262.24,9.95,3.944%,"3,891,743,873,600"
MSFT,Microsoft Corporation Common Stock,$516.79,3.21,0.625%,"3,841,386,053,003"
GOOG,Alphabet Inc. Class C Capital Stock,$257.02,3.23,1.273%,"3,108,399,880,000"
GOOGL,Alphabet Inc. Class A Common Stock,$256.55,3.25,1.283%,"3,102,715,700,000"
AMZN,"Amazon.com, Inc. Common Stock",$216.48,3.44,1.615%,"2,308,740,170,759"
META,"Meta Platforms, Inc. Class A Common Stock",$732.17,15.255,2.128%,"1,839,314,623,751"
AVGO,Broadcom Inc. Common Stock,$349.24,-0.09,-0.026%,"1,649,238,760,283"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$297.70,2.62,0.888%,"1,544,034,937,110"
TSLA,"Tesla, Inc. Common Stock",$447.43,8.12,1.848%,"1,443,162,596,405"
BRK/B,Berkshire Hathaway Inc.,$494.08,1.66,0.337%,"1,090,094,322,184"
BRK/A,Berkshire Hathaway Inc.,"$740,600.00","2,400.00",0.325%,"1,089,329,284,400"
WMT,Walmart Inc. Common Stock,$107.05,-0.68,-0.631%,"853,493,712,610"
JPM,JP Morgan Chase & Co. Common Stock,$302.36,4.80,1.613%,"831,415,575,295"
ORCL,Oracle Corporation Common Stock,$277.18,-14.13,-4.851%,"787,666,286,520"
LLY,Eli Lilly and Company Common Stock,$808.96,6.13,0.764%,"765,645,659,761"
V,Visa Inc.,$344.41,2.52,0.737%,"668,135,388,401"
NFLX,"Netflix, Inc. Common Stock","$1,238.56",39.20,3.268%,"526,296,775,102"
MA,Mastercard Incorporated Common Stock,$566.36,5.39,0.961%,"511,996,144,003"
XOM,Exxon Mobil Corporation Common Stock,$112.70,0.46,0.41%,"480,467,939,267"
JNJ,Johnson & Johnson Common Stock,$193.72,0.50,0.259%,"466,543,406,284"
PLTR,Palantir Technologies Inc. Class A Common Stock,$181.59,3.44,1.931%,"430,793,660,229"
COST,Costco Wholesale Corporation Common Stock,$936.11,-0.22,-0.023%,"414,864,458,445"
ABBV,AbbVie Inc. Common Stock,$232.06,2.49,1.085%,"409,947,508,191"
ASML,ASML Holding N.V. New York Registry Shares,"$1,042.15",12.88,1.251%,"409,860,628,798"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$173.47,6.42,3.843%,"400,590,708,620"
AMD,"Advanced Micro Devices, Inc. Common Stock",$240.56,7.48,3.209%,"390,391,277,826"
HD,"Home Depot, Inc. (The) Common Stock",$388.89,-3.01,-0.768%,"387,095,913,152"
BAC,Bank of America Corporation Common Stock,$52.04,0.76,1.482%,"385,457,538,116"
PG,Procter & Gamble Company (The) Common Stock,$151.96,0.56,0.37%,"355,946,771,316"
SAP,SAP  SE ADS,$277.91,5.01,1.836%,"341,413,611,115"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$364.48,7.88,2.21%,"330,099,922,840"
GE,GE Aerospace Common Stock,$302.68,2.54,0.846%,"320,973,793,657"
CVX,Chevron Corporation Common Stock,$154.48,1.40,0.915%,"313,477,053,284"
KO,Coca-Cola Company (The) Common Stock,$68.44,UNCH,--,"294,542,986,727"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$70.65,0.52,0.741%,"279,293,364,729"
WFC,Wells Fargo & Company Common Stock,$86.02,2.74,3.29%,"275,560,012,798"
IBM,International Business Machines Corporation Common Stock,$283.65,2.37,0.843%,"264,225,432,993"
