Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$223.67,-2.06,-0.913%,"5,390,447,000,000"
AAPL,Apple Inc. Common Stock,$315.34,-0.88,-0.278%,"4,602,128,721,200"
GOOGL,Alphabet Inc. Class A Common Stock,$330.65,-7.71,-2.279%,"4,043,849,500,000"
GOOG,Alphabet Inc. Class C Capital Stock,$328.38,-7.00,-2.087%,"4,016,087,400,000"
MSFT,Microsoft Corporation Common Stock,$491.65,-2.30,-0.466%,"3,650,769,440,650"
AMZN,"Amazon.com, Inc. Common Stock",$252.40,-4.57,-1.778%,"2,722,465,545,573"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$435.36,-3.64,-0.829%,"2,257,996,775,005"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$147.55,-5.92,-3.857%,"2,002,669,830,769"
AVGO,Broadcom Inc. Common Stock,$364.38,-4.18,-1.134%,"1,733,567,072,547"
META,"Meta Platforms, Inc. Class A Common Stock",$653.69,40.21,6.554%,"1,665,279,344,220"
TSLA,"Tesla, Inc. Common Stock",$367.81,-0.35,-0.095%,"1,452,683,026,987"
SKHY,SK hynix Inc. American Depositary Shares,$198.63,13.08,7.049%,"1,447,745,542,650"
MU,"Micron Technology, Inc. Common Stock","$1,027.77",27.51,2.75%,"1,160,756,398,803"
BRK/B,Berkshire Hathaway Inc.,$506.72,0.89,0.176%,"1,117,982,097,913"
BRK/A,Berkshire Hathaway Inc.,"$759,141.00","1,350.00",0.178%,"1,116,600,759,234"
LLY,Eli Lilly and Company Common Stock,"$1,124.21",0.30,0.027%,"1,058,283,026,044"
JPM,JP Morgan Chase & Co. Common Stock,$354.71,1.20,0.339%,"942,885,225,228"
AMD,"Advanced Micro Devices, Inc. Common Stock",$521.095,15.355,3.036%,"850,674,582,011"
WMT,Walmart Inc. Common Stock,$105.83,-0.22,-0.207%,"839,628,364,685"
XOM,ExxonMobil Holdings Corporation Common Stock,$164.23,3.57,2.222%,"675,299,301,191"
ASML,ASML Holding N.V. New York Registry Shares,"$1,729.52",-35.33,-2.002%,"666,587,559,971"
V,Visa Inc.,$367.39,-1.25,-0.339%,"656,436,002,113"
JNJ,Johnson & Johnson Common Stock,$267.08,-2.04,-0.758%,"643,635,717,287"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$47.39,-0.69,-1.435%,"579,579,700,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$47.30,-0.52,-1.087%,"578,479,000,000"
INTC,Intel Corporation Common Stock,$106.24,1.77,1.694%,"561,485,784,849"
