Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$192.53,-3.21,-1.64%,"4,659,226,000,000"
AAPL,Apple Inc. Common Stock,$283.78,8.63,3.136%,"4,167,977,885,680"
GOOGL,Alphabet Inc. Class A Common Stock,$337.39,-6.32,-1.839%,"4,087,817,240,000"
GOOG,Alphabet Inc. Class C Capital Stock,$334.69,-7.50,-2.192%,"4,055,104,040,000"
MSFT,Microsoft Corporation Common Stock,$372.97,20.14,5.708%,"2,770,583,291,551"
AMZN,"Amazon.com, Inc. Common Stock",$232.69,5.68,2.502%,"2,503,071,794,663"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$432.35,-2.64,-0.607%,"2,242,385,395,244"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$153.23,0.23,0.15%,"2,005,911,553,057"
AVGO,Broadcom Inc. Common Stock,$365.02,-13.89,-3.666%,"1,736,611,923,874"
TSLA,"Tesla, Inc. Common Stock",$379.71,4.59,1.224%,"1,426,085,911,057"
META,"Meta Platforms, Inc. Class A Common Stock",$550.25,7.38,1.359%,"1,396,767,423,026"
MU,"Micron Technology, Inc. Common Stock","$1,132.33",-81.23,-6.694%,"1,278,845,746,672"
LLY,Eli Lilly and Company Common Stock,"$1,208.12",80.43,7.132%,"1,137,736,627,417"
BRK/B,Berkshire Hathaway Inc.,$498.66,10.85,2.224%,"1,100,199,228,263"
BRK/A,Berkshire Hathaway Inc.,"$745,140.030000000028","11,740.04",1.601%,"1,096,007,096,486"
WMT,Walmart Inc. Common Stock,$115.69,-0.09,-0.078%,"920,670,177,442"
JPM,JP Morgan Chase & Co. Common Stock,$329.05,-6.07,-1.811%,"881,693,232,093"
AMD,"Advanced Micro Devices, Inc. Common Stock",$521.58,-10.99,-2.064%,"850,488,681,290"
ASML,ASML Holding N.V. New York Registry Shares,"$1,794.62",-46.56,-2.529%,"691,678,249,962"
INTC,Intel Corporation Common Stock,$128.32,-4.55,-3.424%,"644,936,320,000"
V,Visa Inc.,$336.23,5.71,1.728%,"636,976,961,182"
JNJ,Johnson & Johnson Common Stock,$254.66,9.78,3.994%,"613,021,873,835"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$48.23,-0.72,-1.471%,"584,354,680,000"
AZN,AstraZeneca PLC Ordinary Shares,$188.41,2.73,1.47%,"584,344,521,957"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$48.13,-0.73,-1.494%,"583,143,080,000"
XOM,Exxon Mobil Corporation Common Stock,$136.54,-1.01,-0.734%,"565,951,085,499"
AMAT,"Applied Materials, Inc. Common Stock",$626.84,-41.16,-6.162%,"497,685,529,101"
LRCX,Lam Research Corporation Common Stock,$379.09,-22.73,-5.657%,"474,078,960,390"
CAT,"Caterpillar, Inc. Common Stock",$997.47,-59.54,-5.633%,"459,471,614,324"
