Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$177.00,-3.26,-1.808%,"4,301,100,000,000"
AAPL,Apple Inc. Common Stock,$278.85,1.30,0.468%,"4,120,386,034,050"
GOOGL,Alphabet Inc. Class A Common Stock,$320.18,0.23,0.072%,"3,863,612,060,000"
GOOG,Alphabet Inc. Class C Capital Stock,$320.12,-0.16,-0.05%,"3,862,888,040,000"
MSFT,Microsoft Corporation Common Stock,$492.01,6.51,1.341%,"3,656,804,130,037"
AMZN,"Amazon.com, Inc. Common Stock",$233.22,4.06,1.772%,"2,493,172,178,085"
AVGO,Broadcom Inc. Common Stock,$402.96,5.39,1.356%,"1,902,924,209,265"
META,"Meta Platforms, Inc. Class A Common Stock",$647.95,14.34,2.263%,"1,633,175,856,476"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$291.51,1.55,0.535%,"1,511,930,213,358"
TSLA,"Tesla, Inc. Common Stock",$430.17,3.59,0.842%,"1,430,667,631,068"
BRK/B,Berkshire Hathaway Inc.,$513.81,2.58,0.505%,"1,133,624,845,534"
BRK/A,Berkshire Hathaway Inc.,"$770,100.00","2,234.35",0.291%,"1,132,720,067,400"
LLY,Eli Lilly and Company Common Stock,"$1,075.47",-28.87,-2.614%,"1,016,731,869,141"
WMT,Walmart Inc. Common Stock,$110.51,1.41,1.292%,"881,079,777,492"
JPM,JP Morgan Chase & Co. Common Stock,$313.08,5.44,1.768%,"852,285,879,319"
V,Visa Inc.,$334.44,0.65,0.195%,"644,039,508,129"
ORCL,Oracle Corporation Common Stock,$201.95,-3.01,-1.469%,"573,884,142,300"
JNJ,Johnson & Johnson Common Stock,$206.92,-0.64,-0.308%,"498,333,479,394"
MA,Mastercard Incorporated Common Stock,$550.53,5.60,1.028%,"494,373,654,199"
XOM,Exxon Mobil Corporation Common Stock,$115.92,1.15,1.002%,"488,853,837,975"
NFLX,"Netflix, Inc. Common Stock",$107.58,1.44,1.357%,"455,851,244,917"
ASML,ASML Holding N.V. New York Registry Shares,"$1,060.00",19.03,1.828%,"416,880,743,200"
COST,Costco Wholesale Corporation Common Stock,$913.59,5.33,0.587%,"404,884,063,402"
ABBV,AbbVie Inc. Common Stock,$227.70,0.04,0.018%,"402,433,480,706"
PLTR,Palantir Technologies Inc. Class A Common Stock,$168.45,2.68,1.617%,"401,489,851,136"
BAC,Bank of America Corporation Common Stock,$53.65,0.66,1.246%,"391,778,886,258"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$157.30,-0.30,-0.19%,"363,249,659,687"
