Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$204.12,7.19,3.651%,"4,939,704,000,000"
AAPL,Apple Inc. Common Stock,$313.39,2.73,0.879%,"4,602,870,496,840"
GOOGL,Alphabet Inc. Class A Common Stock,$361.92,-5.11,-1.392%,"4,385,022,720,000"
GOOG,Alphabet Inc. Class C Capital Stock,$358.71,-4.91,-1.35%,"4,346,130,360,000"
MSFT,Microsoft Corporation Common Stock,$383.34,-5.50,-1.414%,"2,847,616,159,431"
AMZN,"Amazon.com, Inc. Common Stock",$243.62,-2.36,-0.959%,"2,620,647,000,798"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$436.98,4.41,1.019%,"2,266,398,912,950"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$148.30,-1.17,-0.783%,"1,941,373,643,010"
AVGO,Broadcom Inc. Common Stock,$388.69,17.91,4.83%,"1,849,223,847,161"
META,"Meta Platforms, Inc. Class A Common Stock",$603.12,-12.46,-2.024%,"1,530,973,863,108"
TSLA,"Tesla, Inc. Common Stock",$394.06,-8.84,-2.194%,"1,479,980,548,606"
LLY,Eli Lilly and Company Common Stock,"$1,215.83",-19.73,-1.597%,"1,144,997,453,657"
BRK/A,Berkshire Hathaway Inc.,"$748,250.00","-7,750.00",-1.025%,"1,100,581,470,500"
BRK/B,Berkshire Hathaway Inc.,$494.79,-9.21,-1.827%,"1,091,660,803,257"
MU,"Micron Technology, Inc. Common Stock",$948.80,10.42,1.11%,"1,071,568,221,669"
WMT,Walmart Inc. Common Stock,$113.10,1.56,1.399%,"900,058,752,431"
JPM,JP Morgan Chase & Co. Common Stock,$330.62,-8.60,-2.535%,"885,900,065,019"
AMD,"Advanced Micro Devices, Inc. Common Stock",$517.405,1.295,0.251%,"843,680,923,622"
ASML,ASML Holding N.V. New York Registry Shares,"$1,768.65",21.37,1.223%,"681,668,953,202"
V,Visa Inc.,$347.53,-4.67,-1.326%,"658,384,449,096"
JNJ,Johnson & Johnson Common Stock,$263.40,-3.84,-1.437%,"634,060,950,161"
