Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$186.23,-0.82,-0.438%,"4,525,389,000,000"
GOOG,Alphabet Inc. Class C Capital Stock,$330.34,-2.82,-0.846%,"3,986,212,780,000"
GOOGL,Alphabet Inc. Class A Common Stock,$330.00,-2.78,-0.835%,"3,982,110,000,000"
AAPL,Apple Inc. Common Stock,$255.53,-2.68,-1.038%,"3,755,761,030,780"
MSFT,Microsoft Corporation Common Stock,$459.86,3.20,0.701%,"3,417,853,188,428"
AMZN,"Amazon.com, Inc. Common Stock",$239.12,0.94,0.395%,"2,556,244,452,550"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$342.40,0.76,0.222%,"1,775,873,572,275"
AVGO,Broadcom Inc. Common Stock,$351.71,8.69,2.533%,"1,667,553,407,846"
META,"Meta Platforms, Inc. Class A Common Stock",$620.25,-0.55,-0.089%,"1,563,357,242,039"
TSLA,"Tesla, Inc. Common Stock",$437.50,-1.07,-0.244%,"1,455,045,885,563"
BRK/A,Berkshire Hathaway Inc.,"$740,750.00","2,059.10",0.279%,"1,089,549,915,500"
BRK/B,Berkshire Hathaway Inc.,$493.29,0.67,0.136%,"1,088,351,336,201"
LLY,Eli Lilly and Company Common Stock,"$1,038.40",5.43,0.526%,"981,686,493,269"
WMT,Walmart Inc. Common Stock,$119.70,0.50,0.419%,"954,028,985,591"
JPM,JP Morgan Chase & Co. Common Stock,$312.47,3.21,1.038%,"850,625,299,319"
V,Visa Inc.,$328.30,0.55,0.168%,"632,215,555,911"
ORCL,Oracle Corporation Common Stock,$191.09,1.24,0.653%,"549,026,411,700"
XOM,Exxon Mobil Corporation Common Stock,$129.89,0.76,0.589%,"547,767,641,602"
ASML,ASML Holding N.V. New York Registry Shares,"$1,358.57",26.97,2.025%,"534,303,463,480"
JNJ,Johnson & Johnson Common Stock,$218.66,-0.91,-0.414%,"526,816,467,003"
MA,Mastercard Incorporated Common Stock,$539.49,-3.16,-0.582%,"484,459,780,038"
COST,Costco Wholesale Corporation Common Stock,$963.61,6.86,0.717%,"427,717,003,134"
MU,"Micron Technology, Inc. Common Stock",$362.75,26.12,7.759%,"408,278,484,428"
PLTR,Palantir Technologies Inc. Class A Common Stock,$170.96,-6.11,-3.451%,"407,472,276,344"
BAC,Bank of America Corporation Common Stock,$52.97,0.38,0.723%,"386,813,189,284"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$165.40,-5.53,-3.235%,"381,954,823,346"
