Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$183.04,2.99,1.661%,"4,447,872,000,000"
AAPL,Apple Inc. Common Stock,$262.52,-1.23,-0.466%,"3,854,092,872,800"
GOOG,Alphabet Inc. Class C Capital Stock,$303.45,-0.11,-0.036%,"3,670,834,650,000"
GOOGL,Alphabet Inc. Class A Common Stock,$303.13,-0.45,-0.148%,"3,666,963,610,000"
MSFT,Microsoft Corporation Common Stock,$405.20,1.27,0.314%,"3,008,864,901,595"
AMZN,"Amazon.com, Inc. Common Stock",$216.82,8.09,3.876%,"2,327,545,543,033"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$357.44,4.31,1.221%,"1,853,879,233,861"
META,"Meta Platforms, Inc. Class A Common Stock",$667.73,12.65,1.931%,"1,689,060,069,977"
TSLA,"Tesla, Inc. Common Stock",$405.94,13.51,3.443%,"1,523,262,239,585"
AVGO,Broadcom Inc. Common Stock,$317.53,3.69,1.176%,"1,503,695,897,388"
BRK/B,Berkshire Hathaway Inc.,$487.48,6.12,1.271%,"1,075,532,667,135"
BRK/A,Berkshire Hathaway Inc.,"$730,707.010000000009","9,662.12",1.34%,"1,074,777,942,627"
WMT,Walmart Inc. Common Stock,$127.81,-0.10,-0.078%,"1,018,667,039,669"
LLY,Eli Lilly and Company Common Stock,"$1,003.57",-4.16,-0.413%,"946,725,205,989"
JPM,JP Morgan Chase & Co. Common Stock,$299.39,-0.87,-0.29%,"807,464,522,751"
AZN,AstraZeneca PLC Ordinary Shares,$201.53,-0.23,-0.114%,"625,035,568,759"
XOM,Exxon Mobil Corporation Common Stock,$149.82,-2.01,-1.324%,"624,264,500,528"
V,Visa Inc.,$320.47,-0.36,-0.112%,"614,023,502,294"
JNJ,Johnson & Johnson Common Stock,$245.30,-1.45,-0.588%,"591,148,209,001"
ASML,ASML Holding N.V. New York Registry Shares,"$1,399.37",38.43,2.824%,"539,341,917,871"
MA,Mastercard Incorporated Common Stock,$522.92,-1.40,-0.267%,"466,346,493,668"
MU,"Micron Technology, Inc. Common Stock",$400.77,21.09,5.555%,"451,070,346,531"
COST,Costco Wholesale Corporation Common Stock,"$1,006.74",-1.03,-0.102%,"446,861,090,830"
ORCL,Oracle Corporation Common Stock,$152.37,3.36,2.255%,"437,925,245,670"
ABBV,AbbVie Inc. Common Stock,$236.19,2.33,0.996%,"417,623,838,944"
NFLX,"Netflix, Inc. Common Stock",$98.66,0.96,0.983%,"416,558,517,719"
CVX,Chevron Corporation Common Stock,$186.03,-2.74,-1.452%,"371,201,571,820"
PG,Procter & Gamble Company (The) Common Stock,$158.30,-1.42,-0.889%,"367,889,308,436"
HD,"Home Depot, Inc. (The) Common Stock",$369.11,2.19,0.597%,"367,453,244,228"
PLTR,Palantir Technologies Inc. Class A Common Stock,$153.19,5.97,4.055%,"366,226,846,218"
BAC,Bank of America Corporation Common Stock,$50.30,0.33,0.66%,"360,987,113,151"
GE,GE Aerospace Common Stock,$339.81,5.67,1.697%,"356,397,353,494"
CAT,"Caterpillar, Inc. Common Stock",$731.97,9.79,1.356%,"340,576,368,404"
KO,Coca-Cola Company (The) Common Stock,$78.10,-1.24,-1.563%,"335,886,471,689"
AMD,"Advanced Micro Devices, Inc. Common Stock",$202.07,11.12,5.824%,"329,457,119,045"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$80.87,1.91,2.419%,"319,427,850,307"
NVS,Novartis AG Common Stock,$165.15,0.97,0.591%,"315,131,249,787"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$133.27,-2.32,-1.711%,"307,757,674,167"
TM,Toyota Motor Corporation Common Stock,$232.81,0.64,0.276%,"303,792,133,975"
HSBC,"HSBC Holdings, plc. Common Stock",$87.19,1.70,1.989%,"299,501,832,679"
MRK,"Merck & Company, Inc. Common Stock (new)",$120.28,0.45,0.376%,"297,379,310,121"
AMAT,"Applied Materials, Inc. Common Stock",$357.76,6.44,1.833%,"283,921,866,018"
RTX,RTX Corporation Common Stock,$208.82,2.30,1.114%,"280,296,512,502"
PM,Philip Morris International Inc Common Stock,$179.04,1.11,0.624%,"278,707,911,824"
LRCX,Lam Research Corporation Common Stock,$222.99,5.98,2.756%,"278,463,445,290"
MS,Morgan Stanley Common Stock,$167.58,1.63,0.982%,"266,093,613,321"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$291.96,2.75,0.951%,"265,005,037,954"
WFC,Wells Fargo & Company Common Stock,$83.93,1.40,1.696%,"258,977,399,349"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$867.25,4.67,0.541%,"257,358,971,605"
TMUS,"T-Mobile US, Inc. Common Stock",$219.71,1.18,0.54%,"242,090,262,386"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$82.70,0.37,0.449%,"240,302,731,725"
SAP,SAP  SE ADS,$195.58,-0.75,-0.382%,"240,270,857,695"
MCD,McDonald's Corporation Common Stock,$331.74,-0.43,-0.129%,"235,667,645,497"
IBM,International Business Machines Corporation Common Stock,$250.06,4.78,1.949%,"234,564,883,064"
RY,Royal Bank Of Canada Common Stock,$165.95,0.05,0.03%,"231,767,402,948"
CCZ,Comcast Holdings ZONES,$64.38,UNCH,--,"231,629,325,094"
LIN,Linde plc Ordinary Shares,$499.19,-2.49,-0.496%,"231,321,728,734"
INTC,Intel Corporation Common Stock,$45.58,2.48,5.754%,"227,672,100,000"
GEV,GE Vernova Inc. Common Stock,$841.27,-0.73,-0.087%,"226,747,052,179"
PEP,"PepsiCo, Inc. Common Stock",$163.92,-0.99,-0.60%,"224,021,112,768"
VZ,Verizon Communications Inc. Common Stock,$51.20,0.33,0.649%,"215,945,429,402"
AXP,American Express Company Common Stock,$311.21,3.39,1.101%,"213,681,144,496"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$17.60,0.09,0.514%,"208,871,712,192"
AMGN,Amgen Inc. Common Stock,$379.27,2.27,0.602%,"204,452,197,097"
T,AT&T Inc.,$28.98,0.31,1.081%,"202,876,727,285"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$78.13,-0.20,-0.255%,"198,407,743,220"
ABT,Abbott Laboratories Common Stock,$113.10,-0.51,-0.449%,"196,531,934,520"
C,"Citigroup, Inc. Common Stock",$111.32,0.56,0.506%,"194,734,192,082"
KLAC,KLA Corporation Common Stock,"$1,475.91",34.56,2.398%,"193,457,280,941"
NEE,"NextEra Energy, Inc. Common Stock",$92.60,0.01,0.011%,"192,934,133,866"
