Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$179.59,-1.87,-1.031%,"4,364,037,000,000"
AAPL,Apple Inc. Common Stock,$284.15,-2.04,-0.713%,"4,198,700,704,950"
GOOG,Alphabet Inc. Class C Capital Stock,$320.62,4.60,1.456%,"3,868,921,540,000"
GOOGL,Alphabet Inc. Class A Common Stock,$319.63,3.82,1.21%,"3,856,975,210,000"
MSFT,Microsoft Corporation Common Stock,$477.73,-12.27,-2.504%,"3,550,669,777,123"
AMZN,"Amazon.com, Inc. Common Stock",$232.38,-2.04,-0.87%,"2,484,192,396,636"
AVGO,Broadcom Inc. Common Stock,$380.61,-0.96,-0.252%,"1,797,379,351,023"
META,"Meta Platforms, Inc. Class A Common Stock",$639.60,-7.50,-1.159%,"1,612,129,451,041"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$295.45,3.36,1.15%,"1,532,365,207,152"
TSLA,"Tesla, Inc. Common Stock",$446.74,17.50,4.077%,"1,485,776,454,666"
BRK/A,Berkshire Hathaway Inc.,"$758,000.00","-2,100.05",-0.276%,"1,114,922,492,000"
BRK/B,Berkshire Hathaway Inc.,$503.60,-3.05,-0.602%,"1,111,098,406,436"
LLY,Eli Lilly and Company Common Stock,"$1,033.56",-12.56,-1.201%,"977,110,835,885"
WMT,Walmart Inc. Common Stock,$114.41,2.00,1.779%,"912,173,896,868"
JPM,JP Morgan Chase & Co. Common Stock,$312.13,4.25,1.38%,"849,699,730,138"
V,Visa Inc.,$329.61,-0.01,-0.003%,"634,738,255,814"
ORCL,Oracle Corporation Common Stock,$207.73,6.63,3.297%,"590,309,249,220"
MA,Mastercard Incorporated Common Stock,$553.73,7.82,1.432%,"497,247,240,913"
XOM,Exxon Mobil Corporation Common Stock,$117.80,2.42,2.097%,"496,782,109,329"
JNJ,Johnson & Johnson Common Stock,$205.33,-0.09,-0.044%,"494,504,220,588"
ASML,ASML Holding N.V. New York Registry Shares,"$1,140.92",32.14,2.899%,"448,705,261,822"
NFLX,"Netflix, Inc. Common Stock",$103.96,-5.39,-4.929%,"440,512,134,426"
PLTR,Palantir Technologies Inc. Class A Common Stock,$176.08,5.39,3.158%,"419,675,470,395"
COST,Costco Wholesale Corporation Common Stock,$922.26,0.23,0.025%,"408,726,426,858"
ABBV,AbbVie Inc. Common Stock,$230.24,5.87,2.616%,"406,922,637,672"
BAC,Bank of America Corporation Common Stock,$54.09,0.90,1.692%,"394,991,984,300"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$158.08,-3.05,-1.893%,"365,050,897,669"
HD,"Home Depot, Inc. (The) Common Stock",$357.91,3.88,1.096%,"356,303,515,596"
AMD,"Advanced Micro Devices, Inc. Common Stock",$217.60,2.36,1.096%,"354,261,839,104"
PG,Procter & Gamble Company (The) Common Stock,$146.71,0.85,0.583%,"342,822,178,974"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$339.71,15.17,4.674%,"307,722,437,600"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$77.75,0.88,1.145%,"307,197,602,273"
GE,GE Aerospace Common Stock,$288.49,-0.83,-0.287%,"305,926,158,756"
CVX,Chevron Corporation Common Stock,$151.59,1.34,0.892%,"305,229,738,889"
KO,Coca-Cola Company (The) Common Stock,$70.81,0.14,0.198%,"304,596,922,314"
SAP,SAP  SE ADS,$243.82,2.10,0.869%,"299,533,901,846"
IBM,International Business Machines Corporation Common Stock,$302.62,0.84,0.278%,"282,869,568,040"
AZN,AstraZeneca PLC American Depositary Shares,$90.85,0.68,0.754%,"281,762,543,407"
WFC,Wells Fargo & Company Common Stock,$89.35,3.03,3.51%,"280,477,203,828"
CAT,"Caterpillar, Inc. Common Stock",$591.49,9.02,1.549%,"276,805,251,238"
MS,Morgan Stanley Common Stock,$173.72,4.63,2.738%,"276,094,813,507"
NVS,Novartis AG Common Stock,$133.72,1.44,1.089%,"264,108,934,243"
MU,"Micron Technology, Inc. Common Stock",$234.16,-5.33,-2.226%,"262,836,646,756"
TM,Toyota Motor Corporation Common Stock,$195.44,-1.55,-0.787%,"255,028,283,425"
MRK,"Merck & Company, Inc. Common Stock (new)",$102.27,1.24,1.227%,"253,836,444,757"
AXP,American Express Company Common Stock,$368.13,7.43,2.06%,"253,586,959,019"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$836.57,21.36,2.62%,"250,911,194,447"
HSBC,"HSBC Holdings, plc. Common Stock",$72.01,0.01,0.014%,"249,374,676,026"
PM,Philip Morris International Inc Common Stock,$151.71,-2.91,-1.882%,"236,157,664,611"
TMUS,"T-Mobile US, Inc. Common Stock",$208.51,-1.62,-0.771%,"233,219,816,587"
CCZ,Comcast Holdings ZONES,$62.75,UNCH,--,"228,654,380,189"
CRM,"Salesforce, Inc. Common Stock",$238.72,4.01,1.708%,"227,261,440,000"
RTX,RTX Corporation Common Stock,$168.45,-0.35,-0.207%,"225,477,370,758"
APP,Applovin Corporation Class A Common Stock,$662.21,9.21,1.41%,"223,797,180,550"
RY,Royal Bank Of Canada Common Stock,$156.68,2.25,1.457%,"220,133,857,955"
MCD,McDonald's Corporation Common Stock,$307.71,6.99,2.324%,"219,137,015,039"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$75.12,1.16,1.568%,"218,277,402,747"
TMO,Thermo Fisher Scientific Inc Common Stock,$580.45,0.08,0.014%,"218,079,742,847"
ABT,Abbott Laboratories Common Stock,$125.29,-1.03,-0.815%,"217,863,266,240"
AMAT,"Applied Materials, Inc. Common Stock",$268.63,3.30,1.244%,"214,002,055,165"
NVO,Novo Nordisk A/S Common Stock,$47.57,0.14,0.295%,"212,400,050,000"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$160.00,3.17,2.021%,"208,204,968,320"
ISRG,"Intuitive Surgical, Inc. Common Stock",$569.71,1.99,0.351%,"204,227,650,233"
PEP,"PepsiCo, Inc. Common Stock",$148.06,-0.55,-0.37%,"202,448,378,463"
LRCX,Lam Research Corporation Common Stock,$159.75,1.82,1.152%,"200,650,792,500"
INTC,Intel Corporation Common Stock,$43.76,0.29,0.667%,"191,537,520,000"
LIN,Linde plc Ordinary Shares,$409.15,1.86,0.457%,"191,052,154,710"
C,"Citigroup, Inc. Common Stock",$106.72,3.53,3.421%,"190,950,484,488"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$15.80,-0.18,-1.126%,"190,669,832,536"
DIS,Walt Disney Company (The) Common Stock,$105.74,0.91,0.868%,"188,776,442,576"
UBER,"Uber Technologies, Inc. Common Stock",$90.68,3.11,3.551%,"188,417,658,949"
QCOM,QUALCOMM Incorporated Common Stock,$175.07,4.37,2.56%,"187,499,970,000"
