Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$184.97,2.16,1.182%,"4,494,771,000,000"
AAPL,Apple Inc. Common Stock,$263.88,8.10,3.167%,"3,874,059,223,200"
GOOG,Alphabet Inc. Class C Capital Stock,$302.82,-3.20,-1.046%,"3,663,213,540,000"
GOOGL,Alphabet Inc. Class A Common Stock,$302.02,-3.70,-1.21%,"3,653,535,940,000"
MSFT,Microsoft Corporation Common Stock,$396.86,-4.46,-1.111%,"2,946,935,155,101"
AMZN,"Amazon.com, Inc. Common Stock",$201.15,2.36,1.187%,"2,159,329,333,001"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$364.20,-2.16,-0.59%,"1,888,940,289,202"
META,"Meta Platforms, Inc. Class A Common Stock",$639.29,-0.48,-0.075%,"1,617,119,512,581"
AVGO,Broadcom Inc. Common Stock,$332.54,7.37,2.267%,"1,576,663,189,119"
TSLA,"Tesla, Inc. Common Stock",$410.63,-6.81,-1.631%,"1,540,861,145,590"
BRK/B,Berkshire Hathaway Inc.,$503.41,5.86,1.178%,"1,110,679,207,275"
BRK/A,Berkshire Hathaway Inc.,"$754,910.00","3,485.01",0.464%,"1,110,377,491,340"
WMT,Walmart Inc. Common Stock,$128.85,-5.04,-3.764%,"1,026,956,013,311"
LLY,Eli Lilly and Company Common Stock,"$1,036.05",-3.95,-0.38%,"977,365,454,991"
JPM,JP Morgan Chase & Co. Common Stock,$307.13,4.58,1.514%,"836,088,418,663"
XOM,Exxon Mobil Corporation Common Stock,$146.19,-2.26,-1.522%,"616,507,441,111"
V,Visa Inc.,$319.50,5.42,1.726%,"612,164,973,267"
JNJ,Johnson & Johnson Common Stock,$243.33,-0.12,-0.049%,"586,400,708,097"
ASML,ASML Holding N.V. New York Registry Shares,"$1,419.78",13.17,0.936%,"558,376,359,982"
MA,Mastercard Incorporated Common Stock,$521.93,3.57,0.689%,"465,463,599,480"
MU,"Micron Technology, Inc. Common Stock",$399.78,-11.88,-2.886%,"449,956,092,363"
COST,Costco Wholesale Corporation Common Stock,"$1,012.05",-6.43,-0.631%,"449,218,037,403"
ORCL,Oracle Corporation Common Stock,$153.97,-6.17,-3.853%,"442,523,791,270"
ABBV,AbbVie Inc. Common Stock,$232.86,1.36,0.587%,"411,553,185,408"
BAC,Bank of America Corporation Common Stock,$52.74,0.19,0.362%,"385,133,615,307"
HD,"Home Depot, Inc. (The) Common Stock",$383.04,-8.01,-2.048%,"381,320,719,214"
PG,Procter & Gamble Company (The) Common Stock,$159.55,-0.52,-0.325%,"370,794,309,292"
CVX,Chevron Corporation Common Stock,$180.55,-3.19,-1.736%,"363,541,324,338"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$155.43,-0.30,-0.193%,"358,931,307,090"
CAT,"Caterpillar, Inc. Common Stock",$764.76,-9.44,-1.219%,"357,892,075,837"
GE,GE Aerospace Common Stock,$327.08,11.67,3.70%,"343,045,956,213"
KO,Coca-Cola Company (The) Common Stock,$79.56,0.88,1.118%,"342,235,999,708"
AMD,"Advanced Micro Devices, Inc. Common Stock",$203.08,-4.24,-2.045%,"330,622,675,943"
