Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$212.60,-2.26,-1.052%,"5,144,920,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$388.83,-0.05,-0.013%,"4,711,064,280,000"
GOOG,Alphabet Inc. Class C Capital Stock,$384.83,-0.01,-0.003%,"4,662,600,280,000"
AAPL,Apple Inc. Common Stock,$310.85,2.52,0.817%,"4,565,564,612,600"
MSFT,Microsoft Corporation Common Stock,$412.67,-3.36,-0.808%,"3,065,492,149,300"
AMZN,"Amazon.com, Inc. Common Stock",$271.85,6.56,2.473%,"2,924,320,200,177"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$422.73,10.41,2.525%,"2,192,491,218,068"
AVGO,Broadcom Inc. Common Stock,$421.86,-0.15,-0.036%,"1,997,367,120,102"
TSLA,"Tesla, Inc. Common Stock",$440.36,6.77,1.561%,"1,653,870,563,834"
META,"Meta Platforms, Inc. Class A Common Stock",$635.255,22.915,3.742%,"1,612,546,095,983"
BRK/B,Berkshire Hathaway Inc.,$479.92,-3.70,-0.765%,"1,058,852,953,170"
BRK/A,Berkshire Hathaway Inc.,"$719,000.010000000009","-5,499.99",-0.759%,"1,057,558,420,709"
MU,"Micron Technology, Inc. Common Stock",$928.41,32.53,3.631%,"1,046,999,570,289"
LLY,Eli Lilly and Company Common Stock,"$1,082.92",18.18,1.707%,"1,019,830,603,386"
WMT,Walmart Inc. Common Stock,$118.54,-0.03,-0.025%,"945,048,592,469"
AMD,"Advanced Micro Devices, Inc. Common Stock",$495.54,-8.35,-1.657%,"808,027,840,650"
JPM,JP Morgan Chase & Co. Common Stock,$299.28,-7.46,-2.432%,"801,924,177,179"
V,Visa Inc.,$327.61,1.13,0.346%,"620,646,647,393"
ASML,ASML Holding N.V. New York Registry Shares,"$1,597.87",-34.16,-2.093%,"615,847,324,374"
XOM,Exxon Mobil Corporation Common Stock,$147.90,-1.91,-1.275%,"613,037,685,260"
INTC,Intel Corporation Common Stock,$121.77,-1.75,-1.417%,"612,016,020,000"
AZN,AstraZeneca PLC Ordinary Shares,$185.65,-1.54,-0.823%,"575,784,515,160"
JNJ,Johnson & Johnson Common Stock,$231.29,1.11,0.482%,"556,765,213,223"
ORCL,Oracle Corporation Common Stock,$190.96,-2.10,-1.088%,"549,209,744,160"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$119.67,1.34,1.132%,"471,671,486,361"
COST,Costco Wholesale Corporation Common Stock,"$1,003.69",0.76,0.076%,"445,289,617,873"
MA,Mastercard Incorporated Common Stock,$495.04,2.03,0.412%,"437,409,351,579"
CAT,"Caterpillar, Inc. Common Stock",$909.93,1.38,0.152%,"419,147,449,068"
LRCX,Lam Research Corporation Common Stock,$318.93,-3.75,-1.162%,"398,844,609,030"
ABBV,AbbVie Inc. Common Stock,$215.40,2.28,1.07%,"380,567,173,643"
NFLX,"Netflix, Inc. Common Stock",$87.35,-0.33,-0.376%,"367,813,251,421"
CVX,Chevron Corporation Common Stock,$182.40,-2.31,-1.251%,"363,267,426,317"
BAC,Bank of America Corporation Common Stock,$51.10,-1.10,-2.107%,"362,635,782,266"
AMAT,"Applied Materials, Inc. Common Stock",$448.25,-6.64,-1.46%,"355,892,314,498"
KO,Coca-Cola Company (The) Common Stock,$81.62,1.16,1.442%,"351,304,957,821"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$384.01,7.15,1.897%,"348,736,532,580"
PG,Procter & Gamble Company (The) Common Stock,$147.49,4.53,3.169%,"343,445,063,265"
GE,GE Aerospace Common Stock,$317.21,2.72,0.865%,"330,957,004,314"
HSBC,"HSBC Holdings, plc. Common Stock",$94.68,0.94,1.003%,"325,230,341,989"
ARM,Arm Holdings plc American Depositary Shares,$302.71,-18.51,-5.762%,"320,649,805,137"
MS,Morgan Stanley Common Stock,$201.61,-0.15,-0.074%,"317,996,391,955"
PLTR,Palantir Technologies Inc. Class A Common Stock,$132.51,-4.09,-2.994%,"317,667,810,072"
HD,"Home Depot, Inc. (The) Common Stock",$317.85,7.31,2.354%,"316,587,391,095"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$127.76,-1.71,-1.321%,"298,158,113,660"
MRK,"Merck & Company, Inc. Common Stock (new)",$120.24,0.52,0.434%,"296,971,687,660"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$996.47,1.95,0.196%,"293,966,044,804"
TXN,Texas Instruments Incorporated Common Stock,$317.45,-7.44,-2.29%,"288,908,956,503"
NVS,Novartis AG Common Stock,$151.12,0.32,0.212%,"288,359,881,730"
PM,Philip Morris International Inc Common Stock,$182.04,0.51,0.281%,"283,720,052,326"
GEV,GE Vernova Inc. Common Stock,"$1,031.89",-38.58,-3.604%,"277,289,475,641"
RY,Royal Bank Of Canada Common Stock,$189.13,-0.84,-0.442%,"264,347,538,697"
KLAC,KLA Corporation Common Stock,"$1,957.19",-54.20,-2.695%,"255,662,877,826"
TM,Toyota Motor Corporation Common Stock,$190.11,0.02,0.011%,"248,073,203,857"
QCOM,QUALCOMM Incorporated Common Stock,$233.40,-15.42,-6.197%,"246,003,600,000"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$83.81,-1.22,-1.435%,"243,528,076,733"
IBM,International Business Machines Corporation Common Stock,$255.20,4.51,1.799%,"239,858,723,456"
RTX,RTX Corporation Common Stock,$176.59,-2.38,-1.33%,"237,810,826,551"
SNDK,Sandisk Corporation Common Stock,"$1,589.94",0.39,0.025%,"235,453,829,835"
LIN,Linde plc Ordinary Shares,$507.87,-7.10,-1.379%,"234,940,427,872"
WFC,Wells Fargo & Company Common Stock,$76.11,-1.41,-1.819%,"232,911,022,388"
CCZ,Comcast Holdings ZONES,$64.74,0.84,1.315%,"231,369,201,968"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$18.98,-0.35,-1.811%,"225,249,153,262"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$87.83,1.34,1.549%,"223,040,472,124"
SAP,SAP  SE ADS,$174.14,-1.01,-0.577%,"213,931,726,960"
C,"Citigroup, Inc. Common Stock",$125.39,-1.47,-1.159%,"213,862,294,387"
AXP,American Express Company Common Stock,$312.54,1.82,0.586%,"213,254,306,495"
TMUS,"T-Mobile US, Inc. Common Stock",$190.81,-0.30,-0.157%,"206,495,482,051"
ADI,"Analog Devices, Inc. Common Stock",$416.88,-3.06,-0.729%,"203,056,845,235"
PANW,"Palo Alto Networks, Inc. Common Stock",$248.47,-8.28,-3.225%,"202,751,520,000"
PEP,"PepsiCo, Inc. Common Stock",$147.74,2.06,1.414%,"201,926,350,858"
VZ,Verizon Communications Inc. Common Stock,$48.24,-0.25,-0.516%,"201,428,961,818"
MCD,McDonald's Corporation Common Stock,$280.92,1.66,0.594%,"199,595,305,910"
NVO,Novo Nordisk A/S Common Stock,$44.55,0.36,0.815%,"198,915,750,000"
DELL,Dell Technologies Inc. Class C Common Stock ,$305.32,0.24,0.079%,"198,326,189,387"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$870.66,24.90,2.944%,"195,227,214,175"
ANET,"Arista Networks, Inc. Common Stock",$154.31,-3.70,-2.342%,"194,307,552,126"
APP,Applovin Corporation Class A Common Stock,$567.83,53.59,10.421%,"190,756,810,200"
TTE,TotalEnergies SE Ordinary Shares,$86.66,-3.38,-3.754%,"189,080,143,935"
TD,Toronto Dominion Bank (The) Common Stock,$112.20,-0.36,-0.32%,"187,242,689,984"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$12.59,0.10,0.801%,"185,315,023,059"
WDC,Western Digital Corporation Common Stock,$530.60,5.95,1.134%,"182,888,338,709"
NEE,"NextEra Energy, Inc. Common Stock",$87.65,UNCH,--,"182,780,178,618"
AMGN,Amgen Inc. Common Stock,$336.06,0.12,0.036%,"181,374,362,560"
DIS,Walt Disney Company (The) Common Stock,$104.18,0.90,0.871%,"180,909,760,152"
BA,Boeing Company (The) Common Stock,$224.30,5.40,2.467%,"176,816,212,843"
MRVL,"Marvell Technology, Inc. Common Stock",$198.70,-9.56,-4.59%,"173,972,415,475"
TJX,"TJX Companies, Inc. (The) Common Stock",$157.01,-1.96,-1.233%,"173,623,897,434"
T,AT&T Inc.,$24.89,-0.13,-0.52%,"172,944,153,603"
APH,Amphenol Corporation Common Stock,$140.24,0.68,0.487%,"172,528,078,567"
TMO,Thermo Fisher Scientific Inc Common Stock,$456.21,8.03,1.792%,"169,537,428,548"
BLK,"BlackRock, Inc. Common Stock","$1,070.34",-7.06,-0.655%,"166,153,147,786"
GILD,"Gilead Sciences, Inc. Common Stock",$133.69,-0.04,-0.03%,"165,985,476,455"
UNP,Union Pacific Corporation Common Stock,$279.39,8.29,3.058%,"165,877,534,580"
GLW,Corning Incorporated Common Stock,$190.89,-5.28,-2.692%,"164,287,154,414"
