Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$177.39,1.64,0.933%,"4,310,577,000,000"
AAPL,Apple Inc. Common Stock,$255.92,0.29,0.113%,"3,757,197,348,800"
GOOGL,Alphabet Inc. Class A Common Stock,$295.77,-1.62,-0.545%,"3,577,929,690,000"
GOOG,Alphabet Inc. Class C Capital Stock,$294.46,-0.44,-0.149%,"3,562,082,620,000"
MSFT,Microsoft Corporation Common Stock,$373.46,4.09,1.107%,"2,773,175,434,723"
AMZN,"Amazon.com, Inc. Common Stock",$209.77,-0.80,-0.38%,"2,251,864,350,900"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$339.04,-2.45,-0.717%,"1,758,446,775,538"
AVGO,Broadcom Inc. Common Stock,$314.55,1.06,0.338%,"1,489,289,877,277"
META,"Meta Platforms, Inc. Class A Common Stock",$574.46,-4.77,-0.824%,"1,453,128,431,849"
TSLA,"Tesla, Inc. Common Stock",$360.59,-20.67,-5.421%,"1,353,089,449,111"
BRK/A,Berkshire Hathaway Inc.,"$716,299.989999999991",41.99,0.006%,"1,053,587,031,491"
BRK/B,Berkshire Hathaway Inc.,$477.35,-1.15,-0.24%,"1,053,182,732,947"
WMT,Walmart Inc. Common Stock,$125.79,1.05,0.842%,"1,002,848,510,601"
LLY,Eli Lilly and Company Common Stock,$935.58,-18.94,-1.984%,"883,953,648,686"
JPM,JP Morgan Chase & Co. Common Stock,$294.60,-0.78,-0.264%,"794,545,737,675"
XOM,Exxon Mobil Corporation Common Stock,$160.69,-0.09,-0.056%,"669,557,219,263"
AZN,AstraZeneca PLC Ordinary Shares,$203.49,2.76,1.375%,"631,114,414,166"
JNJ,Johnson & Johnson Common Stock,$243.04,-1.08,-0.442%,"585,389,356,746"
V,Visa Inc.,$300.80,2.29,0.767%,"576,335,599,245"
ASML,ASML Holding N.V. New York Registry Shares,"$1,317.23",-42.53,-3.128%,"507,683,710,868"
COST,Costco Wholesale Corporation Common Stock,"$1,014.96",18.40,1.846%,"450,289,581,998"
MA,Mastercard Incorporated Common Stock,$493.44,1.79,0.364%,"440,055,866,740"
ORCL,Oracle Corporation Common Stock,$146.38,1.15,0.792%,"420,995,613,480"
NFLX,"Netflix, Inc. Common Stock",$98.66,3.11,3.255%,"416,558,517,719"
MU,"Micron Technology, Inc. Common Stock",$366.24,-1.61,-0.438%,"413,021,318,838"
CVX,Chevron Corporation Common Stock,$198.97,1.56,0.79%,"397,021,860,695"
ABBV,AbbVie Inc. Common Stock,$208.84,-6.14,-2.856%,"369,388,334,813"
PLTR,Palantir Technologies Inc. Class A Common Stock,$148.46,1.97,1.345%,"354,918,973,755"
AMD,"Advanced Micro Devices, Inc. Common Stock",$217.50,7.29,3.468%,"354,598,684,433"
BAC,Bank of America Corporation Common Stock,$49.38,0.11,0.223%,"352,855,119,358"
CAT,"Caterpillar, Inc. Common Stock",$717.22,-13.10,-1.794%,"333,713,380,257"
PG,Procter & Gamble Company (The) Common Stock,$143.12,-0.97,-0.673%,"332,610,978,037"
