Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$180.64,-5.88,-3.152%,"4,389,552,000,000"
AAPL,Apple Inc. Common Stock,$266.25,-2.31,-0.86%,"3,934,203,986,250"
MSFT,Microsoft Corporation Common Stock,$478.43,-7.78,-1.60%,"3,555,872,441,482"
GOOG,Alphabet Inc. Class C Capital Stock,$289.98,-3.01,-1.027%,"3,499,188,660,000"
GOOGL,Alphabet Inc. Class A Common Stock,$289.45,-3.36,-1.148%,"3,492,793,150,000"
AMZN,"Amazon.com, Inc. Common Stock",$217.14,-5.55,-2.492%,"2,321,273,504,629"
AVGO,Broadcom Inc. Common Stock,$346.82,-7.60,-2.144%,"1,637,810,636,930"
META,"Meta Platforms, Inc. Class A Common Stock",$589.15,-1.17,-0.198%,"1,484,968,833,773"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$277.50,-4.87,-1.725%,"1,439,266,694,820"
TSLA,"Tesla, Inc. Common Stock",$395.23,-8.76,-2.168%,"1,314,463,509,373"
BRK/A,Berkshire Hathaway Inc.,"$754,625.00","2,160.58",0.287%,"1,109,958,292,250"
BRK/B,Berkshire Hathaway Inc.,$501.12,-0.14,-0.028%,"1,105,626,754,236"
LLY,Eli Lilly and Company Common Stock,"$1,043.29",-6.31,-0.601%,"986,309,419,841"
WMT,Walmart Inc. Common Stock,$107.11,6.50,6.461%,"853,972,083,677"
JPM,JP Morgan Chase & Co. Common Stock,$298.38,-4.89,-1.612%,"812,268,623,582"
V,Visa Inc.,$323.77,-0.35,-0.108%,"623,492,021,131"
ORCL,Oracle Corporation Common Stock,$210.69,-14.84,-6.58%,"598,720,722,660"
XOM,Exxon Mobil Corporation Common Stock,$117.02,-0.33,-0.281%,"493,492,720,150"
JNJ,Johnson & Johnson Common Stock,$203.07,0.56,0.277%,"489,061,374,737"
MA,Mastercard Incorporated Common Stock,$527.88,-2.48,-0.468%,"474,034,048,242"
NFLX,"Netflix, Inc. Common Stock",$105.67,-4.33,-3.936%,"447,757,957,338"
ABBV,AbbVie Inc. Common Stock,$229.45,-3.46,-1.486%,"405,526,403,812"
COST,Costco Wholesale Corporation Common Stock,$893.29,2.69,0.302%,"395,887,526,129"
ASML,ASML Holding N.V. New York Registry Shares,$981.04,-58.29,-5.608%,"385,827,060,669"
BAC,Bank of America Corporation Common Stock,$51.00,-1.02,-1.961%,"372,427,273,050"
PLTR,Palantir Technologies Inc. Class A Common Stock,$155.745,-9.675,-5.849%,"371,208,292,462"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$153.28,-5.61,-3.531%,"353,966,356,242"
PG,Procter & Gamble Company (The) Common Stock,$148.19,1.20,0.816%,"346,280,544,626"
AMD,"Advanced Micro Devices, Inc. Common Stock",$206.02,-17.53,-7.842%,"335,409,118,071"
HD,"Home Depot, Inc. (The) Common Stock",$332.38,-2.12,-0.634%,"330,846,613,730"
GE,GE Aerospace Common Stock,$290.62,-10.20,-3.391%,"308,184,894,650"
KO,Coca-Cola Company (The) Common Stock,$71.21,0.10,0.141%,"306,317,565,852"
CVX,Chevron Corporation Common Stock,$150.31,-1.39,-0.916%,"302,652,431,245"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$75.44,-2.95,-3.763%,"298,070,573,833"
SAP,SAP  SE ADS,$233.94,-4.03,-1.693%,"287,396,280,034"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$311.54,2.45,0.793%,"282,204,963,675"
AZN,AstraZeneca PLC American Depositary Shares,$88.68,-0.31,-0.348%,"275,032,496,965"
IBM,International Business Machines Corporation Common Stock,$290.40,1.87,0.648%,"271,447,103,822"
