Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$187.54,-0.68,-0.361%,"4,557,222,000,000"
AAPL,Apple Inc. Common Stock,$273.08,-0.68,-0.248%,"4,035,126,477,240"
GOOG,Alphabet Inc. Class C Capital Stock,$314.55,0.16,0.051%,"3,795,674,850,000"
GOOGL,Alphabet Inc. Class A Common Stock,$313.85,0.29,0.092%,"3,787,227,950,000"
MSFT,Microsoft Corporation Common Stock,$487.48,0.38,0.078%,"3,623,135,459,259"
AMZN,"Amazon.com, Inc. Common Stock",$232.53,0.46,0.198%,"2,485,795,929,038"
META,"Meta Platforms, Inc. Class A Common Stock",$665.95,7.26,1.102%,"1,678,545,353,222"
AVGO,Broadcom Inc. Common Stock,$349.85,0.46,0.132%,"1,658,734,638,580"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$299.58,-1.34,-0.445%,"1,553,785,644,808"
TSLA,"Tesla, Inc. Common Stock",$454.43,-5.21,-1.133%,"1,511,352,004,060"
BRK/B,Berkshire Hathaway Inc.,$503.71,2.66,0.531%,"1,111,341,100,686"
BRK/A,Berkshire Hathaway Inc.,"$755,400.00","3,400.00",0.452%,"1,111,098,219,600"
LLY,Eli Lilly and Company Common Stock,"$1,079.75",1.02,0.095%,"1,020,778,111,621"
WMT,Walmart Inc. Common Stock,$111.92,-0.61,-0.542%,"892,021,086,611"
JPM,JP Morgan Chase & Co. Common Stock,$323.42,-0.33,-0.102%,"880,434,071,449"
V,Visa Inc.,$353.62,-0.99,-0.279%,"680,974,915,874"
ORCL,Oracle Corporation Common Stock,$197.21,1.83,0.937%,"566,609,967,300"
MA,Mastercard Incorporated Common Stock,$577.42,-0.48,-0.083%,"518,520,762,552"
XOM,Exxon Mobil Corporation Common Stock,$120.99,0.46,0.382%,"510,234,867,638"
JNJ,Johnson & Johnson Common Stock,$206.91,-0.65,-0.313%,"498,507,249,555"
PLTR,Palantir Technologies Inc. Class A Common Stock,$180.84,-3.34,-1.813%,"431,020,627,364"
ASML,ASML Holding N.V. New York Registry Shares,"$1,072.14",6.145,0.576%,"421,655,207,561"
ABBV,AbbVie Inc. Common Stock,$229.74,-1.10,-0.477%,"406,038,945,356"
BAC,Bank of America Corporation Common Stock,$55.28,-0.07,-0.126%,"403,681,954,004"
NFLX,"Netflix, Inc. Common Stock",$93.78,-0.37,-0.393%,"397,376,182,825"
COST,Costco Wholesale Corporation Common Stock,$865.65,-2.19,-0.252%,"384,235,555,632"
AMD,"Advanced Micro Devices, Inc. Common Stock",$215.34,-0.27,-0.125%,"350,582,465,224"
HD,"Home Depot, Inc. (The) Common Stock",$346.35,-1.10,-0.317%,"344,795,402,830"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$147.36,-1.13,-0.761%,"340,295,421,815"
PG,Procter & Gamble Company (The) Common Stock,$144.05,-0.52,-0.36%,"336,606,467,733"
MU,"Micron Technology, Inc. Common Stock",$292.63,-1.74,-0.591%,"329,357,775,046"
GE,GE Aerospace Common Stock,$311.79,0.21,0.067%,"328,880,429,311"
CVX,Chevron Corporation Common Stock,$152.31,1.32,0.874%,"306,679,474,439"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$77.41,-0.38,-0.488%,"305,854,230,122"
KO,Coca-Cola Company (The) Common Stock,$70.07,-0.09,-0.128%,"301,413,731,769"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$332.16,3.22,0.979%,"300,883,356,019"
SAP,SAP  SE ADS,$244.59,-1.45,-0.589%,"300,479,850,105"
WFC,Wells Fargo & Company Common Stock,$94.31,-0.21,-0.222%,"296,047,063,156"
AZN,AstraZeneca PLC American Depositary Shares,$92.51,-0.01,-0.011%,"286,915,300,282"
MS,Morgan Stanley Common Stock,$179.08,-0.86,-0.478%,"284,613,511,414"
IBM,International Business Machines Corporation Common Stock,$302.05,-3.69,-1.207%,"282,336,768,972"
TM,Toyota Motor Corporation Common Stock,$214.85,-1.59,-0.735%,"280,356,256,108"
NVS,Novartis AG Common Stock,$138.72,-0.48,-0.345%,"273,984,380,483"
HSBC,"HSBC Holdings, plc. Common Stock",$79.28,0.43,0.545%,"272,330,603,220"
CAT,"Caterpillar, Inc. Common Stock",$577.39,-1.22,-0.211%,"270,206,738,934"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$884.42,-7.76,-0.87%,"265,262,773,699"
MRK,"Merck & Company, Inc. Common Stock (new)",$106.06,-0.56,-0.525%,"263,243,310,168"
AXP,American Express Company Common Stock,$373.39,-1.93,-0.514%,"257,210,318,714"
PM,Philip Morris International Inc Common Stock,$161.95,0.01,0.006%,"252,097,645,401"
CRM,"Salesforce, Inc. Common Stock",$265.92,-0.31,-0.116%,"249,167,040,000"
RTX,RTX Corporation Common Stock,$184.01,-0.41,-0.222%,"246,715,445,047"
RY,Royal Bank Of Canada Common Stock,$171.59,-0.15,-0.087%,"240,262,374,849"
APP,Applovin Corporation Class A Common Stock,$693.71,-5.11,-0.731%,"234,442,763,050"
NVO,Novo Nordisk A/S Common Stock,$51.22,-0.25,-0.486%,"228,697,300,000"
TMUS,"T-Mobile US, Inc. Common Stock",$203.80,0.65,0.32%,"227,951,650,379"
MCD,McDonald's Corporation Common Stock,$308.03,-0.50,-0.162%,"219,364,904,431"
TMO,Thermo Fisher Scientific Inc Common Stock,$583.45,-1.62,-0.277%,"219,206,867,024"
ABT,Abbott Laboratories Common Stock,$125.78,1.21,0.971%,"218,715,313,494"
CCZ,Comcast Holdings ZONES,$60.01,UNCH,--,"218,670,109,245"
LRCX,Lam Research Corporation Common Stock,$173.78,-2.09,-1.188%,"218,272,893,400"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$73.83,0.71,0.971%,"214,529,028,818"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$163.74,-4.14,-2.466%,"213,071,759,454"
C,"Citigroup, Inc. Common Stock",$117.21,-0.92,-0.779%,"209,719,886,496"
AMAT,"Applied Materials, Inc. Common Stock",$259.97,-3.08,-1.171%,"206,141,486,859"
DIS,Walt Disney Company (The) Common Stock,$114.79,0.60,0.525%,"204,933,306,632"
ISRG,"Intuitive Surgical, Inc. Common Stock",$572.63,-2.77,-0.481%,"202,995,086,282"
LIN,Linde plc Ordinary Shares,$428.36,1.82,0.427%,"200,022,243,655"
PEP,"PepsiCo, Inc. Common Stock",$144.16,-0.08,-0.055%,"197,115,751,988"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$15.93,0.04,0.252%,"192,238,634,956"
HDB,HDFC Bank Limited Common Stock,$36.44,0.10,0.275%,"186,500,885,915"
INTU,Intuit Inc. Common Stock,$669.88,-4.27,-0.633%,"186,494,592,000"
QCOM,QUALCOMM Incorporated Common Stock,$173.65,0.22,0.127%,"185,979,150,000"
GEV,GE Vernova Inc. Common Stock,$659.64,-3.82,-0.576%,"178,973,827,575"
SCHW,Charles Schwab Corporation (The) Common Stock,$100.55,-0.76,-0.75%,"178,670,992,224"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$270.00,-1.34,-0.494%,"178,316,786,340"
AMGN,Amgen Inc. Common Stock,$328.69,-0.94,-0.285%,"176,993,211,751"
T,AT&T Inc.,$24.81,0.04,0.161%,"175,889,241,971"
BKNG,Booking Holdings Inc. Common Stock,"$5,427.15",-14.18,-0.261%,"174,937,749,077"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$11.84,0.16,1.37%,"174,275,605,482"
TJX,"TJX Companies, Inc. (The) Common Stock",$155.35,-1.12,-0.716%,"172,511,063,208"
VZ,Verizon Communications Inc. Common Stock,$40.70,0.22,0.543%,"171,608,517,402"
UBER,"Uber Technologies, Inc. Common Stock",$82.12,0.62,0.761%,"170,631,430,888"
BLK,"BlackRock, Inc. Common Stock","$1,083.31",-5.09,-0.468%,"168,076,531,229"
NEE,"NextEra Energy, Inc. Common Stock",$80.53,0.26,0.324%,"167,712,557,853"
ANET,"Arista Networks, Inc. Common Stock",$132.44,-1.71,-1.275%,"166,779,714,671"
APH,Amphenol Corporation Common Stock,$136.20,-0.70,-0.511%,"166,716,360,190"
BA,Boeing Company (The) Common Stock,$218.50,1.25,0.575%,"166,080,859,758"
KLAC,KLA Corporation Common Stock,"$1,243.65",-16.74,-1.328%,"163,406,081,154"
INTC,Intel Corporation Common Stock,$37.30,0.62,1.69%,"163,262,100,000"
DHR,Danaher Corporation Common Stock,$230.67,0.04,0.017%,"162,933,653,697"
TD,Toronto Dominion Bank (The) Common Stock,$94.71,0.14,0.148%,"161,689,290,840"
PDD,PDD Holdings Inc. American Depositary Shares,$113.83,-0.32,-0.28%,"161,598,356,769"
NOW,"ServiceNow, Inc. Common Stock",$154.23,-0.35,-0.226%,"160,150,996,890"
SPGI,S&P Global Inc. Common Stock,$527.69,-2.41,-0.455%,"159,784,532,000"
TXN,Texas Instruments Incorporated Common Stock,$175.42,-0.27,-0.154%,"159,390,650,168"
