Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$214.25,1.65,0.776%,"5,184,850,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$390.13,1.30,0.334%,"4,726,815,080,000"
GOOG,Alphabet Inc. Class C Capital Stock,$386.12,1.29,0.335%,"4,678,229,920,000"
AAPL,Apple Inc. Common Stock,$312.51,1.66,0.534%,"4,589,945,623,560"
MSFT,Microsoft Corporation Common Stock,$426.99,14.32,3.47%,"3,171,867,334,261"
AMZN,"Amazon.com, Inc. Common Stock",$274.00,2.15,0.791%,"2,947,447,985,464"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$424.86,2.13,0.504%,"2,203,538,473,513"
AVGO,Broadcom Inc. Common Stock,$426.58,4.72,1.119%,"2,019,714,753,931"
TSLA,"Tesla, Inc. Common Stock",$442.10,1.74,0.395%,"1,660,405,523,369"
META,"Meta Platforms, Inc. Class A Common Stock",$635.29,0.035,0.006%,"1,612,634,940,798"
LLY,Eli Lilly and Company Common Stock,"$1,126.80",43.88,4.052%,"1,061,154,216,281"
BRK/B,Berkshire Hathaway Inc.,$477.42,-2.50,-0.521%,"1,053,337,174,743"
BRK/A,Berkshire Hathaway Inc.,"$715,660.00","-3,340.01",-0.465%,"1,052,645,686,840"
MU,"Micron Technology, Inc. Common Stock",$923.52,-4.89,-0.527%,"1,041,484,950,780"
WMT,Walmart Inc. Common Stock,$118.90,0.36,0.304%,"947,918,657,369"
AMD,"Advanced Micro Devices, Inc. Common Stock",$518.09,22.55,4.551%,"844,797,885,060"
JPM,JP Morgan Chase & Co. Common Stock,$296.73,-2.55,-0.852%,"795,091,423,063"
ASML,ASML Holding N.V. New York Registry Shares,"$1,605.77",7.90,0.494%,"618,892,123,927"
V,Visa Inc.,$324.95,-2.66,-0.812%,"615,607,362,627"
XOM,Exxon Mobil Corporation Common Stock,$146.96,-0.94,-0.636%,"609,141,434,928"
INTC,Intel Corporation Common Stock,$120.89,-0.88,-0.723%,"607,593,140,000"
ORCL,Oracle Corporation Common Stock,$203.70,12.74,6.672%,"585,850,570,200"
AZN,AstraZeneca PLC Ordinary Shares,$185.33,-0.32,-0.172%,"574,792,050,604"
JNJ,Johnson & Johnson Common Stock,$230.80,-0.49,-0.212%,"555,585,676,907"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$118.64,-1.03,-0.861%,"467,611,808,656"
COST,Costco Wholesale Corporation Common Stock,$995.20,-8.49,-0.846%,"441,523,007,808"
MA,Mastercard Incorporated Common Stock,$493.75,-1.29,-0.261%,"436,269,528,406"
CAT,"Caterpillar, Inc. Common Stock",$887.67,-22.26,-2.446%,"408,893,668,869"
LRCX,Lam Research Corporation Common Stock,$318.00,-0.93,-0.292%,"397,681,578,000"
ABBV,AbbVie Inc. Common Stock,$218.63,3.23,1.50%,"386,273,914,455"
CVX,Chevron Corporation Common Stock,$183.03,0.63,0.345%,"364,522,132,888"
NFLX,"Netflix, Inc. Common Stock",$86.36,-0.99,-1.133%,"363,644,560,878"
BAC,Bank of America Corporation Common Stock,$50.77,-0.33,-0.646%,"360,293,907,351"
AMAT,"Applied Materials, Inc. Common Stock",$449.68,1.43,0.319%,"357,027,676,482"
ARM,Arm Holdings plc American Depositary Shares,$335.27,32.56,10.756%,"356,745,804,338"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$382.53,-1.48,-0.385%,"347,392,478,862"
KO,Coca-Cola Company (The) Common Stock,$80.41,-1.21,-1.482%,"346,096,932,840"
PLTR,Palantir Technologies Inc. Class A Common Stock,$143.34,10.83,8.173%,"343,630,698,783"
PG,Procter & Gamble Company (The) Common Stock,$145.91,-1.58,-1.071%,"339,765,876,880"
GE,GE Aerospace Common Stock,$320.82,3.61,1.138%,"334,723,451,733"
MS,Morgan Stanley Common Stock,$203.79,2.18,1.081%,"321,434,872,856"
HD,"Home Depot, Inc. (The) Common Stock",$321.21,3.36,1.057%,"319,934,044,026"
HSBC,"HSBC Holdings, plc. Common Stock",$92.95,-1.73,-1.827%,"319,287,708,997"
GS,"Goldman Sachs Group, Inc. (The) Common Stock","$1,008.37",11.90,1.194%,"297,476,633,114"
MRK,"Merck & Company, Inc. Common Stock (new)",$119.89,-0.35,-0.291%,"296,107,249,114"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$126.16,-1.60,-1.252%,"294,424,136,031"
NVS,Novartis AG Common Stock,$151.40,0.28,0.185%,"288,894,164,201"
TXN,Texas Instruments Incorporated Common Stock,$315.95,-1.50,-0.473%,"287,543,817,316"
PM,Philip Morris International Inc Common Stock,$178.57,-3.47,-1.906%,"278,311,853,130"
GEV,GE Vernova Inc. Common Stock,$996.00,-35.89,-3.478%,"267,645,115,020"
RY,Royal Bank Of Canada Common Stock,$188.89,-0.24,-0.127%,"264,012,090,014"
QCOM,QUALCOMM Incorporated Common Stock,$243.29,9.89,4.237%,"256,427,660,000"
KLAC,KLA Corporation Common Stock,"$1,927.63",-29.56,-1.51%,"251,801,528,305"
TM,Toyota Motor Corporation Common Stock,$191.84,1.73,0.91%,"250,330,668,708"
IBM,International Business Machines Corporation Common Stock,$264.22,9.02,3.534%,"248,336,488,682"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$83.83,0.02,0.024%,"243,586,191,058"
SNDK,Sandisk Corporation Common Stock,"$1,641.64",51.70,3.252%,"243,110,070,323"
RTX,RTX Corporation Common Stock,$178.96,2.37,1.342%,"241,002,466,275"
WFC,Wells Fargo & Company Common Stock,$76.65,0.54,0.709%,"234,563,524,715"
LIN,Linde plc Ordinary Shares,$501.98,-5.89,-1.16%,"232,215,716,587"
CCZ,Comcast Holdings ZONES,$63.30,-1.44,-2.224%,"226,222,899,051"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$18.82,-0.16,-0.843%,"223,350,319,514"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$87.80,-0.03,-0.034%,"222,964,288,426"
