Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$180.03,-8.29,-4.402%,"4,374,729,000,000"
MSFT,Microsoft Corporation Common Stock,$513.57,-0.48,-0.093%,"3,817,451,257,263"
AAPL,Apple Inc. Common Stock,$247.77,0.11,0.044%,"3,677,003,430,300"
GOOG,Alphabet Inc. Class C Capital Stock,$246.19,1.55,0.634%,"2,977,421,860,000"
GOOGL,Alphabet Inc. Class A Common Stock,$245.45,1.30,0.532%,"2,968,472,300,000"
AMZN,"Amazon.com, Inc. Common Stock",$216.39,-3.68,-1.672%,"2,307,780,328,670"
META,"Meta Platforms, Inc. Class A Common Stock",$708.65,-7.05,-0.985%,"1,780,229,056,259"
AVGO,Broadcom Inc. Common Stock,$344.13,-12.57,-3.524%,"1,625,107,475,021"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$295.94,-6.95,-2.295%,"1,534,906,615,009"
TSLA,"Tesla, Inc. Common Stock",$429.24,-6.66,-1.528%,"1,384,491,681,114"
BRK/B,Berkshire Hathaway Inc.,$495.97,4.04,0.821%,"1,094,264,250,675"
BRK/A,Berkshire Hathaway Inc.,"$743,524.599999999977","5,394.60",0.731%,"1,093,631,002,500"
WMT,Walmart Inc. Common Stock,$107.21,5.09,4.984%,"854,769,368,790"
ORCL,Oracle Corporation Common Stock,$299.00,-9.01,-2.925%,"849,672,486,000"
JPM,JP Morgan Chase & Co. Common Stock,$302.08,-5.89,-1.913%,"830,645,644,216"
LLY,Eli Lilly and Company Common Stock,$812.35,-7.05,-0.86%,"768,854,148,174"
V,Visa Inc.,$348.38,5.08,1.48%,"675,836,957,728"
NFLX,"Netflix, Inc. Common Stock","$1,215.35",-3.68,-0.302%,"516,434,234,611"
MA,Mastercard Incorporated Common Stock,$567.92,8.68,1.552%,"513,406,402,469"
XOM,Exxon Mobil Corporation Common Stock,$112.29,0.05,0.045%,"478,720,007,988"
JNJ,Johnson & Johnson Common Stock,$190.85,-0.05,-0.026%,"459,631,473,721"
PLTR,Palantir Technologies Inc. Class A Common Stock,$179.74,2.53,1.428%,"426,404,826,751"
COST,Costco Wholesale Corporation Common Stock,$946.51,10.95,1.17%,"419,473,521,876"
ABBV,AbbVie Inc. Common Stock,$229.13,-1.17,-0.508%,"404,771,492,510"
ASML,ASML Holding N.V. New York Registry Shares,$983.18,-1.48,-0.15%,"386,668,687,830"
HD,"Home Depot, Inc. (The) Common Stock",$387.72,8.35,2.201%,"385,931,310,775"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$162.86,-3.95,-2.368%,"376,089,253,507"
BAC,Bank of America Corporation Common Stock,$50.09,1.23,2.517%,"371,013,990,858"
AMD,"Advanced Micro Devices, Inc. Common Stock",$218.09,1.67,0.772%,"353,925,980,134"
PG,Procter & Gamble Company (The) Common Stock,$149.16,1.67,1.132%,"349,388,131,150"
SAP,SAP  SE ADS,$270.52,0.70,0.259%,"332,334,964,841"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$359.93,1.27,0.354%,"325,979,107,846"
GE,GE Aerospace Common Stock,$300.08,2.55,0.857%,"318,216,651,251"
CVX,Chevron Corporation Common Stock,$152.39,0.45,0.296%,"309,235,940,899"
KO,Coca-Cola Company (The) Common Stock,$67.51,0.71,1.063%,"290,540,576,183"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$68.66,1.20,1.779%,"271,426,502,793"
WFC,Wells Fargo & Company Common Stock,$84.56,5.64,7.146%,"270,882,988,633"
AZN,AstraZeneca PLC American Depositary Shares,$85.12,0.61,0.722%,"263,991,499,117"
TMUS,"T-Mobile US, Inc. Common Stock",$229.42,4.36,1.937%,"258,193,635,698"
NVS,Novartis AG Common Stock,$130.26,1.14,0.883%,"257,275,125,444"
IBM,International Business Machines Corporation Common Stock,$276.15,-1.07,-0.386%,"257,239,038,678"
