Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$225.73,-4.63,-2.01%,"5,440,093,000,000"
AAPL,Apple Inc. Common Stock,$316.22,-3.75,-1.172%,"4,614,971,599,600"
GOOGL,Alphabet Inc. Class A Common Stock,$338.36,-0.10,-0.03%,"4,138,142,800,000"
GOOG,Alphabet Inc. Class C Capital Stock,$335.38,0.07,0.021%,"4,101,697,400,000"
MSFT,Microsoft Corporation Common Stock,$493.95,-5.75,-1.151%,"3,667,848,195,279"
AMZN,"Amazon.com, Inc. Common Stock",$256.97,-1.54,-0.596%,"2,771,758,998,597"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$439.00,10.09,2.352%,"2,276,875,652,856"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$153.47,5.52,3.731%,"2,083,020,934,789"
AVGO,Broadcom Inc. Common Stock,$368.56,10.665,2.98%,"1,753,453,757,775"
META,"Meta Platforms, Inc. Class A Common Stock",$613.48,-3.29,-0.533%,"1,562,844,118,913"
TSLA,"Tesla, Inc. Common Stock",$368.16,14.08,3.977%,"1,454,065,368,575"
SKHY,SK hynix Inc. American Depositary Shares,$185.55,8.55,4.831%,"1,352,409,935,250"
MU,"Micron Technology, Inc. Common Stock","$1,000.26",-16.33,-1.606%,"1,129,686,793,219"
BRK/B,Berkshire Hathaway Inc.,$505.83,-0.20,-0.04%,"1,116,018,480,793"
BRK/A,Berkshire Hathaway Inc.,"$757,791.00","-1,559.01",-0.205%,"1,114,615,079,334"
LLY,Eli Lilly and Company Common Stock,"$1,123.91",-25.45,-2.214%,"1,058,000,618,924"
JPM,JP Morgan Chase & Co. Common Stock,$353.51,-5.13,-1.43%,"939,695,401,794"
WMT,Walmart Inc. Common Stock,$106.05,-1.09,-1.017%,"841,373,788,858"
AMD,"Advanced Micro Devices, Inc. Common Stock",$505.74,28.17,5.899%,"825,607,927,741"
ASML,ASML Holding N.V. New York Registry Shares,"$1,764.85",49.97,2.914%,"680,204,366,075"
XOM,ExxonMobil Holdings Corporation Common Stock,$160.66,1.19,0.746%,"660,619,775,494"
V,Visa Inc.,$368.64,-6.43,-1.714%,"658,669,446,144"
JNJ,Johnson & Johnson Common Stock,$269.12,-6.11,-2.22%,"648,551,910,425"
