Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$220.78,1.34,0.611%,"5,364,954,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$387.35,-1.29,-0.332%,"4,693,132,600,000"
GOOG,Alphabet Inc. Class C Capital Stock,$383.82,-2.95,-0.763%,"4,650,363,120,000"
AAPL,Apple Inc. Common Stock,$294.80,2.12,0.724%,"4,329,832,548,800"
MSFT,Microsoft Corporation Common Stock,$407.77,-4.89,-1.185%,"3,029,092,819,250"
AMZN,"Amazon.com, Inc. Common Stock",$265.82,-3.17,-1.178%,"2,859,454,830,278"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$397.28,-7.26,-1.795%,"2,060,494,668,261"
AVGO,Broadcom Inc. Common Stock,$419.30,-9.13,-2.131%,"1,985,246,369,551"
TSLA,"Tesla, Inc. Common Stock",$433.45,-11.55,-2.596%,"1,627,918,511,885"
META,"Meta Platforms, Inc. Class A Common Stock",$603.00,4.14,0.691%,"1,530,669,252,312"
BRK/A,Berkshire Hathaway Inc.,"$728,500.00","7,500.01",1.04%,"1,071,531,709,000"
BRK/B,Berkshire Hathaway Inc.,$484.96,5.41,1.128%,"1,069,972,762,480"
WMT,Walmart Inc. Common Stock,$130.35,2.76,2.163%,"1,039,202,666,005"
LLY,Eli Lilly and Company Common Stock,$989.87,22.88,2.366%,"932,201,565,557"
MU,"Micron Technology, Inc. Common Stock",$766.58,-28.75,-3.615%,"864,498,368,816"
JPM,JP Morgan Chase & Co. Common Stock,$304.88,4.88,1.627%,"816,929,441,120"
AMD,"Advanced Micro Devices, Inc. Common Stock",$448.29,-10.50,-2.289%,"730,981,960,457"
XOM,Exxon Mobil Corporation Common Stock,$150.63,0.95,0.635%,"624,353,391,012"
V,Visa Inc.,$326.42,2.56,0.79%,"618,392,230,524"
INTC,Intel Corporation Common Stock,$120.61,-8.83,-6.822%,"606,185,860,000"
ASML,ASML Holding N.V. New York Registry Shares,"$1,520.94",-44.87,-2.866%,"586,197,143,405"
AZN,AstraZeneca PLC Ordinary Shares,$184.54,2.68,1.474%,"572,341,903,731"
JNJ,Johnson & Johnson Common Stock,$224.26,2.83,1.278%,"539,842,477,916"
ORCL,Oracle Corporation Common Stock,$186.83,-7.01,-3.616%,"537,331,674,180"
COST,Costco Wholesale Corporation Common Stock,"$1,021.88",22.41,2.242%,"453,359,657,575"
MA,Mastercard Incorporated Common Stock,$499.81,2.00,0.402%,"441,624,046,568"
CAT,"Caterpillar, Inc. Common Stock",$912.14,-14.65,-1.581%,"420,165,456,896"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$99.29,0.57,0.577%,"392,184,880,140"
CVX,Chevron Corporation Common Stock,$185.95,1.21,0.655%,"370,337,598,265"
NFLX,"Netflix, Inc. Common Stock",$87.66,2.21,2.586%,"369,118,598,964"
ABBV,AbbVie Inc. Common Stock,$207.86,5.08,2.505%,"367,245,555,773"
LRCX,Lam Research Corporation Common Stock,$289.24,-6.81,-2.30%,"361,715,156,040"
BAC,Bank of America Corporation Common Stock,$50.78,0.23,0.455%,"360,364,873,258"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$396.39,11.95,3.108%,"359,979,360,302"
KO,Coca-Cola Company (The) Common Stock,$80.03,1.37,1.742%,"344,461,354,746"
AMAT,"Applied Materials, Inc. Common Stock",$431.20,-12.42,-2.80%,"342,204,574,650"
PG,Procter & Gamble Company (The) Common Stock,$143.91,0.55,0.384%,"335,108,678,924"
PLTR,Palantir Technologies Inc. Class A Common Stock,$136.00,-0.89,-0.65%,"326,034,428,872"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$134.78,-2.52,-1.835%,"311,244,686,158"
GE,GE Aerospace Common Stock,$297.45,-3.32,-1.104%,"310,340,660,551"
HD,"Home Depot, Inc. (The) Common Stock",$310.46,-0.94,-0.302%,"309,226,746,703"
