Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$195.21,-3.48,-1.751%,"4,743,603,000,000"
AAPL,Apple Inc. Common Stock,$270.14,0.10,0.037%,"3,991,683,999,420"
MSFT,Microsoft Corporation Common Stock,$507.16,-7.17,-1.394%,"3,769,404,651,510"
GOOG,Alphabet Inc. Class C Capital Stock,$284.75,6.69,2.406%,"3,436,078,250,000"
GOOGL,Alphabet Inc. Class A Common Stock,$284.31,6.77,2.439%,"3,430,768,770,000"
AMZN,"Amazon.com, Inc. Common Stock",$250.20,0.88,0.353%,"2,674,692,045,952"
AVGO,Broadcom Inc. Common Stock,$358.98,7.04,2.00%,"1,695,234,595,598"
META,"Meta Platforms, Inc. Class A Common Stock",$635.95,8.63,1.376%,"1,602,929,525,312"
TSLA,"Tesla, Inc. Common Stock",$462.07,17.81,4.009%,"1,536,761,262,496"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$293.64,-0.41,-0.139%,"1,522,977,557,719"
BRK/A,Berkshire Hathaway Inc.,"$736,150.00","5,032.38",0.688%,"1,082,783,895,100"
BRK/B,Berkshire Hathaway Inc.,$488.77,1.11,0.228%,"1,078,378,808,804"
LLY,Eli Lilly and Company Common Stock,$925.81,18.95,2.09%,"875,245,736,068"
JPM,JP Morgan Chase & Co. Common Stock,$311.68,2.43,0.786%,"857,043,281,215"
WMT,Walmart Inc. Common Stock,$101.47,-0.80,-0.782%,"809,005,203,349"
ORCL,Oracle Corporation Common Stock,$250.31,2.14,0.862%,"711,309,431,340"
V,Visa Inc.,$340.04,-0.26,-0.076%,"659,657,842,316"
MA,Mastercard Incorporated Common Stock,$553.31,0.56,0.101%,"496,870,082,657"
XOM,Exxon Mobil Corporation Common Stock,$113.68,-0.46,-0.403%,"479,407,387,000"
NFLX,"Netflix, Inc. Common Stock","$1,098.46",5.50,0.503%,"466,764,594,027"
JNJ,Johnson & Johnson Common Stock,$186.00,-0.86,-0.46%,"447,951,030,192"
PLTR,Palantir Technologies Inc. Class A Common Stock,$187.90,-2.84,-1.489%,"445,763,140,906"
