Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$186.86,-6.94,-3.581%,"4,540,698,000,000"
AAPL,Apple Inc. Common Stock,$272.95,-0.52,-0.19%,"4,033,205,551,350"
MSFT,Microsoft Corporation Common Stock,$503.29,-7.85,-1.536%,"3,740,641,349,985"
GOOG,Alphabet Inc. Class C Capital Stock,$279.12,-8.31,-2.891%,"3,368,141,040,000"
GOOGL,Alphabet Inc. Class A Common Stock,$278.57,-8.14,-2.839%,"3,361,504,190,000"
AMZN,"Amazon.com, Inc. Common Stock",$237.58,-6.62,-2.711%,"2,539,781,519,893"
AVGO,Broadcom Inc. Common Stock,$339.98,-15.24,-4.29%,"1,605,509,660,180"
META,"Meta Platforms, Inc. Class A Common Stock",$609.89,0.88,0.144%,"1,537,244,576,134"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$282.20,-8.42,-2.897%,"1,463,643,464,066"
TSLA,"Tesla, Inc. Common Stock",$401.99,-28.61,-6.644%,"1,336,946,046,942"
BRK/A,Berkshire Hathaway Inc.,"$770,184.849999999977","13,821.85",1.827%,"1,132,844,871,059"
BRK/B,Berkshire Hathaway Inc.,$513.11,10.71,2.132%,"1,132,080,427,574"
LLY,Eli Lilly and Company Common Stock,"$1,022.87",5.09,0.50%,"967,004,683,523"
JPM,JP Morgan Chase & Co. Common Stock,$309.48,-10.93,-3.411%,"842,485,735,057"
WMT,Walmart Inc. Common Stock,$102.54,-0.90,-0.87%,"817,536,154,050"
ORCL,Oracle Corporation Common Stock,$217.57,-9.42,-4.15%,"618,271,714,980"
V,Visa Inc.,$336.08,-2.80,-0.826%,"612,251,323,249"
XOM,Exxon Mobil Corporation Common Stock,$118.79,0.67,0.567%,"500,957,103,287"
MA,Mastercard Incorporated Common Stock,$555.57,-5.66,-1.008%,"498,899,553,273"
NFLX,"Netflix, Inc. Common Stock","$1,154.23",-3.27,-0.283%,"490,462,736,344"
JNJ,Johnson & Johnson Common Stock,$195.25,0.86,0.442%,"470,228,164,758"
ABBV,AbbVie Inc. Common Stock,$232.29,-0.94,-0.403%,"410,545,776,167"
PLTR,Palantir Technologies Inc. Class A Common Stock,$172.14,-12.03,-6.532%,"410,284,731,223"
COST,Costco Wholesale Corporation Common Stock,$925.08,11.08,1.212%,"409,976,192,134"
AMD,"Advanced Micro Devices, Inc. Common Stock",$247.96,-10.93,-4.222%,"403,689,180,258"
ASML,ASML Holding N.V. New York Registry Shares,"$1,019.86",-17.47,-1.684%,"401,094,334,679"
BAC,Bank of America Corporation Common Stock,$52.87,-1.24,-2.292%,"386,082,939,729"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$159.84,1.93,1.222%,"369,115,229,526"
HD,"Home Depot, Inc. (The) Common Stock",$368.07,-3.06,-0.825%,"366,371,963,161"
PG,Procter & Gamble Company (The) Common Stock,$147.96,-0.05,-0.034%,"345,743,095,910"
GE,GE Aerospace Common Stock,$304.17,-4.85,-1.569%,"322,553,848,344"
CVX,Chevron Corporation Common Stock,$155.58,2.26,1.474%,"313,263,690,061"
SAP,SAP  SE ADS,$251.86,-1.48,-0.584%,"309,411,075,872"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$77.38,3.42,4.624%,"305,898,380,223"
KO,Coca-Cola Company (The) Common Stock,$71.07,-0.44,-0.615%,"305,715,340,614"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$332.52,-6.54,-1.929%,"301,209,457,922"
IBM,International Business Machines Corporation Common Stock,$304.86,-10.12,-3.213%,"284,963,374,901"
AZN,AstraZeneca PLC American Depositary Shares,$88.61,0.93,1.061%,"274,815,398,693"
MU,"Micron Technology, Inc. Common Stock",$236.95,-7.95,-3.246%,"265,968,326,993"
WFC,Wells Fargo & Company Common Stock,$84.70,-1.56,-1.808%,"265,880,460,707"
TM,Toyota Motor Corporation Common Stock,$203.26,-4.03,-1.944%,"265,232,546,505"
MS,Morgan Stanley Common Stock,$165.61,-4.31,-2.536%,"263,205,514,995"
NVS,Novartis AG Common Stock,$131.91,-0.38,-0.287%,"260,534,022,704"
CAT,"Caterpillar, Inc. Common Stock",$553.55,-19.47,-3.398%,"259,050,105,366"
HSBC,"HSBC Holdings, plc. Common Stock",$73.16,-0.33,-0.449%,"253,357,190,641"
AXP,American Express Company Common Stock,$364.73,-8.04,-2.157%,"251,244,863,399"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$805.50,-33.47,-3.989%,"241,592,415,611"
PM,Philip Morris International Inc Common Stock,$155.15,-0.41,-0.264%,"241,512,501,907"
TMUS,"T-Mobile US, Inc. Common Stock",$214.57,1.89,0.889%,"239,997,966,741"
CCZ,Comcast Holdings ZONES,$64.00,0.69,1.09%,"233,209,248,320"
RTX,RTX Corporation Common Stock,$173.96,-3.73,-2.099%,"232,852,736,225"
MRK,"Merck & Company, Inc. Common Stock (new)",$92.93,1.48,1.618%,"230,654,354,270"
CRM,"Salesforce, Inc. Common Stock",$240.43,-5.59,-2.272%,"228,889,360,000"
ABT,Abbott Laboratories Common Stock,$129.26,0.44,0.342%,"224,766,587,869"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$75.92,-0.49,-0.641%,"220,601,975,726"
NVO,Novo Nordisk A/S Common Stock,$49.16,-1.10,-2.189%,"219,499,400,000"
MCD,McDonald's Corporation Common Stock,$307.58,0.64,0.209%,"219,044,434,973"
TMO,Thermo Fisher Scientific Inc Common Stock,$580.13,-7.89,-1.342%,"217,959,516,268"
RY,Royal Bank Of Canada Common Stock,$146.77,-2.20,-1.477%,"206,210,405,490"
ISRG,"Intuitive Surgical, Inc. Common Stock",$565.51,-6.94,-1.212%,"202,722,048,908"
LIN,Linde plc Ordinary Shares,$428.64,-0.32,-0.075%,"200,152,989,355"
PEP,"PepsiCo, Inc. Common Stock",$145.02,0.63,0.436%,"198,291,664,492"
DIS,Walt Disney Company (The) Common Stock,$107.61,-9.04,-7.75%,"193,475,659,769"
LRCX,Lam Research Corporation Common Stock,$153.32,-8.10,-5.018%,"192,574,519,600"
PDD,PDD Holdings Inc. American Depositary Shares,$134.47,-1.57,-1.154%,"190,899,859,745"
UBER,"Uber Technologies, Inc. Common Stock",$91.78,-1.79,-1.913%,"190,703,272,368"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$146.34,-10.25,-6.546%,"190,429,469,150"
APP,Applovin Corporation Class A Common Stock,$556.15,-28.71,-4.909%,"187,953,673,250"
QCOM,QUALCOMM Incorporated Common Stock,$174.50,-2.17,-1.228%,"186,889,500,000"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$15.44,-0.10,-0.644%,"186,325,456,605"
HDB,HDFC Bank Limited Common Stock,$36.27,-0.21,-0.576%,"185,630,821,409"
T,AT&T Inc.,$25.75,0.10,0.39%,"182,553,324,496"
INTU,Intuit Inc. Common Stock,$650.11,-9.19,-1.394%,"181,253,918,550"
AMGN,Amgen Inc. Common Stock,$336.00,-0.28,-0.083%,"180,929,505,456"
C,"Citigroup, Inc. Common Stock",$100.67,-2.20,-2.139%,"180,125,424,227"
AMAT,"Applied Materials, Inc. Common Stock",$223.23,-7.50,-3.251%,"177,834,488,979"
SONY,Sony Group Corporation American Depositary Shares ,$29.44,-0.82,-2.71%,"177,376,067,565"
NOW,"ServiceNow, Inc. Common Stock",$849.69,-14.35,-1.661%,"176,735,520,000"
NEE,"NextEra Energy, Inc. Common Stock",$83.99,-1.90,-2.212%,"174,918,387,359"
VZ,Verizon Communications Inc. Common Stock,$41.11,0.31,0.76%,"173,337,251,853"
SCHW,Charles Schwab Corporation (The) Common Stock,$95.36,-2.35,-2.405%,"169,448,690,387"
BLK,"BlackRock, Inc. Common Stock","$1,069.65",-24.28,-2.22%,"165,957,169,812"
APH,Amphenol Corporation Common Stock,$135.25,-6.67,-4.70%,"165,553,507,457"
ANET,"Arista Networks, Inc. Common Stock",$130.30,-4.68,-3.467%,"164,084,844,621"
BKNG,Booking Holdings Inc. Common Stock,"$5,075.61",-99.97,-1.932%,"163,606,273,752"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$247.57,1.04,0.422%,"162,943,579,652"
TJX,"TJX Companies, Inc. (The) Common Stock",$146.40,-1.23,-0.833%,"162,934,233,000"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$10.93,-0.10,-0.907%,"161,932,731,744"
TBB,AT&T Inc. 5.350% Global Notes due 2066,$22.48,-0.21,-0.926%,"160,740,665,590"
DHR,Danaher Corporation Common Stock,$221.20,1.80,0.82%,"158,390,611,708"
INTC,Intel Corporation Common Stock,$35.91,-1.98,-5.226%,"157,178,070,000"
BSX,Boston Scientific Corporation Common Stock,$104.98,0.85,0.816%,"155,626,765,254"
GILD,"Gilead Sciences, Inc. Common Stock",$125.20,1.80,1.459%,"155,333,088,800"
KLAC,KLA Corporation Common Stock,"$1,161.72",-37.25,-3.107%,"152,641,106,901"
SPGI,S&P Global Inc. Common Stock,$502.96,7.12,1.436%,"152,296,288,000"
GEV,GE Vernova Inc. Common Stock,$558.17,-17.23,-2.994%,"151,947,236,590"
ARM,Arm Holdings plc American Depositary Shares,$140.31,-8.44,-5.674%,"148,625,331,700"
UL,Unilever PLC Common Stock,$60.33,-0.66,-1.082%,"147,922,237,494"
BA,Boeing Company (The) Common Stock,$194.58,-0.92,-0.471%,"147,899,376,163"
TXN,Texas Instruments Incorporated Common Stock,$162.23,-0.86,-0.527%,"147,405,912,535"
PFE,"Pfizer, Inc. Common Stock",$25.79,-0.08,-0.309%,"146,634,397,766"
SYK,Stryker Corporation Common Stock,$373.42,6.08,1.655%,"142,804,638,636"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$55.95,-0.37,-0.657%,"142,082,596,099"
TTE,TotalEnergies SE,$64.91,0.96,1.501%,"141,624,649,698"
ADBE,Adobe Inc. Common Stock,$333.60,-3.45,-1.024%,"139,644,960,000"
TD,Toronto Dominion Bank (The) Common Stock,$81.35,-1.39,-1.68%,"138,881,045,400"
COF,Capital One Financial Corporation Common Stock,$216.80,-5.33,-2.399%,"137,827,045,564"
ETN,"Eaton Corporation, PLC Ordinary Shares",$354.07,-15.33,-4.15%,"137,520,788,000"
PANW,"Palo Alto Networks, Inc. Common Stock",$204.77,-5.27,-2.509%,"136,970,653,000"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$529.78,-16.08,-2.946%,"132,951,014,069"
SPOT,Spotify Technology S.A. Ordinary Shares,$645.33,-2.54,-0.392%,"131,546,912,460"
UNP,Union Pacific Corporation Common Stock,$221.48,-2.07,-0.926%,"131,373,273,696"
WELL,Welltower Inc. Common Stock,$191.07,-0.57,-0.297%,"131,136,699,176"
PGR,Progressive Corporation (The) Common Stock,$223.15,1.28,0.577%,"130,854,543,213"
LOW,"Lowe's Companies, Inc. Common Stock",$231.47,-3.23,-1.376%,"129,814,140,760"
SNY,Sanofi ADS,$52.34,0.42,0.809%,"128,521,526,762"
DE,Deere & Company Common Stock,$473.41,-7.37,-1.533%,"127,976,637,467"
HON,Honeywell International Inc. Common Stock,$199.87,-1.72,-0.853%,"126,894,906,263"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$21.61,-0.22,-1.008%,"124,544,598,899"
UBS,UBS Group AG Registered Ordinary Shares,$39.07,-0.53,-1.338%,"124,040,422,557"
MDT,Medtronic plc. Ordinary Shares,$96.14,0.33,0.344%,"123,317,420,695"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$54.48,-1.34,-2.401%,"119,278,802,596"
ADI,"Analog Devices, Inc. Common Stock",$237.53,-3.91,-1.619%,"116,854,174,713"
CB,Chubb Limited  Common Stock,$296.22,1.29,0.437%,"116,577,635,453"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$64.58,0.03,0.046%,"116,063,080,615"
PLD,"Prologis, Inc. Common Stock",$124.00,-0.84,-0.673%,"115,179,508,000"
COP,ConocoPhillips Common Stock,$89.42,0.35,0.393%,"110,497,925,915"
IBN,ICICI Bank Limited Common Stock,$30.97,0.43,1.408%,"110,493,829,343"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$434.52,0.33,0.076%,"110,245,906,446"
HOOD,"Robinhood Markets, Inc. Class A Common Stock",$121.53,-11.45,-8.61%,"109,278,423,250"
HCA,"HCA Healthcare, Inc. Common Stock",$473.28,-0.33,-0.07%,"107,999,608,992"
KKR,KKR & Co. Inc. Common Stock,$120.75,-2.32,-1.885%,"107,630,924,258"
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$16.57,-0.12,-0.719%,"107,275,435,393"
SCCO,Southern Copper Corporation Common Stock,$132.03,-4.75,-3.473%,"107,233,687,315"
LMT,Lockheed Martin Corporation Common Stock,$455.85,-1.19,-0.26%,"106,425,045,778"
PH,Parker-Hannifin Corporation Common Stock,$841.94,-12.38,-1.449%,"106,241,629,356"
ENB,Enbridge Inc Common Stock,$48.26,-0.45,-0.924%,"105,255,060,000"
CEG,Constellation Energy Corporation Common Stock ,$335.74,-18.28,-5.164%,"104,848,271,459"
MCK,McKesson Corporation Common Stock,$846.24,5.49,0.653%,"104,448,568,296"
BX,Blackstone Inc. Common Stock,$139.53,-4.83,-3.346%,"103,036,050,031"
ADP,"Automatic Data Processing, Inc. Common Stock",$254.61,0.06,0.024%,"102,976,694,710"
MELI,"MercadoLibre, Inc. Common Stock","$2,031.05",-72.86,-3.463%,"102,968,511,501"
CME,CME Group Inc. Class A Common Stock,$283.54,3.96,1.416%,"102,243,573,290"
CMCSA,Comcast Corporation Class A Common Stock,$27.97,0.08,0.287%,"101,919,729,305"
RACE,Ferrari N.V. Common Shares,$417.81,-1.71,-0.408%,"101,267,619,603"
CVS,CVS Health Corporation Common Stock,$79.24,-1.02,-1.271%,"100,589,830,111"
SO,Southern Company (The) Common Stock,$91.17,-0.72,-0.784%,"100,387,728,536"
NVAWW,Nova Minerals Limited Warrant,$49.49,UNCH,--,"99,510,017,362"
BMY,Bristol-Myers Squibb Company Common Stock,$48.63,-0.45,-0.917%,"98,998,669,703"
SBUX,Starbucks Corporation Common Stock,$86.44,-0.82,-0.94%,"98,256,348,000"
BN,Brookfield Corporation Class A Limited Voting Shares,$43.78,-3.11,-6.633%,"98,220,440,069"
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$48.14,0.07,0.146%,"97,946,806,196"
NEM,Newmont Corporation,$89.72,-3.35,-3.599%,"97,908,114,655"
NKE,"Nike, Inc. Common Stock",$66.03,1.83,2.85%,"97,605,635,999"
MO,"Altria Group, Inc.",$57.81,-0.24,-0.413%,"97,044,002,421"
DUK,Duke Energy Corporation (Holding Company) Common Stock,$123.59,-0.31,-0.25%,"96,111,150,674"
BP,BP p.l.c. Common Stock,$36.49,-0.37,-1.004%,"95,892,644,988"
GD,General Dynamics Corporation Common Stock,$344.06,-5.39,-1.542%,"92,937,639,275"
TT,Trane Technologies plc,$414.85,-6.90,-1.636%,"91,988,425,809"
MMM,3M Company Common Stock,$170.62,-0.46,-0.269%,"90,877,279,755"
MMC,"Marsh & McLennan Companies, Inc. Common Stock",$183.85,1.06,0.58%,"90,069,895,220"
DELL,Dell Technologies Inc. Class C Common Stock ,$133.94,-6.77,-4.811%,"90,057,659,577"
NTES,"NetEase, Inc. American Depositary Shares",$141.80,-0.57,-0.40%,"89,787,516,671"
RIO,Rio Tinto Plc Common Stock,$71.04,-0.07,-0.098%,"89,095,263,268"
BMO,Bank Of Montreal Common Stock,$124.14,-2.12,-1.679%,"88,922,322,428"
MCO,Moody's Corporation Common Stock,$490.77,-0.07,-0.014%,"87,553,368,000"
ICE,Intercontinental Exchange Inc. Common Stock,$152.70,-1.35,-0.876%,"87,066,269,930"
SNOW,Snowflake Inc. Common Stock,$256.92,-12.90,-4.781%,"87,044,496,000"
CDNS,"Cadence Design Systems, Inc. Common Stock",$315.99,0.45,0.143%,"86,012,793,990"
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$6.79,-0.01,-0.147%,"85,311,143,089"
AEM,Agnico Eagle Mines Limited Common Stock,$168.87,-4.23,-2.444%,"84,893,384,105"
AMT,American Tower Corporation (REIT) Common Stock,$181.13,-2.22,-1.211%,"84,795,397,824"
DASH,"DoorDash, Inc. Class A Common Stock",$195.21,-1.30,-0.662%,"84,135,220,894"
SHW,Sherwin-Williams Company (The) Common Stock,$338.84,-5.88,-1.706%,"83,996,237,945"
PBR,Petroleo Brasileiro S.A. Petrobras ADS,$13.03,0.05,0.385%,"83,970,093,944"
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,$51.87,-2.81,-5.139%,"83,549,080,584"
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$67.27,-0.56,-0.826%,"83,521,086,600"
ORLY,"O'Reilly Automotive, Inc. Common Stock",$98.35,0.26,0.265%,"83,017,637,448"
SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$140.04,-3.31,-2.309%,"82,906,471,557"
ING,"ING Group, N.V. Common Stock",$26.20,-0.31,-1.169%,"82,461,648,733"
WM,"Waste Management, Inc. Common Stock",$204.51,0.71,0.348%,"82,390,340,600"
UPS,"United Parcel Service, Inc. Common Stock",$95.97,-0.21,-0.218%,"81,419,565,936"
HWM,Howmet Aerospace Inc. Common Stock,$201.30,-3.77,-1.838%,"80,935,133,341"
CM,Canadian Imperial Bank of Commerce Common Stock,$86.15,-0.88,-1.011%,"80,072,177,030"
NOC,Northrop Grumman Corporation Common Stock,$558.00,-0.57,-0.102%,"79,896,103,956"
JCI,Johnson Controls International plc Ordinary Share,$120.20,-2.46,-2.006%,"78,657,129,888"
BCS,Barclays PLC Common Stock,$22.25,-0.26,-1.155%,"78,058,768,624"
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$78.09,0.06,0.077%,"77,487,924,460"
BK,The Bank of New York Mellon Corporation Common Stock,$111.04,-1.60,-1.42%,"77,433,646,729"
EQIX,"Equinix, Inc. Common Stock REIT",$786.54,-26.70,-3.283%,"77,227,277,790"
MAR,Marriott International Class A Common Stock,$287.43,-4.24,-1.454%,"77,132,356,437"
COIN,"Coinbase Global, Inc. Class A Common Stock",$283.14,-20.86,-6.862%,"76,346,949,496"
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$41.42,0.06,0.145%,"75,859,468,927"
CTAS,Cintas Corporation Common Stock,$187.91,2.63,1.419%,"75,514,767,463"
