Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$193.16,-5.89,-2.959%,"4,693,788,000,000"
AAPL,Apple Inc. Common Stock,$275.25,5.82,2.16%,"4,067,191,163,250"
MSFT,Microsoft Corporation Common Stock,$508.68,2.68,0.53%,"3,780,701,865,545"
GOOG,Alphabet Inc. Class C Capital Stock,$291.74,1.15,0.396%,"3,520,426,580,000"
GOOGL,Alphabet Inc. Class A Common Stock,$291.31,1.21,0.417%,"3,515,237,770,000"
AMZN,"Amazon.com, Inc. Common Stock",$249.10,0.70,0.282%,"2,662,932,808,340"
AVGO,Broadcom Inc. Common Stock,$351.96,-6.43,-1.794%,"1,662,083,593,143"
META,"Meta Platforms, Inc. Class A Common Stock",$627.08,-4.68,-0.741%,"1,580,572,445,527"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$291.17,-4.10,-1.389%,"1,510,166,787,498"
TSLA,"Tesla, Inc. Common Stock",$439.62,-5.61,-1.26%,"1,462,096,622,197"
BRK/A,Berkshire Hathaway Inc.,"$745,751.369999999995","1,251.27",0.168%,"1,096,906,300,597"
BRK/B,Berkshire Hathaway Inc.,$497.07,0.09,0.018%,"1,096,691,193,183"
LLY,Eli Lilly and Company Common Stock,$988.62,21.98,2.274%,"934,625,289,845"
JPM,JP Morgan Chase & Co. Common Stock,$315.62,-1.27,-0.401%,"859,200,425,548"
WMT,Walmart Inc. Common Stock,$103.44,1.02,0.996%,"824,711,720,060"
ORCL,Oracle Corporation Common Stock,$236.15,-4.68,-1.943%,"671,070,761,100"
V,Visa Inc.,$338.92,4.07,1.215%,"617,425,072,826"
XOM,Exxon Mobil Corporation Common Stock,$119.78,1.56,1.32%,"505,132,097,245"
MA,Mastercard Incorporated Common Stock,$558.35,5.39,0.975%,"501,395,981,731"
NFLX,"Netflix, Inc. Common Stock","$1,136.44",16.37,1.462%,"482,903,296,648"
JNJ,Johnson & Johnson Common Stock,$193.83,5.42,2.877%,"466,808,323,560"
PLTR,Palantir Technologies Inc. Class A Common Stock,$190.96,-2.65,-1.369%,"455,141,003,104"
COST,Costco Wholesale Corporation Common Stock,$913.86,-1.70,-0.186%,"405,003,721,779"
