Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$196.50,-1.98,-0.998%,"4,774,950,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$388.43,5.18,1.352%,"4,706,217,880,000"
GOOG,Alphabet Inc. Class C Capital Stock,$384.27,4.63,1.22%,"4,655,815,320,000"
AAPL,Apple Inc. Common Stock,$284.18,7.35,2.655%,"4,173,852,828,080"
MSFT,Microsoft Corporation Common Stock,$411.38,-2.24,-0.542%,"3,055,909,468,532"
AMZN,"Amazon.com, Inc. Common Stock",$273.55,1.50,0.551%,"2,942,607,286,218"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$394.41,-7.20,-1.793%,"2,045,609,399,187"
AVGO,Broadcom Inc. Common Stock,$427.36,10.86,2.607%,"2,023,407,795,114"
META,"Meta Platforms, Inc. Class A Common Stock",$604.96,-5.45,-0.893%,"1,535,644,561,988"
TSLA,"Tesla, Inc. Common Stock",$389.37,-3.14,-0.80%,"1,462,366,203,651"
WMT,Walmart Inc. Common Stock,$130.79,0.46,0.353%,"1,042,710,523,106"
BRK/A,Berkshire Hathaway Inc.,"$699,964.540000000037","-2,825.77",-0.402%,"1,029,559,642,808"
BRK/B,Berkshire Hathaway Inc.,$465.52,-3.00,-0.64%,"1,027,082,069,428"
LLY,Eli Lilly and Company Common Stock,$988.87,20.94,2.163%,"931,259,824,151"
JPM,JP Morgan Chase & Co. Common Stock,$309.40,1.75,0.569%,"829,040,832,729"
MU,"Micron Technology, Inc. Common Stock",$640.20,63.75,11.059%,"721,975,339,450"
XOM,Exxon Mobil Corporation Common Stock,$154.88,1.19,0.774%,"645,348,323,601"
V,Visa Inc.,$322.03,-4.82,-1.475%,"610,075,516,193"
AMD,"Advanced Micro Devices, Inc. Common Stock",$355.26,13.72,4.017%,"579,194,154,628"
AZN,AstraZeneca PLC Ordinary Shares,$181.24,-2.22,-1.21%,"562,107,112,995"
ASML,ASML Holding N.V. New York Registry Shares,"$1,442.92",56.71,4.091%,"556,126,857,182"
INTC,Intel Corporation Common Stock,$108.15,12.37,12.915%,"543,561,900,000"
JNJ,Johnson & Johnson Common Stock,$225.55,1.35,0.602%,"542,947,787,809"
ORCL,Oracle Corporation Common Stock,$185.35,5.06,2.807%,"533,075,126,100"
COST,Costco Wholesale Corporation Common Stock,"$1,016.42",3.63,0.358%,"450,937,314,707"
MA,Mastercard Incorporated Common Stock,$497.08,-7.66,-1.518%,"439,211,862,643"
CAT,"Caterpillar, Inc. Common Stock",$904.59,29.81,3.408%,"420,894,267,654"
CVX,Chevron Corporation Common Stock,$192.64,0.36,0.187%,"383,793,890,278"
BAC,Bank of America Corporation Common Stock,$53.12,0.93,1.782%,"376,970,895,381"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$94.30,1.67,1.803%,"372,474,913,861"
NFLX,"Netflix, Inc. Common Stock",$87.89,-3.13,-3.439%,"370,087,082,626"
ABBV,AbbVie Inc. Common Stock,$206.11,-2.05,-0.985%,"364,559,613,523"
LRCX,Lam Research Corporation Common Stock,$275.80,17.23,6.664%,"344,907,481,800"
KO,Coca-Cola Company (The) Common Stock,$78.48,0.29,0.371%,"337,789,917,787"
PG,Procter & Gamble Company (The) Common Stock,$144.90,1.48,1.032%,"337,413,991,912"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$363.87,-6.88,-1.856%,"330,471,529,807"
AMAT,"Applied Materials, Inc. Common Stock",$410.82,19.44,4.967%,"326,030,805,561"
PLTR,Palantir Technologies Inc. Class A Common Stock,$135.91,-10.12,-6.93%,"325,797,622,684"
HD,"Home Depot, Inc. (The) Common Stock",$315.42,3.00,0.96%,"314,167,043,886"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$132.26,-1.01,-0.758%,"305,425,301,909"
HSBC,"HSBC Holdings, plc. Common Stock",$87.40,-2.73,-3.029%,"300,223,192,753"
MS,Morgan Stanley Common Stock,$189.25,1.24,0.66%,"299,277,454,550"
GE,GE Aerospace Common Stock,$286.68,6.16,2.196%,"299,103,918,530"
GEV,GE Vernova Inc. Common Stock,"$1,095.21",21.26,1.98%,"294,304,825,724"
MRK,"Merck & Company, Inc. Common Stock (new)",$113.15,0.04,0.035%,"279,625,872,857"
NVS,Novartis AG Common Stock,$145.50,0.88,0.608%,"277,636,069,295"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$918.89,15.62,1.729%,"271,079,369,083"
PM,Philip Morris International Inc Common Stock,$169.46,0.27,0.16%,"264,113,382,043"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$89.71,0.45,0.504%,"260,671,802,455"
TXN,Texas Instruments Incorporated Common Stock,$281.00,1.53,0.547%,"255,736,074,271"
RY,Royal Bank Of Canada Common Stock,$178.48,0.55,0.309%,"249,251,739,165"
TM,Toyota Motor Corporation Common Stock,$189.99,1.69,0.898%,"247,916,616,700"
WFC,Wells Fargo & Company Common Stock,$79.89,0.71,0.897%,"244,478,538,676"
RTX,RTX Corporation Common Stock,$172.87,-0.03,-0.017%,"232,801,164,198"
LIN,Linde plc Ordinary Shares,$500.29,6.74,1.366%,"231,433,923,366"
CCZ,Comcast Holdings ZONES,$64.51,UNCH,--,"230,547,223,030"
KLAC,KLA Corporation Common Stock,"$1,732.90",19.58,1.143%,"226,364,431,141"
C,"Citigroup, Inc. Common Stock",$128.01,2.38,1.894%,"223,703,491,598"
ARM,Arm Holdings plc American Depositary Shares,$208.84,5.58,2.745%,"221,216,693,551"
AXP,American Express Company Common Stock,$315.95,-3.26,-1.021%,"215,581,039,666"
IBM,International Business Machines Corporation Common Stock,$229.03,-0.45,-0.196%,"215,261,925,678"
ANET,"Arista Networks, Inc. Common Stock",$170.22,-2.40,-1.39%,"214,335,821,736"
PEP,"PepsiCo, Inc. Common Stock",$155.04,0.45,0.291%,"211,903,759,558"
SAP,SAP  SE ADS,$172.39,0.97,0.566%,"211,781,844,554"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$17.76,0.19,1.081%,"210,770,545,939"
