Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$183.91,1.83,1.005%,"4,469,013,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$318.49,1.17,0.369%,"3,852,773,530,000"
GOOG,Alphabet Inc. Class C Capital Stock,$316.37,1.63,0.518%,"3,827,127,890,000"
AAPL,Apple Inc. Common Stock,$260.49,1.59,0.614%,"3,824,290,158,600"
MSFT,Microsoft Corporation Common Stock,$373.07,-1.26,-0.337%,"2,770,279,439,383"
AMZN,"Amazon.com, Inc. Common Stock",$233.65,12.40,5.605%,"2,508,214,261,276"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$365.49,-0.41,-0.112%,"1,895,630,934,378"
AVGO,Broadcom Inc. Common Stock,$354.91,4.28,1.221%,"1,680,381,085,183"
META,"Meta Platforms, Inc. Class A Common Stock",$628.39,15.97,2.608%,"1,589,547,358,023"
TSLA,"Tesla, Inc. Common Stock",$345.62,2.37,0.69%,"1,296,915,542,310"
BRK/A,Berkshire Hathaway Inc.,"$727,880.589999999967","7,368.59",1.023%,"1,070,620,634,936"
BRK/B,Berkshire Hathaway Inc.,$485.20,5.45,1.136%,"1,070,502,277,209"
WMT,Walmart Inc. Common Stock,$129.13,1.87,1.469%,"1,029,476,334,954"
LLY,Eli Lilly and Company Common Stock,$955.19,1.89,0.198%,"902,481,546,942"
JPM,JP Morgan Chase & Co. Common Stock,$310.33,2.36,0.766%,"832,373,217,468"
XOM,Exxon Mobil Corporation Common Stock,$155.04,-1.18,-0.755%,"646,015,005,753"
AZN,AstraZeneca PLC Ordinary Shares,$204.99,0.72,0.352%,"635,766,591,773"
V,Visa Inc.,$308.29,-0.67,-0.217%,"590,686,508,947"
JNJ,Johnson & Johnson Common Stock,$241.31,0.01,0.004%,"581,222,455,877"
ASML,ASML Holding N.V. New York Registry Shares,"$1,448.64",27.59,1.942%,"558,331,446,226"
MU,"Micron Technology, Inc. Common Stock",$421.51,14.78,3.634%,"475,351,179,837"
COST,Costco Wholesale Corporation Common Stock,"$1,032.03",1.76,0.171%,"457,862,730,856"
MA,Mastercard Incorporated Common Stock,$503.57,-3.55,-0.70%,"449,089,925,450"
NFLX,"Netflix, Inc. Common Stock",$102.05,2.66,2.676%,"430,871,647,408"
ORCL,Oracle Corporation Common Stock,$137.86,-5.80,-4.037%,"396,491,701,560"
AMD,"Advanced Micro Devices, Inc. Common Stock",$236.64,4.82,2.079%,"385,803,368,663"
CVX,Chevron Corporation Common Stock,$190.36,-2.53,-1.312%,"379,251,479,202"
BAC,Bank of America Corporation Common Stock,$52.71,0.83,1.60%,"376,650,330,931"
ABBV,AbbVie Inc. Common Stock,$212.40,0.81,0.383%,"375,685,128,875"
CAT,"Caterpillar, Inc. Common Stock",$787.07,15.49,2.008%,"366,213,700,397"
PG,Procter & Gamble Company (The) Common Stock,$146.66,1.76,1.215%,"340,837,940,462"
HD,"Home Depot, Inc. (The) Common Stock",$339.58,3.42,1.017%,"338,231,072,104"
KO,Coca-Cola Company (The) Common Stock,$78.18,0.89,1.152%,"336,498,671,924"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$83.17,-0.53,-0.633%,"328,512,604,303"
GE,GE Aerospace Common Stock,$313.02,4.96,1.61%,"327,052,562,018"
LRCX,Lam Research Corporation Common Stock,$258.76,12.27,4.978%,"323,131,983,960"
AMAT,"Applied Materials, Inc. Common Stock",$397.81,12.09,3.134%,"315,705,941,191"
PLTR,Palantir Technologies Inc. Class A Common Stock,$130.49,-10.27,-7.296%,"311,958,621,078"
HSBC,"HSBC Holdings, plc. Common Stock",$90.27,UNCH,--,"310,081,780,432"
INTC,Intel Corporation Common Stock,$61.72,2.77,4.699%,"309,422,441,034"
MRK,"Merck & Company, Inc. Common Stock (new)",$122.68,-0.50,-0.406%,"303,313,050,928"
NVS,Novartis AG Common Stock,$155.06,0.64,0.414%,"295,877,999,346"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$127.68,2.36,1.883%,"294,848,801,964"
MS,Morgan Stanley Common Stock,$178.16,2.14,1.216%,"281,739,874,782"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$306.91,0.93,0.304%,"278,574,791,747"
TM,Toyota Motor Corporation Common Stock,$211.14,-3.86,-1.795%,"275,515,103,164"
RTX,RTX Corporation Common Stock,$203.19,-0.29,-0.143%,"273,488,501,762"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$903.72,-2.03,-0.224%,"266,591,925,264"
WFC,Wells Fargo & Company Common Stock,$86.02,1.36,1.606%,"265,403,621,076"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$91.09,-0.92,-1.00%,"264,681,690,844"
GEV,GE Vernova Inc. Common Stock,$968.02,31.95,3.413%,"260,258,183,564"
PM,Philip Morris International Inc Common Stock,$161.25,0.31,0.193%,"251,014,582,114"
RY,Royal Bank Of Canada Common Stock,$170.79,1.32,0.779%,"238,512,463,760"
CCZ,Comcast Holdings ZONES,$65.00,UNCH,--,"233,859,989,610"
