Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$180.26,2.44,1.372%,"4,380,318,000,000"
AAPL,Apple Inc. Common Stock,$277.55,0.58,0.209%,"4,101,176,775,150"
GOOG,Alphabet Inc. Class C Capital Stock,$320.28,-3.36,-1.038%,"3,864,818,760,000"
GOOGL,Alphabet Inc. Class A Common Stock,$319.95,-3.49,-1.079%,"3,860,836,650,000"
MSFT,Microsoft Corporation Common Stock,$485.50,8.51,1.784%,"3,608,419,351,503"
AMZN,"Amazon.com, Inc. Common Stock",$229.16,-0.51,-0.222%,"2,449,769,901,081"
AVGO,Broadcom Inc. Common Stock,$397.57,12.54,3.257%,"1,877,470,661,797"
META,"Meta Platforms, Inc. Class A Common Stock",$633.61,-2.61,-0.41%,"1,597,031,490,735"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$289.96,5.28,1.855%,"1,503,891,066,054"
TSLA,"Tesla, Inc. Common Stock",$426.58,7.18,1.712%,"1,418,727,940,259"
BRK/A,Berkshire Hathaway Inc.,"$767,865.650000000023","4,865.65",0.638%,"1,129,433,620,078"
BRK/B,Berkshire Hathaway Inc.,$511.23,2.66,0.523%,"1,127,932,562,196"
LLY,Eli Lilly and Company Common Stock,"$1,104.34",-5.60,-0.505%,"1,044,025,098,205"
WMT,Walmart Inc. Common Stock,$109.10,2.10,1.963%,"869,838,057,410"
JPM,JP Morgan Chase & Co. Common Stock,$307.64,4.64,1.531%,"837,476,772,434"
V,Visa Inc.,$333.79,-0.74,-0.221%,"642,787,786,803"
ORCL,Oracle Corporation Common Stock,$204.96,7.93,4.025%,"582,437,701,440"
JNJ,Johnson & Johnson Common Stock,$207.56,0.89,0.431%,"499,874,816,272"
MA,Mastercard Incorporated Common Stock,$544.93,-1.54,-0.282%,"489,344,877,451"
XOM,Exxon Mobil Corporation Common Stock,$114.77,0.26,0.227%,"484,004,097,519"
NFLX,"Netflix, Inc. Common Stock",$106.14,1.74,1.667%,"449,749,499,308"
ASML,ASML Holding N.V. New York Registry Shares,"$1,040.97",37.75,3.763%,"409,396,554,008"
COST,Costco Wholesale Corporation Common Stock,$908.26,13.93,1.558%,"402,521,918,394"
ABBV,AbbVie Inc. Common Stock,$227.66,-4.14,-1.786%,"402,362,785,321"
PLTR,Palantir Technologies Inc. Class A Common Stock,$165.77,2.22,1.357%,"395,102,241,750"
BAC,Bank of America Corporation Common Stock,$52.99,0.51,0.972%,"386,959,239,195"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$157.60,0.59,0.376%,"363,942,443,526"
HD,"Home Depot, Inc. (The) Common Stock",$355.47,4.40,1.253%,"353,830,091,409"
AMD,"Advanced Micro Devices, Inc. Common Stock",$214.24,8.11,3.934%,"348,791,619,530"
PG,Procter & Gamble Company (The) Common Stock,$148.25,-0.24,-0.162%,"346,420,748,639"
GE,GE Aerospace Common Stock,$296.62,3.18,1.084%,"314,547,530,972"
KO,Coca-Cola Company (The) Common Stock,$72.88,0.27,0.372%,"313,501,252,624"
CVX,Chevron Corporation Common Stock,$149.51,0.98,0.66%,"301,041,613,967"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$76.07,-0.25,-0.328%,"300,559,763,407"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$329.71,3.43,1.051%,"298,664,051,400"
SAP,SAP  SE ADS,$240.02,2.16,0.908%,"294,865,585,765"
AZN,AstraZeneca PLC American Depositary Shares,$93.32,0.08,0.086%,"289,423,011,015"
IBM,International Business Machines Corporation Common Stock,$303.21,-1.27,-0.417%,"283,421,061,811"
WFC,Wells Fargo & Company Common Stock,$85.56,0.46,0.541%,"268,580,073,414"
CAT,"Caterpillar, Inc. Common Stock",$573.73,7.12,1.257%,"268,493,933,613"
MS,Morgan Stanley Common Stock,$167.94,2.51,1.517%,"266,908,605,689"
TM,Toyota Motor Corporation Common Stock,$202.44,2.18,1.089%,"264,162,534,264"
MRK,"Merck & Company, Inc. Common Stock (new)",$104.63,-1.03,-0.975%,"259,694,017,942"
MU,"Micron Technology, Inc. Common Stock",$230.26,5.73,2.552%,"258,459,029,219"
NVS,Novartis AG Common Stock,$130.44,0.18,0.138%,"257,630,641,509"
AXP,American Express Company Common Stock,$363.97,1.33,0.367%,"250,721,336,142"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$816.01,13.69,1.706%,"244,744,664,261"
HSBC,"HSBC Holdings, plc. Common Stock",$70.58,1.07,1.539%,"244,422,505,678"
PM,Philip Morris International Inc Common Stock,$156.49,-0.92,-0.584%,"243,598,397,831"
RTX,RTX Corporation Common Stock,$173.19,1.04,0.604%,"231,822,059,018"
TMUS,"T-Mobile US, Inc. Common Stock",$206.73,0.85,0.413%,"231,228,874,793"
CCZ,Comcast Holdings ZONES,$62.75,UNCH,--,"228,654,380,189"
ABT,Abbott Laboratories Common Stock,$128.54,0.49,0.383%,"223,514,600,067"
TMO,Thermo Fisher Scientific Inc Common Stock,$593.25,-4.53,-0.758%,"222,888,806,002"
MCD,McDonald's Corporation Common Stock,$312.40,1.95,0.628%,"222,477,018,940"
NVO,Novo Nordisk A/S Common Stock,$48.71,1.65,3.506%,"217,490,150,000"
CRM,"Salesforce, Inc. Common Stock",$228.15,-5.97,-2.55%,"217,198,800,000"
RY,Royal Bank Of Canada Common Stock,$153.19,0.97,0.637%,"215,230,442,304"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$73.41,0.61,0.838%,"213,308,628,004"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$159.34,1.97,1.252%,"207,346,122,826"
ISRG,"Intuitive Surgical, Inc. Common Stock",$574.23,-4.64,-0.802%,"205,847,964,040"
PEP,"PepsiCo, Inc. Common Stock",$147.98,1.87,1.28%,"202,338,991,254"
AMAT,"Applied Materials, Inc. Common Stock",$249.97,7.51,3.097%,"199,136,707,477"
APP,Applovin Corporation Class A Common Stock,$586.37,30.34,5.457%,"198,166,673,350"
LRCX,Lam Research Corporation Common Stock,$155.14,3.21,2.113%,"194,860,494,200"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$15.81,0.32,2.066%,"190,790,509,645"
LIN,Linde plc Ordinary Shares,$407.90,0.05,0.012%,"190,468,468,547"
HDB,HDFC Bank Limited Common Stock,$36.63,0.45,1.244%,"187,473,310,951"
AMGN,Amgen Inc. Common Stock,$344.57,3.46,1.014%,"185,544,284,806"
DIS,Walt Disney Company (The) Common Stock,$103.43,0.12,0.116%,"184,652,425,342"
C,"Citigroup, Inc. Common Stock",$102.50,1.33,1.315%,"183,399,781,298"
T,AT&T Inc.,$25.82,-0.04,-0.155%,"183,049,585,961"
NEE,"NextEra Energy, Inc. Common Stock",$85.54,0.71,0.837%,"178,146,432,369"
UBER,"Uber Technologies, Inc. Common Stock",$85.66,1.97,2.354%,"177,986,950,436"
QCOM,QUALCOMM Incorporated Common Stock,$165.14,1.84,1.127%,"176,864,940,000"
SONY,Sony Group Corporation American Depositary Shares ,$29.08,0.48,1.678%,"175,207,066,739"
INTU,Intuit Inc. Common Stock,$629.13,-18.94,-2.923%,"175,149,792,000"
VZ,Verizon Communications Inc. Common Stock,$40.88,0.29,0.714%,"172,367,473,990"
TJX,"TJX Companies, Inc. (The) Common Stock",$153.13,0.74,0.486%,"170,424,310,788"
APH,Amphenol Corporation Common Stock,$138.72,0.91,0.66%,"169,800,980,070"
NOW,"ServiceNow, Inc. Common Stock",$802.72,-22.59,-2.737%,"166,965,760,000"
PDD,PDD Holdings Inc. American Depositary Shares,$115.80,1.80,1.579%,"164,395,060,300"
DHR,Danaher Corporation Common Stock,$228.46,-2.31,-1.001%,"163,589,146,251"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$247.85,-1.38,-0.554%,"163,127,867,742"
SCHW,Charles Schwab Corporation (The) Common Stock,$91.80,1.06,1.168%,"163,122,795,486"
