Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$213.05,4.57,2.192%,"5,155,810,000,000"
AAPL,Apple Inc. Common Stock,$309.90,-0.44,-0.142%,"4,522,736,382,000"
GOOGL,Alphabet Inc. Class A Common Stock,$346.96,-1.10,-0.316%,"4,243,320,800,000"
GOOG,Alphabet Inc. Class C Capital Stock,$343.34,-1.25,-0.363%,"4,199,048,200,000"
MSFT,Microsoft Corporation Common Stock,$491.71,4.40,0.903%,"3,651,214,973,380"
AMZN,"Amazon.com, Inc. Common Stock",$261.06,-1.01,-0.385%,"2,815,875,021,106"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$417.41,7.29,1.778%,"2,164,899,011,979"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$137.95,2.95,2.185%,"1,872,370,743,169"
AVGO,Broadcom Inc. Common Stock,$356.74,-2.02,-0.563%,"1,697,219,159,835"
META,"Meta Platforms, Inc. Class A Common Stock",$570.05,11.03,1.973%,"1,452,205,923,561"
TSLA,"Tesla, Inc. Common Stock",$350.25,1.30,0.373%,"1,383,328,974,749"
SKHY,SK hynix Inc. American Depositary Shares,$159.53,4.16,2.677%,"1,162,759,132,150"
LLY,Eli Lilly and Company Common Stock,"$1,233.66",-13.27,-1.064%,"1,161,314,556,808"
BRK/B,Berkshire Hathaway Inc.,$504.32,UNCH,--,"1,112,686,950,623"
BRK/A,Berkshire Hathaway Inc.,"$755,365.00",-266.00,-0.035%,"1,111,046,739,010"
MU,"Micron Technology, Inc. Common Stock",$932.97,22.54,2.476%,"1,053,689,928,088"
JPM,JP Morgan Chase & Co. Common Stock,$356.69,0.30,0.084%,"948,148,433,895"
WMT,Walmart Inc. Common Stock,$105.38,-1.11,-1.042%,"838,622,381,354"
AMD,"Advanced Micro Devices, Inc. Common Stock",$479.18,22.435,4.912%,"782,249,390,626"
V,Visa Inc.,$384.14,1.73,0.452%,"686,364,152,132"
ASML,ASML Holding N.V. New York Registry Shares,"$1,744.16",4.03,0.232%,"672,230,074,586"
XOM,ExxonMobil Holdings Corporation Common Stock,$160.64,-3.41,-2.079%,"660,537,537,254"
JNJ,Johnson & Johnson Common Stock,$273.14,0.10,0.037%,"658,239,702,785"
