Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$213.17,-3.44,-1.588%,"5,180,031,000,000"
GOOGL,Alphabet Inc. Class A Common Stock,$349.78,-0.56,-0.16%,"4,231,444,016,186"
GOOG,Alphabet Inc. Class C Capital Stock,$347.50,-1.02,-0.293%,"4,203,861,843,515"
AAPL,Apple Inc. Common Stock,$270.71,3.10,1.158%,"3,974,331,409,400"
MSFT,Microsoft Corporation Common Stock,$429.25,4.43,1.043%,"3,187,451,280,873"
AMZN,"Amazon.com, Inc. Common Stock",$259.70,-1.42,-0.544%,"2,792,879,192,200"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$392.34,-12.64,-3.121%,"2,034,873,334,035"
AVGO,Broadcom Inc. Common Stock,$399.83,-18.37,-4.393%,"1,893,062,380,009"
META,"Meta Platforms, Inc. Class A Common Stock",$671.34,-7.28,-1.073%,"1,704,145,100,907"
TSLA,"Tesla, Inc. Common Stock",$376.02,-2.65,-0.70%,"1,412,227,289,973"
BRK/A,Berkshire Hathaway Inc.,"$717,550.00","8,949.95",1.263%,"1,055,425,638,700"
BRK/B,Berkshire Hathaway Inc.,$478.16,5.35,1.132%,"1,054,969,845,157"
WMT,Walmart Inc. Common Stock,$127.59,UNCH,--,"1,017,198,835,103"
JPM,JP Morgan Chase & Co. Common Stock,$311.45,-0.18,-0.058%,"835,377,303,452"
LLY,Eli Lilly and Company Common Stock,$874.00,5.73,0.66%,"825,771,701,994"
XOM,Exxon Mobil Corporation Common Stock,$150.56,2.37,1.599%,"627,347,905,484"
V,Visa Inc.,$309.30,-0.35,-0.113%,"592,621,678,346"
AZN,AstraZeneca PLC Ordinary Shares,$186.68,-0.83,-0.443%,"578,979,010,450"
MU,"Micron Technology, Inc. Common Stock",$504.29,-20.27,-3.864%,"568,705,004,579"
JNJ,Johnson & Johnson Common Stock,$227.79,2.45,1.087%,"548,339,953,824"
ASML,ASML Holding N.V. New York Registry Shares,"$1,384.56",-47.88,-3.343%,"533,633,882,252"
AMD,"Advanced Micro Devices, Inc. Common Stock",$323.21,-11.42,-3.413%,"526,941,796,761"
ORCL,Oracle Corporation Common Stock,$165.96,-7.00,-4.047%,"477,308,594,160"
MA,Mastercard Incorporated Common Stock,$507.62,1.19,0.235%,"452,701,765,310"
COST,Costco Wholesale Corporation Common Stock,$994.00,-4.01,-0.402%,"440,990,624,760"
INTC,Intel Corporation Common Stock,$84.52,-0.47,-0.553%,"424,797,520,000"
NFLX,"Netflix, Inc. Common Stock",$92.27,0.90,0.985%,"388,530,380,179"
CAT,"Caterpillar, Inc. Common Stock",$817.87,-10.92,-1.318%,"380,544,550,223"
BAC,Bank of America Corporation Common Stock,$52.66,0.03,0.057%,"376,293,045,471"
CVX,Chevron Corporation Common Stock,$188.36,3.58,1.937%,"375,266,908,082"
ABBV,AbbVie Inc. Common Stock,$197.69,0.31,0.157%,"349,666,634,309"
PG,Procter & Gamble Company (The) Common Stock,$149.17,0.77,0.519%,"347,357,109,548"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$86.86,-1.40,-1.586%,"343,087,709,628"
PLTR,Palantir Technologies Inc. Class A Common Stock,$141.18,-1.92,-1.342%,"338,430,640,649"
KO,Coca-Cola Company (The) Common Stock,$78.35,2.91,3.857%,"337,230,377,913"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$366.77,12.08,3.406%,"333,105,348,029"
HD,"Home Depot, Inc. (The) Common Stock",$329.06,-3.24,-0.975%,"327,752,861,141"
LRCX,Lam Research Corporation Common Stock,$251.23,-8.24,-3.176%,"314,180,952,330"
HSBC,"HSBC Holdings, plc. Common Stock",$89.97,0.01,0.011%,"309,051,266,041"
AMAT,"Applied Materials, Inc. Common Stock",$381.11,-23.75,-5.866%,"302,452,656,412"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$130.85,-1.67,-1.26%,"302,169,217,864"
GE,GE Aerospace Common Stock,$289.20,4.64,1.631%,"301,733,128,362"
MS,Morgan Stanley Common Stock,$190.36,0.18,0.095%,"301,032,793,913"
GEV,GE Vernova Inc. Common Stock,"$1,088.93",-31.30,-2.794%,"292,617,264,155"
NVS,Novartis AG Common Stock,$145.50,1.31,0.909%,"277,636,069,295"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$926.55,-11.26,-1.201%,"273,326,636,960"
MRK,"Merck & Company, Inc. Common Stock (new)",$110.03,-0.20,-0.181%,"271,915,464,343"
PM,Philip Morris International Inc Common Stock,$165.89,4.99,3.101%,"258,549,326,963"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$87.59,0.68,0.782%,"254,511,684,060"
TM,Toyota Motor Corporation Common Stock,$192.98,0.81,0.422%,"251,818,246,701"
WFC,Wells Fargo & Company Common Stock,$81.50,0.94,1.167%,"251,457,743,754"
RY,Royal Bank Of Canada Common Stock,$177.76,1.09,0.617%,"248,246,241,338"
TXN,Texas Instruments Incorporated Common Stock,$265.00,-4.50,-1.67%,"241,174,589,615"
KLAC,KLA Corporation Common Stock,"$1,808.97",-91.03,-4.791%,"237,113,657,001"
RTX,RTX Corporation Common Stock,$175.68,2.30,1.327%,"236,585,344,631"
LIN,Linde plc Ordinary Shares,$510.29,-0.46,-0.09%,"236,465,403,865"
CCZ,Comcast Holdings ZONES,$64.54,UNCH,--,"230,654,437,674"
C,"Citigroup, Inc. Common Stock",$128.53,-0.61,-0.472%,"224,612,216,039"
IBM,International Business Machines Corporation Common Stock,$233.04,4.99,2.188%,"219,030,865,651"
AXP,American Express Company Common Stock,$315.90,-2.94,-0.922%,"215,546,923,344"
PEP,"PepsiCo, Inc. Common Stock",$156.29,2.19,1.421%,"213,612,219,951"
SAP,SAP  SE ADS,$173.49,0.05,0.029%,"213,133,199,210"
ARM,Arm Holdings plc American Depositary Shares,$198.65,-17.23,-7.981%,"210,422,793,401"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$17.54,0.10,0.573%,"208,159,649,537"
ANET,"Arista Networks, Inc. Common Stock",$165.29,-7.18,-4.163%,"208,128,116,407"
MCD,McDonald's Corporation Common Stock,$292.39,2.18,0.751%,"207,838,891,028"
TMUS,"T-Mobile US, Inc. Common Stock",$186.72,3.97,2.172%,"205,739,810,626"
NEE,"NextEra Energy, Inc. Common Stock",$96.51,1.68,1.772%,"201,256,303,919"
VZ,Verizon Communications Inc. Common Stock,$47.24,0.14,0.297%,"199,243,400,096"
TTE,TotalEnergies SE Ordinary Shares,$91.03,2.29,2.581%,"198,614,880,018"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$78.12,-1.72,-2.154%,"198,382,348,655"
ADI,"Analog Devices, Inc. Common Stock",$383.26,-9.33,-2.377%,"187,109,125,212"
NVO,Novo Nordisk A/S Common Stock,$41.17,-0.03,-0.073%,"183,824,050,000"
AMGN,Amgen Inc. Common Stock,$339.57,-0.61,-0.179%,"183,261,006,254"
T,AT&T Inc.,$26.06,0.54,2.116%,"181,991,476,553"
BA,Boeing Company (The) Common Stock,$230.72,-0.61,-0.264%,"181,877,113,808"
DIS,Walt Disney Company (The) Common Stock,$101.47,-0.88,-0.86%,"179,756,119,281"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$12.07,0.07,0.583%,"177,661,026,873"
APH,Amphenol Corporation Common Stock,$143.72,-4.92,-3.31%,"176,693,781,497"
TD,Toronto Dominion Bank (The) Common Stock,$105.39,-0.25,-0.237%,"175,877,959,870"
TMO,Thermo Fisher Scientific Inc Common Stock,$470.22,2.18,0.466%,"174,679,321,214"
TJX,"TJX Companies, Inc. (The) Common Stock",$157.20,-0.28,-0.178%,"173,990,634,809"
CRM,"Salesforce, Inc. Common Stock",$181.32,1.14,0.633%,"167,358,360,000"
ISRG,"Intuitive Surgical, Inc. Common Stock",$466.64,-4.35,-0.924%,"165,266,548,591"
ABT,Abbott Laboratories Common Stock,$93.86,1.06,1.142%,"163,471,956,431"
BLK,"BlackRock, Inc. Common Stock","$1,049.76",-7.10,-0.672%,"163,095,677,915"
GILD,"Gilead Sciences, Inc. Common Stock",$129.26,1.51,1.182%,"160,466,017,449"
ETN,"Eaton Corporation, PLC Ordinary Shares",$413.07,-3.70,-0.888%,"160,265,104,394"
QCOM,QUALCOMM Incorporated Common Stock,$150.00,-0.26,-0.173%,"160,050,000,000"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$122.05,-2.18,-1.755%,"159,166,793,075"
UNP,Union Pacific Corporation Common Stock,$267.74,-1.17,-0.435%,"158,960,775,649"
SCHW,Charles Schwab Corporation (The) Common Stock,$90.83,0.07,0.077%,"157,871,572,226"
