Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$203.28,0.47,0.232%,"4,919,376,000,000"
AAPL,Apple Inc. Common Stock,$326.59,-7.15,-2.142%,"4,796,743,596,040"
GOOGL,Alphabet Inc. Class A Common Stock,$351.99,5.22,1.505%,"4,264,710,840,000"
GOOG,Alphabet Inc. Class C Capital Stock,$351.37,5.25,1.517%,"4,257,198,920,000"
MSFT,Microsoft Corporation Common Stock,$402.29,8.47,2.151%,"2,988,384,997,072"
AMZN,"Amazon.com, Inc. Common Stock",$249.99,2.76,1.116%,"2,689,169,787,906"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$402.30,3.93,0.987%,"2,086,530,922,879"
AVGO,Broadcom Inc. Common Stock,$378.16,7.335,1.978%,"1,799,126,527,676"
META,"Meta Platforms, Inc. Class A Common Stock",$645.85,-0.16,-0.025%,"1,639,440,690,888"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$119.85,-4.14,-3.339%,"1,568,938,847,705"
TSLA,"Tesla, Inc. Common Stock",$369.57,-11.27,-2.959%,"1,388,002,871,005"
SKHY,SK hynix Inc. American Depositary Shares,$151.16,-2.87,-1.863%,"1,101,753,089,800"
BRK/B,Berkshire Hathaway Inc.,$491.25,0.34,0.069%,"1,083,850,461,004"
BRK/A,Berkshire Hathaway Inc.,"$736,200.010000000009",200.01,0.027%,"1,082,857,453,509"
LLY,Eli Lilly and Company Common Stock,"$1,146.90",-32.21,-2.732%,"1,080,083,218,541"
MU,"Micron Technology, Inc. Common Stock",$865.46,16.51,1.945%,"977,444,596,464"
JPM,JP Morgan Chase & Co. Common Stock,$338.87,-2.23,-0.654%,"908,006,034,218"
WMT,Walmart Inc. Common Stock,$112.20,-2.04,-1.786%,"892,896,481,191"
AMD,"Advanced Micro Devices, Inc. Common Stock",$503.57,7.81,1.575%,"821,121,563,781"
V,Visa Inc.,$360.57,2.01,0.561%,"683,088,311,255"
ASML,ASML Holding N.V. New York Registry Shares,"$1,739.02",-8.56,-0.49%,"670,249,027,788"
XOM,ExxonMobil Holdings Corporation Common Stock,$148.36,1.00,0.679%,"614,944,360,954"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$49.93,0.71,1.443%,"604,951,880,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$49.90,0.76,1.547%,"604,588,400,000"
JNJ,Johnson & Johnson Common Stock,$248.82,-4.22,-1.668%,"598,963,726,724"
INTC,Intel Corporation Common Stock,$97.06,2.02,2.125%,"487,823,560,000"
MA,Mastercard Incorporated Common Stock,$547.44,3.84,0.706%,"483,709,145,581"
