Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$222.27,2.93,1.336%,"5,356,707,000,000"
AAPL,Apple Inc. Common Stock,$336.13,-0.87,-0.258%,"4,905,541,723,400"
GOOGL,Alphabet Inc. Class A Common Stock,$349.54,2.21,0.636%,"4,274,874,200,000"
GOOG,Alphabet Inc. Class C Capital Stock,$344.41,0.73,0.212%,"4,212,134,300,000"
MSFT,Microsoft Corporation Common Stock,$493.78,-3.97,-0.798%,"3,666,585,852,546"
AMZN,"Amazon.com, Inc. Common Stock",$253.71,2.52,1.003%,"2,736,595,616,352"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$434.67,4.41,1.025%,"2,254,418,086,622"
SPCX,Space Exploration Technologies Corp. Class A Common Stock,$152.71,-2.10,-1.357%,"2,072,705,590,354"
AVGO,Broadcom Inc. Common Stock,$357.61,10.31,2.969%,"1,707,097,776,023"
META,"Meta Platforms, Inc. Class A Common Stock",$665.75,-16.56,-2.427%,"1,696,002,269,294"
TSLA,"Tesla, Inc. Common Stock",$364.27,-1.93,-0.527%,"1,438,701,629,212"
SKHY,SK hynix Inc. American Depositary Shares,$187.50,4.51,2.465%,"1,366,622,812,500"
MU,"Micron Technology, Inc. Common Stock","$1,015.80",38.30,3.918%,"1,147,237,562,786"
BRK/B,Berkshire Hathaway Inc.,$509.77,0.57,0.112%,"1,124,711,347,595"
BRK/A,Berkshire Hathaway Inc.,"$763,600.010000000009",-335.94,-0.044%,"1,123,159,401,109"
LLY,Eli Lilly and Company Common Stock,"$1,152.93",0.49,0.043%,"1,085,318,800,950"
JPM,JP Morgan Chase & Co. Common Stock,$349.67,0.36,0.103%,"929,487,966,806"
AMD,"Advanced Micro Devices, Inc. Common Stock",$559.82,14.73,2.702%,"913,892,178,012"
WMT,Walmart Inc. Common Stock,$106.73,-0.06,-0.056%,"846,768,736,302"
XOM,ExxonMobil Holdings Corporation Common Stock,$163.54,0.27,0.165%,"672,462,081,938"
V,Visa Inc.,$368.29,-1.64,-0.443%,"658,044,081,815"
JNJ,Johnson & Johnson Common Stock,$269.99,-0.23,-0.085%,"650,648,522,204"
ASML,ASML Holding N.V. New York Registry Shares,"$1,679.92",50.25,3.083%,"647,470,843,787"
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,$49.28,0.23,0.469%,"602,694,400,000"
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,$48.90,0.01,0.02%,"598,047,000,000"
INTC,Intel Corporation Common Stock,$108.60,-0.20,-0.184%,"573,958,548,895"
MA,Mastercard Incorporated Common Stock,$565.24,-0.49,-0.087%,"495,155,858,486"
ABBV,AbbVie Inc. Common Stock,$263.96,-0.06,-0.023%,"466,448,278,549"
ORCL,Oracle Corporation Common Stock,$147.61,-2.98,-1.979%,"446,333,670,960"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$109.51,-0.73,-0.662%,"431,752,688,462"
PLTR,Palantir Technologies Inc. Class A Common Stock,$177.64,1.40,0.794%,"426,700,780,187"
CVX,Chevron Corporation Common Stock,$209.51,-2.06,-0.974%,"413,943,839,616"
BAC,Bank of America Corporation Common Stock,$57.73,-0.45,-0.773%,"403,691,363,111"
COST,Costco Wholesale Corporation Common Stock,$895.31,1.38,0.154%,"397,051,008,009"
KO,Coca-Cola Company (The) Common Stock,$88.25,0.19,0.216%,"379,699,970,695"
CAT,"Caterpillar, Inc. Common Stock",$808.99,10.42,1.305%,"371,872,388,452"
MRK,"Merck & Company, Inc. Common Stock (new)",$146.87,-0.28,-0.19%,"362,353,498,473"
DELL,Dell Technologies Inc. Class C Common Stock ,$568.06,-20.34,-3.457%,"361,179,790,765"
LRCX,Lam Research Corporation Common Stock,$288.11,18.80,6.981%,"360,518,093,310"
AMAT,"Applied Materials, Inc. Common Stock",$444.57,27.17,6.509%,"352,809,615,235"
HSBC,"HSBC Holdings, plc. Common Stock",$101.83,-1.01,-0.982%,"349,616,844,893"
PG,Procter & Gamble Company (The) Common Stock,$146.39,-1.16,-0.786%,"340,273,755,653"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$376.90,1.69,0.45%,"338,303,497,834"
GE,GE Aerospace Common Stock,$314.27,0.80,0.255%,"326,074,770,961"
MS,Morgan Stanley Common Stock,$202.58,-0.94,-0.462%,"318,165,319,433"
HD,"Home Depot, Inc. (The) Common Stock",$299.98,-2.53,-0.836%,"299,286,934,007"
NFLX,"Netflix, Inc. Common Stock",$71.79,-3.52,-4.674%,"298,929,229,340"
PANW,"Palo Alto Networks, Inc. Common Stock",$363.58,-11.48,-3.061%,"297,408,440,000"
PM,Philip Morris International Inc Common Stock,$188.62,-1.86,-0.976%,"293,985,666,864"
ARM,Arm Holdings plc American Depositary Shares,$275.61,10.71,4.043%,"293,264,268,004"
RY,Royal Bank Of Canada Common Stock,$203.30,-0.27,-0.133%,"281,454,578,137"
MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",$23.13,-0.37,-1.574%,"274,500,153,580"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$113.24,4.70,4.33%,"274,322,316,678"
GS,"Goldman Sachs Group, Inc. (The) Common Stock",$942.00,-9.47,-0.995%,"274,283,466,336"
NVS,Novartis AG Common Stock,$140.37,-0.55,-0.39%,"267,847,251,181"
SNDK,Sandisk Corporation Common Stock,"$1,791.82",177.43,10.991%,"262,356,494,372"
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$94.54,-1.28,-1.336%,"261,504,526,199"
RTX,RTX Corporation Common Stock,$194.00,0.46,0.238%,"261,465,079,936"
WFC,Wells Fargo & Company Common Stock,$86.12,-0.77,-0.886%,"260,426,822,816"
AZN,AstraZeneca PLC Ordinary Shares,$166.08,-0.06,-0.036%,"257,544,552,324"
SAP,SAP  SE ADS,$209.45,-4.21,-1.97%,"257,310,211,392"
ANET,"Arista Networks, Inc. Common Stock",$199.39,-0.14,-0.07%,"251,475,582,565"
GEV,GE Vernova Inc. Common Stock,$940.33,15.40,1.665%,"250,441,456,222"
TM,Toyota Motor Corporation Common Stock,$191.53,-2.38,-1.227%,"249,638,899,021"
TXN,Texas Instruments Incorporated Common Stock,$266.64,8.50,3.293%,"243,508,362,995"
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$237.65,-8.05,-3.276%,"243,338,115,201"
TMO,Thermo Fisher Scientific Inc Common Stock,$651.45,-6.87,-1.044%,"240,871,869,465"
KLAC,KLA Corporation Common Stock,$176.99,8.01,4.74%,"231,245,715,123"
CCZ,Comcast Holdings ZONES,$64.67,UNCH,--,"229,490,327,176"
C,"Citigroup, Inc. Common Stock",$131.77,-0.93,-0.701%,"221,035,844,896"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$86.27,-0.29,-0.335%,"219,306,208,255"
IBM,International Business Machines Corporation Common Stock,$229.55,-8.20,-3.449%,"216,266,949,225"
MRVL,"Marvell Technology, Inc. Common Stock",$244.25,3.49,1.45%,"214,182,825,000"
LIN,Linde plc Ordinary Shares,$460.40,1.92,0.419%,"212,235,267,045"
AXP,American Express Company Common Stock,$311.56,0.39,0.125%,"210,399,531,569"
AMGN,Amgen Inc. Common Stock,$385.65,5.87,1.546%,"208,494,732,728"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",$14.31,-0.51,-3.441%,"207,133,077,705"
TD,Toronto Dominion Bank (The) Common Stock,$122.33,0.52,0.427%,"200,425,105,010"
VZ,Verizon Communications Inc. Common Stock,$48.09,-0.24,-0.497%,"199,803,139,464"
TTE,TotalEnergies SE Ordinary Shares,$90.82,-0.77,-0.841%,"198,156,689,039"
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$858.79,55.66,6.93%,"196,421,204,413"
CRM,"Salesforce, Inc. Common Stock",$237.92,-4.93,-2.03%,"195,808,160,000"
NVO,Novo Nordisk A/S Common Stock,$43.24,0.05,0.116%,"191,463,715,685"
APH,Amphenol Corporation Common Stock,$77.55,-0.82,-1.046%,"191,235,734,181"
QCOM,QUALCOMM Incorporated Common Stock,$177.72,-10.99,-5.824%,"186,647,572,440"
GILD,"Gilead Sciences, Inc. Common Stock",$150.11,-0.78,-0.517%,"186,129,668,317"
DE,Deere & Company Common Stock,$683.99,-1.64,-0.239%,"184,421,085,554"
ADI,"Analog Devices, Inc. Common Stock",$375.72,13.07,3.604%,"182,060,936,510"
SCHW,Charles Schwab Corporation (The) Common Stock,$105.25,0.62,0.593%,"182,012,583,899"
TMUS,"T-Mobile US, Inc. Common Stock",$168.18,1.73,1.039%,"180,401,911,874"
ABT,Abbott Laboratories Common Stock,$102.61,0.38,0.372%,"177,554,630,003"
DIS,Walt Disney Company (The) Common Stock,$102.67,-2.68,-2.544%,"177,278,944,228"
PEP,"PepsiCo, Inc. Common Stock",$129.75,-3.91,-2.925%,"177,094,679,651"
MCD,McDonald's Corporation Common Stock,$248.24,-0.24,-0.097%,"175,664,933,655"
T,AT&T Inc.,$25.40,0.01,0.039%,"174,050,595,510"
NEE,"NextEra Energy, Inc. Common Stock",$80.47,-0.81,-0.997%,"167,858,666,478"
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$128.50,-0.10,-0.078%,"166,511,716,713"
UNP,Union Pacific Corporation Common Stock,$279.37,-3.11,-1.101%,"165,966,871,876"
BLK,"BlackRock, Inc. Common Stock","$1,069.78",15.82,1.501%,"165,676,035,893"
ETN,"Eaton Corporation, PLC Ordinary Shares",$424.77,15.31,3.739%,"164,980,668,000"
WELL,Welltower Inc. Common Stock,$228.87,-3.39,-1.46%,"164,956,896,935"
SCCO,Southern Copper Corporation Common Stock,$195.70,-0.41,-0.209%,"163,278,714,864"
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$28.36,-0.47,-1.63%,"161,906,352,332"
WDC,Western Digital Corporation Common Stock,$441.36,17.49,4.126%,"159,128,351,044"
COP,ConocoPhillips Common Stock,$131.83,-1.36,-1.021%,"158,372,319,857"
PFE,"Pfizer, Inc. Common Stock",$27.66,0.02,0.072%,"157,652,971,472"
UBS,UBS Group AG Registered Ordinary Shares,$50.69,0.07,0.138%,"157,313,133,279"
BA,Boeing Company (The) Common Stock,$198.20,1.20,0.609%,"156,651,337,964"
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$77.73,-1.04,-1.32%,"153,293,902,287"
DHR,Danaher Corporation Common Stock,$211.81,-0.69,-0.325%,"148,899,476,098"
UBER,"Uber Technologies, Inc. Common Stock",$70.50,-0.37,-0.522%,"144,000,488,531"
NOW,"ServiceNow, Inc. Common Stock",$135.47,-3.00,-2.167%,"140,075,980,000"
TJX,"TJX Companies, Inc. (The) Common Stock",$127.24,0.69,0.545%,"139,960,699,522"
ISRG,"Intuitive Surgical, Inc. Common Stock",$393.33,9.79,2.553%,"138,954,850,687"
TBB,AT&T Inc. 5.350% Global Notes due 2066,$19.4196,-0.0204,-0.105%,"138,857,625,867"
SONY,Sony Group Corporation American Depositary Shares ,$23.46,-0.37,-1.553%,"138,321,392,917"
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$10.94,-0.13,-1.174%,"136,194,718,092"
PBR,Petroleo Brasileiro S.A. Petrobras ADS,$20.80,-0.14,-0.669%,"134,042,820,725"
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),$61.82,-0.40,-0.643%,"133,180,516,406"
CB,Chubb Limited  Common Stock,$340.64,-1.26,-0.369%,"131,418,863,970"
MNST,Monster Beverage Corporation,$44.71,0.20,0.449%,"131,383,937,955"
NEM,Newmont Corporation,$123.41,-0.98,-0.788%,"130,036,163,164"
GLW,Corning Incorporated Common Stock,$150.13,2.33,1.576%,"129,320,230,133"
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$508.34,-8.00,-1.549%,"128,844,326,106"
BMY,Bristol-Myers Squibb Company Common Stock,$63.06,0.22,0.35%,"128,813,586,207"
PLD,"Prologis, Inc. Common Stock",$134.84,-0.34,-0.252%,"127,838,567,840"
BKNG,Booking Holdings Inc. Common Stock,$167.90,-2.62,-1.536%,"126,156,785,950"
FTNT,"Fortinet, Inc. Common Stock",$169.84,-2.74,-1.588%,"124,613,926,826"
COF,Capital One Financial Corporation Common Stock,$202.43,0.39,0.193%,"124,187,735,351"
PGR,Progressive Corporation (The) Common Stock,$213.48,-2.81,-1.299%,"124,111,245,460"
LMT,Lockheed Martin Corporation Common Stock,$533.38,-4.71,-0.875%,"123,099,171,835"
RIO,Rio Tinto Plc Common Stock,$97.37,-0.67,-0.683%,"122,300,476,924"
BMO,Bank Of Montreal Common Stock,$174.49,0.70,0.403%,"121,286,644,434"
ACN,Accenture plc Class A Ordinary Shares (Ireland),$181.29,-9.00,-4.73%,"121,012,925,971"
BTI,"British American Tobacco  Industries, p.l.c. Common Stock ADR",$55.83,-0.19,-0.339%,"120,611,422,376"
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$26.24,-0.48,-1.796%,"119,689,820,641"
SPGI,S&P Global Inc. Common Stock,$405.32,1.21,0.299%,"119,488,336,000"
