Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$173.03,-2.61,-1.486%,"4,221,932,000,000"
MSFT,Microsoft Corporation Common Stock,$505.6988,-4.0712,-0.799%,"3,758,943,318,061"
AAPL,Apple Inc. Common Stock,$226.13,-4.43,-1.921%,"3,355,857,390,700"
GOOG,Alphabet Inc. Class C Capital Stock,$200.4022,-2.0878,-1.031%,"2,423,664,206,800"
GOOGL,Alphabet Inc. Class A Common Stock,$199.54,-2.03,-1.007%,"2,413,236,760,000"
AMZN,"Amazon.com, Inc. Common Stock",$223.53,-4.48,-1.965%,"2,383,927,801,042"
META,"Meta Platforms, Inc. Class A Common Stock",$743.365,-8.115,-1.08%,"1,867,438,047,563"
AVGO,Broadcom Inc. Common Stock,$288.17,-6.74,-2.285%,"1,355,399,232,018"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$226.2939,-6.4061,-2.753%,"1,173,683,868,508"
BRK/B,Berkshire Hathaway Inc.,$488.92,3.61,0.744%,"1,078,709,755,509"
BRK/A,Berkshire Hathaway Inc.,"$732,934.890000000014","5,734.89",0.789%,"1,078,054,873,394"
TSLA,"Tesla, Inc. Common Stock",$320.5831,-8.7269,-2.65%,"1,034,024,403,727"
WMT,Walmart Inc. Common Stock,$102.385,1.095,1.081%,"817,075,113,721"
JPM,JP Morgan Chase & Co. Common Stock,$291.38,0.72,0.248%,"801,223,277,979"
V,Visa Inc.,$343.455,1.005,0.293%,"666,282,743,891"
LLY,Eli Lilly and Company Common Stock,$700.2322,-2.9778,-0.423%,"662,739,498,559"
ORCL,Oracle Corporation Common Stock,$233.24,-1.38,-0.588%,"655,132,208,920"
MA,Mastercard Incorporated Common Stock,$588.985,3.475,0.593%,"532,449,411,815"
NFLX,"Netflix, Inc. Common Stock","$1,208.345",-5.805,-0.478%,"513,457,625,557"
XOM,Exxon Mobil Corporation Common Stock,$109.04,1.62,1.508%,"464,864,455,170"
COST,Costco Wholesale Corporation Common Stock,$992.14,11.29,1.151%,"439,991,356,104"
JNJ,Johnson & Johnson Common Stock,$178.85,1.05,0.591%,"430,731,407,257"
HD,"Home Depot, Inc. (The) Common Stock",$403.835,-3.365,-0.826%,"401,786,742,822"
PG,Procter & Gamble Company (The) Common Stock,$159.55,1.15,0.726%,"373,725,370,910"
ABBV,AbbVie Inc. Common Stock,$208.60,2.41,1.169%,"368,504,051,576"
PLTR,Palantir Technologies Inc. Class A Common Stock,$153.7294,-4.0206,-2.549%,"364,698,776,975"
BAC,Bank of America Corporation Common Stock,$48.22,0.14,0.291%,"357,162,999,385"
SAP,SAP  SE ADS,$271.91,-2.32,-0.846%,"334,042,585,723"
KO,Coca-Cola Company (The) Common Stock,$70.75,0.62,0.884%,"304,484,458,079"
TMUS,"T-Mobile US, Inc. Common Stock",$260.43,2.21,0.856%,"293,092,880,066"
ASML,ASML Holding N.V. New York Registry Shares,$744.29,0.68,0.091%,"292,717,139,959"
GE,GE Aerospace Common Stock,$267.03,1.10,0.414%,"283,169,129,511"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$119.35,-0.64,-0.533%,"275,612,504,028"
UNH,UnitedHealth Group Incorporated Common Stock (DE),$298.0144,-6.2256,-2.046%,"269,903,781,950"
PM,Philip Morris International Inc Common Stock,$172.375,3.605,2.136%,"268,317,086,965"
AMD,"Advanced Micro Devices, Inc. Common Stock",$163.275,-3.275,-1.966%,"264,969,803,321"
