Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$183.20,1.14,0.626%,"4,470,080,000,000"
MSFT,Microsoft Corporation Common Stock,$529.29,7.52,1.441%,"3,934,300,632,741"
AAPL,Apple Inc. Common Stock,$229.241,2.061,0.907%,"3,402,025,843,990"
GOOG,Alphabet Inc. Class C Capital Stock,$204.6301,3.0001,1.488%,"2,474,796,429,400"
GOOGL,Alphabet Inc. Class A Common Stock,$203.93,2.93,1.458%,"2,466,329,420,000"
AMZN,"Amazon.com, Inc. Common Stock",$222.02,0.72,0.325%,"2,367,823,783,776"
META,"Meta Platforms, Inc. Class A Common Stock",$788.21,22.34,2.917%,"1,980,095,032,010"
AVGO,Broadcom Inc. Common Stock,$311.8013,7.9013,2.60%,"1,466,548,365,764"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$243.39,1.30,0.537%,"1,262,353,588,657"
TSLA,"Tesla, Inc. Common Stock",$340.23,1.20,0.354%,"1,097,394,475,504"
BRK/A,Berkshire Hathaway Inc.,"$705,705.00","7,265.00",1.04%,"1,038,003,136,170"
BRK/B,Berkshire Hathaway Inc.,$470.385,5.655,1.217%,"1,037,815,774,248"
WMT,Walmart Inc. Common Stock,$103.75,-0.18,-0.173%,"827,968,384,515"
JPM,JP Morgan Chase & Co. Common Stock,$293.30,3.74,1.292%,"806,502,805,378"
ORCL,Oracle Corporation Common Stock,$254.34,1.66,0.657%,"714,398,585,220"
V,Visa Inc.,$335.67,-0.23,-0.068%,"651,180,296,230"
LLY,Eli Lilly and Company Common Stock,$638.72,3.50,0.551%,"604,520,861,108"
NFLX,"Netflix, Inc. Common Stock","$1,225.8656",7.5556,0.62%,"520,902,590,095"
MA,Mastercard Incorporated Common Stock,$570.95,-2.64,-0.46%,"516,145,558,335"
XOM,Exxon Mobil Corporation Common Stock,$106.725,0.895,0.846%,"454,995,038,316"
PLTR,Palantir Technologies Inc. Class A Common Stock,$187.485,4.805,2.63%,"444,778,618,801"
COST,Costco Wholesale Corporation Common Stock,$988.3033,-0.4367,-0.044%,"438,289,867,568"
JNJ,Johnson & Johnson Common Stock,$172.60,-1.22,-0.702%,"415,679,289,307"
HD,"Home Depot, Inc. (The) Common Stock",$395.466,7.936,2.048%,"393,460,190,516"
PG,Procter & Gamble Company (The) Common Stock,$154.66,-0.32,-0.206%,"362,271,174,334"
BAC,Bank of America Corporation Common Stock,$47.3531,1.1931,2.585%,"350,741,916,760"
ABBV,AbbVie Inc. Common Stock,$198.3311,-0.3089,-0.156%,"350,363,441,532"
SAP,SAP  SE ADS,$274.21,-13.03,-4.536%,"336,868,145,457"
KO,Coca-Cola Company (The) Common Stock,$70.595,-0.155,-0.219%,"303,817,389,655"
GE,GE Aerospace Common Stock,$279.87,4.67,1.697%,"296,785,171,240"
ASML,ASML Holding N.V. New York Registry Shares,$740.40,19.09,2.647%,"291,187,266,288"
TMUS,"T-Mobile US, Inc. Common Stock",$252.25,3.38,1.358%,"283,886,952,336"
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$71.395,0.725,1.026%,"282,724,070,061"
AMD,"Advanced Micro Devices, Inc. Common Stock",$173.7001,1.4201,0.824%,"281,888,111,064"
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$121.9126,3.2726,2.758%,"281,530,263,583"
CVX,Chevron Corporation Common Stock,$155.44,1.99,1.297%,"268,598,824,045"
PM,Philip Morris International Inc Common Stock,$168.09,-2.23,-1.309%,"261,647,101,656"
WFC,Wells Fargo & Company Common Stock,$79.225,1.635,2.107%,"253,792,629,783"
TM,Toyota Motor Corporation Common Stock,$194.05,4.92,2.601%,"253,214,482,187"
