Symbol,Name,Last Sale,Net Change,% Change,Market Cap
NVDA,NVIDIA Corporation Common Stock,$182.02,-1.14,-0.622%,"4,441,288,000,000"
MSFT,Microsoft Corporation Common Stock,$531.17,1.93,0.365%,"3,948,274,985,533"
AAPL,Apple Inc. Common Stock,$231.625,1.975,0.86%,"3,437,405,333,750"
GOOG,Alphabet Inc. Class C Capital Stock,$203.205,-0.955,-0.468%,"2,457,561,270,000"
GOOGL,Alphabet Inc. Class A Common Stock,$202.23,-1.11,-0.546%,"2,445,769,620,000"
AMZN,"Amazon.com, Inc. Common Stock",$223.6205,2.1505,0.971%,"2,384,892,975,587"
META,"Meta Platforms, Inc. Class A Common Stock",$788.785,-1.215,-0.154%,"1,981,539,513,358"
AVGO,Broadcom Inc. Common Stock,$312.60,-0.23,-0.074%,"1,470,305,028,035"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$245.28,0.99,0.405%,"1,272,156,161,821"
TSLA,"Tesla, Inc. Common Stock",$344.87,4.03,1.182%,"1,112,360,558,349"
BRK/B,Berkshire Hathaway Inc.,$477.90,7.51,1.597%,"1,054,396,204,201"
BRK/A,Berkshire Hathaway Inc.,"$715,837.810000000056","11,137.71",1.58%,"1,052,907,222,946"
WMT,Walmart Inc. Common Stock,$102.57,-1.05,-1.013%,"818,551,491,081"
JPM,JP Morgan Chase & Co. Common Stock,$293.53,0.68,0.232%,"807,135,248,765"
ORCL,Oracle Corporation Common Stock,$254.335,0.475,0.187%,"714,384,541,055"
V,Visa Inc.,$342.08,5.34,1.586%,"663,615,323,784"
LLY,Eli Lilly and Company Common Stock,$654.00,14.57,2.279%,"618,982,720,386"
MA,Mastercard Incorporated Common Stock,$579.125,4.945,0.861%,"523,535,855,103"
NFLX,"Netflix, Inc. Common Stock","$1,225.125",-0.155,-0.013%,"520,587,889,643"
XOM,Exxon Mobil Corporation Common Stock,$106.67,0.54,0.509%,"454,760,559,730"
PLTR,Palantir Technologies Inc. Class A Common Stock,$187.29,0.32,0.171%,"444,316,012,029"
COST,Costco Wholesale Corporation Common Stock,$975.905,-15.345,-1.548%,"432,791,505,613"
JNJ,Johnson & Johnson Common Stock,$173.94,1.16,0.671%,"418,906,463,396"
